RID	CONCEPT	CONCEPTICON_IN_SAGART	CONCEPTICON_GLOSS	DOCULECT	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES
219	243_thewoodmaterial	the wood (material)	WOOD	Bumthang	243_thewoodmaterial	1803	seng	seŋ	vanDriem2015	
220	244_tosowbroadcastscatterseeds	to sow (broadcast, scatter seeds)	SOW SEEDS	Bumthang	244_tosowbroadcastscatterseeds	748	tor-mala	tor	vanDriem2015	
221	247_yesterday	yesterday	YESTERDAY	Bumthang	247_yesterday	1174	dangma	daŋ+ma	vanDriem2015	
222	248_yousecondpersonplural	you [second person plural]	YOU	Bumthang	248_yousecondpersonplural	1213	yin	yin	vanDriem2015	
223	249_young	young	YOUNG	Bumthang	249_young	1207		ʑøn+pø	TB	
224	28_correctright	correct (right)	CORRECT (RIGHT)	Bumthang	28_correctright	1725		wɛn	TB	
225	31_dark	dark	DARK	Bumthang	31_dark	706		na+duŋ+duŋ	TB	
226	32_thedaughter	the daughter	DAUGHTER	Bumthang	32_thedaughter	1357	bomet	bo+met	vanDriem2015	
227	4_thearmpit	the armpit	ARMPIT	Bumthang	4_thearmpit	1886	gajolewang	ga+dʑo+le+waŋ	vanDriem2015	
228	43_early	early	EARLY	Bumthang	43_early	672	ngar wa	ŋar55+wa	DDC2018	
229	45_theearthworm	the earthworm	EARTHWORM	Bumthang	45_theearthworm	2350		ɲar+gu+la	TB	
230	5_bad	bad	BAD	Bumthang	5_bad	1292		ŋe+pa	TB	
231	51_thefather	the father	FATHER	Bumthang	51_thefather	1217	apa	a+pa	vanDriem2015	
232	52_thefeather	the feather	FEATHER	Bumthang	52_thefeather	1201	dro	ɖo	DDC2018	
233	55_firewood	firewood	FIREWOOD	Bumthang	55_firewood	10	thap shing	tʰap+ɕiŋ	DDC2018	
234	58_theflea	the flea	FLEA	Bumthang	58_theflea	232	li wa	li55+wa	DDC2018	
235	59_tofloat	to float	FLOAT	Bumthang	59_tofloat	1574		pon+ʑi	TB	
236	60_toflow	to flow	FLOW	Bumthang	60_toflow	2003		dʑuk+pa	TB	
237	63_thefog	the fog	FOG	Bumthang	63_thefog	249	tɕirdʑi	tɕir+dʑi	TB	
238	68_thefox	the fox	FOX	Bumthang	68_thefox	1312	au ya	au+ja	DDC2018	
239	7_thebarleytibetanorhighland	the barley (tibetan or highland)	BARLEY	Bumthang	7_thebarleytibetanorhighland	932	nas	nas	DDC2018	
240	71_thefrost	the frost	FROST	Bumthang	71_thefrost	2034	chak pa	tɕʰak+pa	DDC2018	
241	77_thegrass	the grass	GRASS	Bumthang	77_thegrass	606	ngon	ŋon55	vanDriem2015	
242	8_tobealive	to be alive	BE ALIVE	Bumthang	8_tobealive	1422		jyn+ne+pa	TB	
243	88_here	here	HERE	Bumthang	88_here	136	cho	tɕʰo	vanDriem2015	
244	90_hightall	high / tall	HIGH	Bumthang	90_hightall	1265	khangma	kʰaŋ+ma	vanDriem2015	
245	92_thehoof	the hoof	HOOF	Bumthang	92_thehoof	152	mik pat	mik+pat	DDC2018	
246	93_horizontal	horizontal	HORIZONTAL	Bumthang	93_horizontal	2376		ke+ka	TB	
247	95_thehorse	the horse	HORSE	Bumthang	95_thehorse	615	ta	ta	DDC2018	
248	98_hundred	hundred	HUNDRED	Bumthang	98_hundred	1634	khai ya nga	kʰai+ja+ŋa	DDC2018	
249	99_tohunt	to hunt	HUNT	Bumthang	99_tohunt	1435		sem+tɕan+sy	TB	
250	125_tomarryamanmarriesawoman	to marry (a man marries a woman)	MARRY (AS MAN)	Bumthang	125_tomarryamanmarriesawoman	2164		ɲe+tʰu+ŋai	TB	
