ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LOAN	RID	SOURCE
1184	5_bad	bad	DikhyangBugun	Bugun S-D	a.vʲə	a.vʲə	a + v j ə	dikh1234	1292	27.320666	92.455119	800	FALSE	145	LandB2017
1185	5_bad	bad	Khoina	Khn.	a.nu	a.nu	a + n u	khoi1253	1292	27.334981	92.52994	801	FALSE	146	LandB2017
1186	5_bad	bad	Jerigaon	Jer.	a.nu	a.nu	a + n u	jeri1243	1292	27.340629	92.486595	801	FALSE	147	LandB2017
1187	5_bad	bad	Khoitam	Kht.	a.nu	a.nu	a + n u	khoi1252	1292	27.327487	92.439455	801	FALSE	148	LandB2017
1188	5_bad	bad	Rahung	Rah.	a.nu	a.nu	a + n u	rahu1234	1292	27.310778	92.395028	801	FALSE	149	LandB2017
1189	5_bad	bad	Rupa	Rup.	a.ɲu	a.ɲu	a + ɲ u	rupa1234	1292	27.203065	92.398757	801	FALSE	150	LandB2017
1190	5_bad	bad	Shergaon	She.	a.ɲu	a.ɲu	a + ɲ u	sher1261	1292	27.105018	92.272133	801	FALSE	151	LandB2017
1191	5_bad	bad	BhutanTshangla	Tshangla	tɕa+mu	tɕa+mu	tɕ a + m u	tsha1245	1292	27.337241	91.551654	889	FALSE	152	LandB2017
89	10_belowunder	below, under	BuluPuroik	BP	a.wuu	a.wuu	a + w uː	bulu1255	1485	27.452241	92.44563	805	FALSE	324	Lieberherr2017
90	10_belowunder	below, under	DikhyangBugun	Bugun S-D	kʰə.luə	kʰə.luə	kʰ ə + l u/w ə	dikh1234	1485	27.320666	92.455119	808	FALSE	325	LandB2017
91	10_belowunder	below, under	Khispi	Khs.	kʰa	kʰa	kʰ a	lish1235	1485	27.378042	92.223221	808	FALSE	326	LandB2017
92	10_belowunder	below, under	Duhumbi	Duh.	kʰa	kʰa	kʰ a	chug1252	1485	27.416112	92.212034	808	FALSE	327	LandB2017
93	10_belowunder	below, under	Khoina	Khn.	kʰu	kʰu	kʰ u	khoi1253	1485	27.334981	92.52994	808	FALSE	328	LandB2017
94	10_belowunder	below, under	Jerigaon	Jer.	kʰu	kʰu	kʰ u	jeri1243	1485	27.340629	92.486595	808	FALSE	329	LandB2017
95	10_belowunder	below, under	Khoitam	Kht.	kʰu	kʰu	kʰ u	khoi1252	1485	27.327487	92.439455	808	FALSE	330	LandB2017
96	10_belowunder	below, under	Rahung	Rah.	kʰu	kʰu	kʰ u	rahu1234	1485	27.310778	92.395028	808	FALSE	331	LandB2017
97	10_belowunder	below, under	Rupa	Rup.	kʰu	kʰu	kʰ u	rupa1234	1485	27.203065	92.398757	808	FALSE	332	LandB2017
98	10_belowunder	below, under	Shergaon	She.	kʰu	kʰu	kʰ u	sher1261	1485	27.105018	92.272133	808	FALSE	333	LandB2017
99	10_belowunder	below, under	BhutanTshangla	Tshangla	pʰraŋ	pʰraŋ	pʰ r a ŋ	tsha1245	1485	27.337241	91.551654	803	FALSE	334	LandB2017
23	11_big	big	BuluPuroik	BP	a.raa	a.raa	a + r aː	bulu1255	1202	27.452241	92.44563	582	FALSE	370	Lieberherr2017
24	11_big	big	DikhyangBugun	Bugun S-D	ə.põ	ə.põ	ə + p õ	dikh1234	1202	27.320666	92.455119	584	FALSE	371	LandB2017
25	11_big	big	Khispi	Khs.	ɔ.dɔk	ɔ.dɔk	ɔ + d ɔ k	lish1235	1202	27.378042	92.223221	585	FALSE	372	LandB2017
26	11_big	big	Duhumbi	Duh.	ɔ.dɔk	ɔ.dɔk	ɔ + d ɔ k	chug1252	1202	27.416112	92.212034	585	FALSE	373	LandB2017
27	11_big	big	Khoina	Khn.	a.dɔk	a.dɔk	a + d ɔ k	khoi1253	1202	27.334981	92.52994	585	FALSE	374	LandB2017
28	11_big	big	Jerigaon	Jer.	a.dɔk	a.dɔk	a + d ɔ k	jeri1243	1202	27.340629	92.486595	585	FALSE	375	LandB2017
29	11_big	big	Khoitam	Kht.	a.dɔk	a.dɔk	a + d ɔ k	khoi1252	1202	27.327487	92.439455	585	FALSE	376	LandB2017
30	11_big	big	Rahung	Rah.	a.dɔk	a.dɔk	a + d ɔ k	rahu1234	1202	27.310778	92.395028	585	FALSE	377	LandB2017
31	11_big	big	Rupa	Rup.	a.dɔk	a.dɔk	a + d ɔ k	rupa1234	1202	27.203065	92.398757	585	FALSE	378	LandB2017
32	11_big	big	Shergaon	She.	a.dɔk	a.dɔk	a + d ɔ k	sher1261	1202	27.105018	92.272133	585	FALSE	379	LandB2017
33	11_big	big	BhutanTshangla	Tshangla	ka+taŋ	ka+taŋ	k a + t a ŋ	tsha1245	1202	27.337241	91.551654	580	FALSE	380	LandB2017
891	14_black	black	BuluPuroik	BP	a.hjɛ̃ː	a.hjɛ̃ː	a + h j ɛ̃ː	bulu1255	163	27.452241	92.44563	14	FALSE	521	Lieberherr2017
892	14_black	black	DikhyangBugun	Bugun S-D	ə.saj	ə.saj	ə + s a j	dikh1234	163	27.320666	92.455119	19	FALSE	522	LandB2017
893	14_black	black	Khispi	Khs.	u.tɕʰam	u.tɕʰam	u + tɕʰ a m	lish1235	163	27.378042	92.223221	459	FALSE	523	LandB2017
894	14_black	black	Duhumbi	Duh.	u.tɕʰam	u.tɕʰam	u + tɕʰ a m	chug1252	163	27.416112	92.212034	459	FALSE	524	LandB2017
895	14_black	black	Khoina	Khn.	a.tɕʰũ	a.tɕʰũ	a + tɕʰ ũ	khoi1253	163	27.334981	92.52994	459	FALSE	525	LandB2017
896	14_black	black	Jerigaon	Jer.	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	jeri1243	163	27.340629	92.486595	459	FALSE	526	LandB2017
897	14_black	black	Khoitam	Kht.	a.tɕʰũ	a.tɕʰũ	a + tɕʰ ũ	khoi1252	163	27.327487	92.439455	459	FALSE	527	LandB2017
898	14_black	black	Rahung	Rah.	a.tɕʰũ	a.tɕʰũ	a + tɕʰ ũ	rahu1234	163	27.310778	92.395028	459	FALSE	528	LandB2017
899	14_black	black	Rupa	Rup.	a.cʰɔ	a.cʰɔ	a + cʰ ɔ	rupa1234	163	27.203065	92.398757	459	FALSE	529	LandB2017
900	14_black	black	Shergaon	She.	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	sher1261	163	27.105018	92.272133	459	FALSE	530	LandB2017
901	14_black	black	BhutanTshangla	Tshangla	ʨʰaŋ+lu	ʨʰaŋ+lu	tɕʰ a ŋ + l u	tsha1245	163	27.337241	91.551654	459	FALSE	531	LandB2017
924	26_coldoftemperature	cold (of temperature)	BuluPuroik	BP	a.ʧii	a.ʧii	a + tʃ iː	bulu1255	1287	27.452241	92.44563	1083	FALSE	1081	Lieberherr2017
925	26_coldoftemperature	cold (of temperature)	DikhyangBugun	Bugun S-D	ə.tɕʰaj	ə.tɕʰaj	ə + tɕʰ a j	dikh1234	1287	27.320666	92.455119	1083	FALSE	1082	LandB2017
926	26_coldoftemperature	cold (of temperature)	Khispi	Khs.	ɔ.tsʰɛn	ɔ.tsʰɛn	ɔ + tsʰ ɛ n	lish1235	1287	27.378042	92.223221	1083	FALSE	1083	LandB2017
927	26_coldoftemperature	cold (of temperature)	Duhumbi	Duh.	ɔ.tsʰɛn	ɔ.tsʰɛn	ɔ + tsʰ ɛ n	chug1252	1287	27.416112	92.212034	1083	FALSE	1084	LandB2017
928	26_coldoftemperature	cold (of temperature)	Khoina	Khn.	a.tsɛn	a.tsɛn	a + ts ɛ n	khoi1253	1287	27.334981	92.52994	1083	FALSE	1085	LandB2017
929	26_coldoftemperature	cold (of temperature)	Jerigaon	Jer.	a.tɕɛn	a.tɕɛn	a + tɕ ɛ n	jeri1243	1287	27.340629	92.486595	1083	FALSE	1086	LandB2017
930	26_coldoftemperature	cold (of temperature)	Khoitam	Kht.	a.tɕan	a.tɕan	a + tɕ a n	khoi1252	1287	27.327487	92.439455	1083	FALSE	1087	LandB2017
931	26_coldoftemperature	cold (of temperature)	Rahung	Rah.	a.tɕɛn	a.tɕɛn	a + tɕ ɛ n	rahu1234	1287	27.310778	92.395028	1083	FALSE	1088	LandB2017
932	26_coldoftemperature	cold (of temperature)	Rupa	Rup.	a.tɕʰan	a.tɕʰan	a + tɕʰ a n	rupa1234	1287	27.203065	92.398757	1083	FALSE	1089	LandB2017
933	26_coldoftemperature	cold (of temperature)	Shergaon	She.	a.tɕʰan	a.tɕʰan	a + tɕʰ a n	sher1261	1287	27.105018	92.272133	1083	FALSE	1090	LandB2017
934	26_coldoftemperature	cold (of temperature)	BhutanTshangla	Tshangla	kʰur+bu	kʰur+bu	kʰ u r + b u	tsha1245	1287	27.337241	91.551654	810	FALSE	1091	LandB2017
2354	28_correctright	correct (right)	BuluPuroik	BP	a.suu	a.suu	a + s uː	bulu1255	1725	27.452241	92.44563	812	FALSE	1197	Lieberherr2017
2355	28_correctright	correct (right)	DikhyangBugun	Bugun S-D	ə.suɛ	ə.suɛ	ə + s u/w ɛ	dikh1234	1725	27.320666	92.455119	812	FALSE	1198	LandB2017
2356	28_correctright	correct (right)	Khispi	Khs.	daŋ.bu	daŋ.bu	d a ŋ + b u	lish1235	1725	27.378042	92.223221	5328	TRUE	1199	LandB2017
2357	28_correctright	correct (right)	Duhumbi	Duh.	dɛn.ba	dɛn.ba	d ɛ n + b a	chug1252	1725	27.416112	92.212034	5328	TRUE	1200	LandB2017
2358	28_correctright	correct (right)	Khoina	Khn.	a.ʂɑ̃.du	a.ʂɑ̃.du	a + ʂ ɑ̃ + d u	khoi1253	1725	27.334981	92.52994	812	FALSE	1201	LandB2017
2359	28_correctright	correct (right)	Jerigaon	Jer.	a.sɔ.dʑi	a.sɔ.dʑi	a + s ɔ + dʑ i	jeri1243	1725	27.340629	92.486595	812	FALSE	1202	LandB2017
2360	28_correctright	correct (right)	Khoitam	Kht.	a.sa.du	a.sa.du	a + s a + d u	khoi1252	1725	27.327487	92.439455	812	FALSE	1203	LandB2017
2361	28_correctright	correct (right)	Rahung	Rah.	a.ruŋ	a.ruŋ	a + r u ŋ	rahu1234	1725	27.310778	92.395028	814	FALSE	1204	LandB2017
2362	28_correctright	correct (right)	Rupa	Rup.	da.tik	da.tik	d a + t i k	rupa1234	1725	27.203065	92.398757	815	FALSE	1205	LandB2017
2363	28_correctright	correct (right)	Shergaon	She.	da.tik	da.tik	d a + t i k	sher1261	1725	27.105018	92.272133	815	FALSE	1206	LandB2017
2364	28_correctright	correct (right)	BhutanTshangla	Tshangla	ɖik	ɖik	ɖ i k	tsha1245	1725	27.337241	91.551654	5696	TRUE	1207	LandB2017
2441	31_dark	dark	BuluPuroik	BP	a+tʃɨn	a+tʃɨn	a + tʃ ɨ n	bulu1255	706	27.452241	92.44563		FALSE	0	Lieberherr2017
2442	31_dark	dark	Khispi	Khs.	tʰom+tʰom	tʰom+tʰom	tʰ o m + tʰ o m	lish1235	706	27.378042	92.223221		FALSE	0	LandB2017
2443	31_dark	dark	Duhumbi	Duh.	tʰom+tʰom	tʰom+tʰom	tʰ o m + tʰ o m	chug1252	706	27.416112	92.212034		FALSE	0	LandB2017
2444	31_dark	dark	BhutanTshangla	Tshangla	mɛr+bu	mɛr+bu	m ɛ r + b u	tsha1245	706	27.337241	91.551654		FALSE	0	LandB2017
1722	36_dirty	dirty	BuluPuroik	BP	a.zɛʔ	a.zɛʔ	a + z ɛ ʔ	bulu1255	1230	27.452241	92.44563	820	FALSE	1487	Lieberherr2017
1723	36_dirty	dirty	DikhyangBugun	Bugun S-D	ə.sʲɔ	ə.sʲɔ	ə + s j ɔ	dikh1234	1230	27.320666	92.455119	824	FALSE	1488	LandB2017
1724	36_dirty	dirty	Khispi	Khs.	jɛs.tɕik.pa	jɛs.tɕik.pa	j ɛ s + tɕ i k + p a	lish1235	1230	27.378042	92.223221	825	FALSE	1489	LandB2017
1725	36_dirty	dirty	Duhumbi	Duh.	jɛs.tɕik.pa	jɛs.tɕik.pa	j ɛ s + tɕ i k + p a	chug1252	1230	27.416112	92.212034	825	FALSE	1490	LandB2017
1726	36_dirty	dirty	Khoina	Khn.	a.ʐɛˀ	a.ʐɛˀ	a + ʐ ɛˀ	khoi1253	1230	27.334981	92.52994	820	FALSE	1491	LandB2017
1727	36_dirty	dirty	Jerigaon	Jer.	a.zɛˀ	a.zɛˀ	a + z ɛˀ	jeri1243	1230	27.340629	92.486595	820	FALSE	1492	LandB2017
1728	36_dirty	dirty	Khoitam	Kht.	a.zɛˀ	a.zɛˀ	a + z ɛˀ	khoi1252	1230	27.327487	92.439455	820	FALSE	1493	LandB2017
1729	36_dirty	dirty	Rahung	Rah.	a.zɛˀ	a.zɛˀ	a + z ɛˀ	rahu1234	1230	27.310778	92.395028	820	FALSE	1494	LandB2017
1730	36_dirty	dirty	Rupa	Rup.	zat.mi	zat.mi	z a t + m i	rupa1234	1230	27.203065	92.398757	820	FALSE	1495	LandB2017
1731	36_dirty	dirty	Shergaon	She.	zap.tɛŋ	zap.tɛŋ	z a p + t ɛ ŋ	sher1261	1230	27.105018	92.272133	820	FALSE	1496	LandB2017
1732	36_dirty	dirty	BhutanTshangla	Tshangla	ʦʰɔk+po	ʦʰɔk+po	tsʰ ɔ k + p o	tsha1245	1230	27.337241	91.551654	599	TRUE	1497	LandB2017
502	40_dry	dry	BuluPuroik	BP	a.wuɛ̃	a.wuɛ̃	a + w u/w ɛ̃	bulu1255	1398	27.452241	92.44563	615	FALSE	1681	Lieberherr2017
503	40_dry	dry	DikhyangBugun	Bugun S-D	ə.kau	ə.kau	ə + k au	dikh1234	1398	27.320666	92.455119	1092	FALSE	1682	LandB2017
504	40_dry	dry	Khispi	Khs.	ɔ.wal	ɔ.wal	ɔ + w a l	lish1235	1398	27.378042	92.223221	615	FALSE	1683	LandB2017
505	40_dry	dry	Duhumbi	Duh.	wa.ar	wa.ar	w a + a r	chug1252	1398	27.416112	92.212034	615	FALSE	1684	LandB2017
506	40_dry	dry	Khoina	Khn.	ɔ.ɑ̃	ɔ.ɑ̃	ɔ + ɑ̃	khoi1253	1398	27.334981	92.52994	615	FALSE	1685	LandB2017
507	40_dry	dry	Jerigaon	Jer.	yk.ã	yk.ã	y k + ã	jeri1243	1398	27.340629	92.486595	615	FALSE	1686	LandB2017
508	40_dry	dry	Khoitam	Kht.	yk.ɔ̃	yk.ɔ̃	y k + ɔ̃	khoi1252	1398	27.327487	92.439455	615	FALSE	1687	LandB2017
509	40_dry	dry	Rahung	Rah.	ɔ.ɔ̃	ɔ.ɔ̃	ɔ + ɔ̃	rahu1234	1398	27.310778	92.395028	615	FALSE	1688	LandB2017
510	40_dry	dry	Rupa	Rup.	ɔ.ɔ̃	ɔ.ɔ̃	ɔ + ɔ̃	rupa1234	1398	27.203065	92.398757	615	FALSE	1689	LandB2017
511	40_dry	dry	Shergaon	She.	ɔ.ɔ̃	ɔ.ɔ̃	ɔ + ɔ̃	sher1261	1398	27.105018	92.272133	615	FALSE	1690	LandB2017
512	40_dry	dry	BhutanTshangla	Tshangla	saŋ	saŋ	s a ŋ	tsha1245	1398	27.337241	91.551654	976	FALSE	1691	LandB2017
2445	43_early	early	Khispi	Khs.	do+so	do+so	d o + s o	lish1235	672	27.378042	92.223221		FALSE	0	LandB2017
2446	43_early	early	Duhumbi	Duh.	duk+tsu	duk+tsu	d u k + ts u	chug1252	672	27.416112	92.212034		FALSE	0	LandB2017
2447	43_early	early	Rupa	Rup.	ke+pɔ	ke+pɔ	k e + p ɔ	rupa1234	672	27.203065	92.398757		FALSE	0	LandB2017
2448	43_early	early	BhutanTshangla	Tshangla	bɛt+pu	bɛt+pu	b ɛ t + p u	tsha1245	672	27.337241	91.551654		FALSE	0	LandB2017
1152	48_eight	eight	BuluPuroik	BP	mə.ljao	mə.ljao	m ə + l j ao	bulu1255	1705	27.452241	92.44563	2282	FALSE	2017	Lieberherr2017
1153	48_eight	eight	DikhyangBugun	Bugun S-D	mə.la	mə.la	m ə + l a	dikh1234	1705	27.320666	92.455119	2282	FALSE	2018	LandB2017
1154	48_eight	eight	Khispi	Khs.	sar.gɛ	sar.gɛ	s a r + g ɛ	lish1235	1705	27.378042	92.223221	183	FALSE	2019	LandB2017
1155	48_eight	eight	Duhumbi	Duh.	sar.gɛˀ	sar.gɛˀ	s a r + g ɛˀ	chug1252	1705	27.416112	92.212034	183	FALSE	2020	LandB2017
1156	48_eight	eight	Khoina	Khn.	sar.gɛˀ	sar.gɛˀ	s a r + g ɛˀ	khoi1253	1705	27.334981	92.52994	183	FALSE	2021	LandB2017
1157	48_eight	eight	Jerigaon	Jer.	sar.gɛˀ	sar.gɛˀ	s a r + g ɛˀ	jeri1243	1705	27.340629	92.486595	183	FALSE	2022	LandB2017
1158	48_eight	eight	Khoitam	Kht.	sar.dʑɛˀ	sar.dʑɛˀ	s a r + dʑ ɛˀ	khoi1252	1705	27.327487	92.439455	183	FALSE	2023	LandB2017
1159	48_eight	eight	Rahung	Rah.	sar.dʑɛˀ	sar.dʑɛˀ	s a r + dʑ ɛˀ	rahu1234	1705	27.310778	92.395028	183	FALSE	2024	LandB2017
1160	48_eight	eight	Rupa	Rup.	sar.ɟat	sar.ɟat	s a r + ɟ a t	rupa1234	1705	27.203065	92.398757	183	FALSE	2025	LandB2017
1161	48_eight	eight	Shergaon	She.	sar.dʑat	sar.dʑat	s a r + dʑ a t	sher1261	1705	27.105018	92.272133	183	FALSE	2026	LandB2017
1162	48_eight	eight	BhutanTshangla	Tshangla	jɛn	jɛn	j ɛ n	tsha1245	1705	27.337241	91.551654	183	FALSE	2027	LandB2017
1744	50_far	far	BuluPuroik	BP	a.ʧoi	a.ʧoi	a + tʃ o i/j	bulu1255	1406	27.452241	92.44563	829	FALSE	2107	Lieberherr2017
1745	50_far	far	DikhyangBugun	Bugun S-D	hõ rɛ.ɛ ruaŋ	hõ_rɛ.ɛ_ruaŋ	h õ + r ɛ + ɛ + r u/w a ŋ	dikh1234	1406	27.320666	92.455119	4053	FALSE	2108	LandB2017
1746	50_far	far	Khispi	Khs.	tʰak u.liŋ	tʰak_u.liŋ	tʰ a k + u + l i ŋ	lish1235	1406	27.378042	92.223221	549	TRUE	2109	LandB2017
1747	50_far	far	Duhumbi	Duh.	tʰak u.riŋ	tʰak_u.riŋ	tʰ a k + u + r i ŋ	chug1252	1406	27.416112	92.212034	549	TRUE	2110	LandB2017
1748	50_far	far	Khoina	Khn.	a.tsʰɑ̃	a.tsʰɑ̃	a + tsʰ ɑ̃	khoi1253	1406	27.334981	92.52994	829	FALSE	2111	LandB2017
1749	50_far	far	Jerigaon	Jer.	a.tɕʰã	a.tɕʰã	a + tɕʰ ã	jeri1243	1406	27.340629	92.486595	829	FALSE	2112	LandB2017
1750	50_far	far	Khoitam	Kht.	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	khoi1252	1406	27.327487	92.439455	829	FALSE	2113	LandB2017
1751	50_far	far	Rahung	Rah.	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	rahu1234	1406	27.310778	92.395028	829	FALSE	2114	LandB2017
1752	50_far	far	Rupa	Rup.	a.tsʰɔ̃	a.tsʰɔ̃	a + tsʰ ɔ̃	rupa1234	1406	27.203065	92.398757	829	FALSE	2115	LandB2017
1753	50_far	far	Shergaon	She.	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	sher1261	1406	27.105018	92.272133	829	FALSE	2116	LandB2017
1754	50_far	far	BhutanTshangla	Tshangla	tʰa riŋ+bu	tʰa_riŋ+bu	tʰ a + r i ŋ + b u	tsha1245	1406	27.337241	91.551654	549	TRUE	2117	LandB2017
2394	55_firewood	firewood	BuluPuroik	BP	ʃi	ʃi	ʃ i	bulu1255	10	27.452241	92.44563		FALSE	0	Lieberherr2017
2395	55_firewood	firewood	DikhyangBugun	Bugun S-D	hiŋ	hiŋ	h i ŋ	dikh1234	10	27.320666	92.455119		FALSE	0	LandB2017
2396	55_firewood	firewood	Khispi	Khs.	hiŋ	hiŋ	h i ŋ	lish1235	10	27.378042	92.223221		FALSE	0	LandB2017
2397	55_firewood	firewood	Duhumbi	Duh.	ɕiŋ	ɕiŋ	ɕ i ŋ	chug1252	10	27.416112	92.212034		FALSE	0	LandB2017
2398	55_firewood	firewood	Khoina	Khn.	hiŋ	hiŋ	h i ŋ	khoi1253	10	27.334981	92.52994		FALSE	0	LandB2017
2399	55_firewood	firewood	Jerigaon	Jer.	hiŋ	hiŋ	h i ŋ	jeri1243	10	27.340629	92.486595		FALSE	0	LandB2017
2400	55_firewood	firewood	Khoitam	Kht.	hiŋ	hiŋ	h i ŋ	khoi1252	10	27.327487	92.439455		FALSE	0	LandB2017
2401	55_firewood	firewood	Rahung	Rah.	hiŋ	hiŋ	h i ŋ	rahu1234	10	27.310778	92.395028		FALSE	0	LandB2017
2402	55_firewood	firewood	Rupa	Rup.	hiŋ	hiŋ	h i ŋ	rupa1234	10	27.203065	92.398757		FALSE	0	LandB2017
2403	55_firewood	firewood	Shergaon	She.	hiŋ	hiŋ	h i ŋ	sher1261	10	27.105018	92.272133		FALSE	0	LandB2017
2404	55_firewood	firewood	BhutanTshangla	Tshangla	tʰap+ɕiŋ	tʰap+ɕiŋ	tʰ a p + ɕ i ŋ	tsha1245	10	27.337241	91.551654		FALSE	0	LandB2017
100	57_five	five	BuluPuroik	BP	wuu	wuu	w uː	bulu1255	493	27.452241	92.44563	10357	FALSE	2351	Lieberherr2017
101	57_five	five	DikhyangBugun	Bugun S-D	gu.wə	gu.wə	g u + w ə	dikh1234	493	27.320666	92.455119	10357	FALSE	2352	LandB2017
102	57_five	five	Khispi	Khs.	kʰa	kʰa	kʰ a	lish1235	493	27.378042	92.223221	831	FALSE	2353	LandB2017
