RID	CONCEPT	GLOSS_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	LANGUAGE	FORM	IPA	SEGMENT	SOURCE	PAGE	CONCEPT_IN_SOURCE	NOTE	LOAN
42	foot n.	the foot	FOOT	64_thefoot	1301	Eastern Puroik	lae’po	laepo	lae+po	RS09	17	foot n.		
43	forest n. 	the forest	FOREST	65_theforest	420	Eastern Puroik	meroarae’y	məroaraej	mə+roa+raej	RS09	17	forest n. 		
44	forget v.	to forget	FORGET	66_toforget	1523	Eastern Puroik	bamidait	bamidait	ba+mi+dait	RS09	17	forget v.		
45	four cardinal no.	four	FOUR	67_four	1500	Eastern Puroik	vei	vəi	vəi	RS09	18	four cardinal no.		
46	frog n.	the frog	FROG	69_thefrog	503	Eastern Puroik	rai’	raɯ	raɯ	RS09	18	frog n.		
47	frontside n.	the front (front side)	FRONT (PART)	70_thefrontfrontside	2194	Eastern Puroik	abeit hak	abəit	abəit	RS09	18	frontside n.		
48	fruit n.	the fruit	FRUIT	72_thefruit	1507	Eastern Puroik	roongwoe’	rɔngwoe	rɔng+woe	RS09	18	fruit n.		
49	full	full	FULL	73_full	1429	Eastern Puroik	lie	lie	lie	AT90	28	full		
50	give n.	to give	GIVE	74_togive	1447	Eastern Puroik	tang na	taŋ	taŋ	RS09	19	give n.		
51	goat n.	the goat	GOAT	75_thegoat	1502	Eastern Puroik	sebeing	səbəiŋ	sə+bəiŋ	RS09	19	goat n.		
52	good adj.	good	GOOD	76_good	1035	Eastern Puroik	ayi	aji	a+ji	RS09	19	good adj.		
53	green adj.	green	GREEN	78_green	1425	Eastern Puroik	ariye’	arije	a+ri+je	RS09	19	green adj.		
54	the hail	the hail	HAIL	79_thehail	609	Eastern Puroik							?	
55	hair n.	the hair (of the head)	HAIR	80_thehairofthehead	1040	Eastern Puroik	kheshak, kheshi’	kʰəʃak	kʰə+ʃak	RS09	20	hair n.		
56	hand n.	the hand	HAND	81_thehand	1277	Eastern Puroik	gait	gait	gait	RS09	20	hand n.		
57	hard adj.	hard	HARD	82_hard	1884	Eastern Puroik	karei’	karəɯ	ka+rəɯ	RS09	20	hard adj.		
58	he pron.	he or she [third person singular]	HE OR SHE OR IT	83_heorshethirdpersonsingular	262	Eastern Puroik	wae’afu	wae	wae	RS09	20	he pron.		
59	head n.	the head	HEAD	84_thehead	1256	Eastern Puroik	khe waba, kheva	kʰə waba	kʰə+wa+ba	RS09	20	head n.		
60	hear v.	to hear	HEAR	85_tohear	1408	Eastern Puroik	roong na	rɔŋ	rɔŋ	RS09	20	hear v.		
61	heart n.	the heart	HEART	86_theheart	1223	Eastern Puroik	lug	luk	luk	RS09	20	heart n.		
62	heavy adj.	heavy	HEAVY	87_heavy	1210	Eastern Puroik	alaii	alaiː	a+laiː	RS09	20	heavy adj.		
63	hide v.	to hide (conceal)	HIDE (CONCEAL)	89_tohideconceal	602	Eastern Puroik	riang e na	riaŋ+ə	riaŋ+ə	RS09	20	hide v.		
64	hold v.	to hold	HOLD	91_tohold	1448	Eastern Puroik	neangkhein na kait khein na	neaŋkʰəin	neaŋ+kʰəin	RS09	21	hold v.		
65	horn n.	the horn (keratinized skin)	HORN (ANATOMY)	94_thehornkeratinizedskin	1393	Eastern Puroik	khewaang	kʰəwaːŋ	kʰə+waːŋ	RS09	21	horn n.		
66	hot adj.	hot	HOT	96_hot	1286	Eastern Puroik	azik	azik	a+zik	RS09	21	hot adj.		
67	house n.	the house	HOUSE	97_thehouse	1252	Eastern Puroik	chuk	tʃʰuk	tʃʰuk	RS09	21	house n.		
68	I, me pron.	I [first person singular]	I	101_ifirstpersonsingular	1209	Eastern Puroik	go	go	go	RS09	21	I, me pron.		
69	inside n.	inside	INSIDE	103_inside	1606	Eastern Puroik	araing-ayaing	araiŋ	a+raiŋ	RS09	23	inside n.	prop.?	
70	kill v.	to kill	KILL	104_tokill	1417	Eastern Puroik	aikhiang na	aikhiaŋ	aik+hiaŋ	RS09	24	kill v.		
71	knee n.	the knee	KNEE	106_theknee	1371	Eastern Puroik	lae’ kheiphi	lae kʰəipʰi	lae+kʰəi+pʰi	RS09	24	knee n.		
72	late adj.	late	LATE	110_late	477	Eastern Puroik	naang	naːŋ	naːŋ	RS09	25	late adj.	adv.?	
73	laugh v.	to laugh	LAUGH	111_tolaugh	1355	Eastern Puroik	ruae’na	ruae	ruae	RS09	25	laugh v.		
74	leaf n.	the leaf	LEAF	112_theleaf	628	Eastern Puroik	aleeg	aləːg	a+ləːg	RS09	25	leaf n.		
75	left n.	left	LEFT	114_left	244	Eastern Puroik	poafe’	poafe	poa+fe	RS09	25	left n.		
76	lick v.	to lick	LICK	115_tolick	319	Eastern Puroik	laahua na, shak luitkhik na	laahua	laː+hua	RS09	26	lick v.		
77	light n.	light (of weight)	LIGHT (WEIGHT)	117_lightofweight	1052	Eastern Puroik	achiang	atʃʰiaŋ	a+tʃʰiaŋ	RS09	26	light n.	adj.?	
78	liver n.	the liver	LIVER	119_theliver	1224	Eastern Puroik	mepie’k	məpiek	mə+piek	RS09	26	liver n.		
79	long adj.	long	LONG	120_long	1203	Eastern Puroik	apiang, aphiang	apiaŋ	a+piaŋ	RS09	26	long adj.		
80	louse	the louse	LOUSE	121_thelouse	1392	Eastern Puroik	péré	pərə	pə+rə	AT90	24	louse		
81	lung n.	the lung	LUNG	122_thelung	688	Eastern Puroik	apesheek, pheseek	apəʃəːk	a+pə+ʃəːk	RS09	26	lung n.		
82	man n.	the man (male human)	MALE PERSON	123_themanmalehuman	2106	Eastern Puroik	bi	bi	bi	RS09	27	man n.		
83	many adj.	many	MANY	124_many	1198	Eastern Puroik	aboo	abɔ	a+bɔ	RS09	27	many adj.		
84	meat n.	the meat	MEAT	126_themeat	634	Eastern Puroik	meriak	məriak	mə+riak	RS09	27	meat n.		
85	middle n.	middle	MIDDLE	127_middle	1093	Eastern Puroik	aloo	alɔ	a+lɔ	RS09	27	middle n.		
86	moon n.	the moon	MOON	128_themoon	1313	Eastern Puroik	aambo	aːmbo	aːm+bo	RS09	28	moon n.		
87	morning n.	morning	MORNING	129_morning	1339	Eastern Puroik	apiye’	apije	a+pi+je	RS09	28	morning n.		
88	mountain n.	the mountain	MOUNTAIN	132_themountain	639	Eastern Puroik	alau	alau	a+lau	RS09	29	mountain n.		
89	mouse n.	the mouse or rat	MUROID (MOUSE OR RAT)	133_themouseorrat	2139	Eastern Puroik	sebue’, meheeng	səbue	sə+bue	RS09	29	mouse n.		
90	mouth n.	the mouth	MOUTH	134_themouth	674	Eastern Puroik	shaak, shak	ʃaːk	ʃaːk	RS09	29	mouth n.		
91	mud n.	the mud	MUD	135_themud	640	Eastern Puroik	mezaik seriung	məzaik səriuŋ	mə+zaik+sə+riuŋ	RS09	29	mud n.		
92	nail n.	the nail (fingernail or claw)	CLAW OR NAIL	136_thenailfingernailorclaw	2128	Eastern Puroik	gait sit, geik sik	gait sit	gait+sit	RS09	29	nail n.		
93	name n.	the name	NAME	137_thename	1405	Eastern Puroik	abiang	abiaŋ	a+biaŋ	RS09	29	name n.		
94	near adj.	near	NEAR	139_near	1942	Eastern Puroik	aliye’, anui	anui	a+nui	RS09	29	near adj.		
95	neck n.	the neck	NECK	140_theneck	1333	Eastern Puroik	khetong, khetoong	kʰətoŋ	kʰə+toŋ	RS09	29	neck n.		
96	needle n.	the needle (for sewing)	NEEDLE (FOR SEWING)	141_theneedleforsewing	1382	Eastern Puroik	chakchik	tʃʰaktʃʰik	tʃʰak+tʃʰik	RS09	29	needle n.		
97	new adj.	new	NEW	142_new	1231	Eastern Puroik	afaik	afaik	a+faik	RS09	29	new adj.		
98	nine cardinal no.	nine	NINE	143_nine	1483	Eastern Puroik	doongye’	dɔngje	dɔnŋ+gje	RS09	30	nine cardinal no.		
99	nose n.	the nose	NOSE	146_thenose	1221	Eastern Puroik	phok, poog	pʰok	pʰok	RS09	30	nose n.		
100	one cardinal no. 	one	ONE	148_one	1493	Eastern Puroik	huui	huːi	huːi	RS09	31	one cardinal no. 		
101	out side adv.	outside	OUTSIDE	150_outside	762	Eastern Puroik	alhaang hak	aɬaːŋ hak	aɬaːŋ	RS09	31	out side adv.		
102	pig n.	the pig	PIG	151_thepig	1337	Eastern Puroik	medau	mədau	mə+dau	RS09	33	pig n.		
103	play v.	to play	PLAY	153_toplay	1413	Eastern Puroik	laoe’ nyiang na	laoe ɲiang	laoe+ɲiang	RS09	31	play v.		
104	push v.	to push	PUSH	155_topush	1452	Eastern Puroik	noongna	nɔŋ	nɔŋ	RS09	35	push v.		
105	rain n.	the rain	RAIN (PRECIPITATION)	156_therain	658	Eastern Puroik	aampiu	aːmpiu	aːm+piu	RS09	35	rain n.		
106	red adj.	red	RED	158_red	156	Eastern Puroik	aiik, ariuk	ariuk	a+riuk	RS09	36	red adj.		
107	reside v.	to reside (live)	DWELL (LIVE, RESIDE)	159_toresidelive	363	Eastern Puroik	jaana	dʒaː	dʒaː	RS09	37	reside v.		
108	right adv.	right	RIGHT	161_right	1019	Eastern Puroik	akherak	akʰərak	a+kʰə+rak	RS09	37	right adv.		
109	road n.	the road	ROAD	163_theroad	667	Eastern Puroik	lain pujue’	lain pudʒue	lain+pu+dʒue	RS09	38	road n.		
110	root n.	the root	ROOT	164_theroot	670	Eastern Puroik	ziingraing	ziːŋraiŋ	ziːŋ+raiŋ	RS09	38	root n.		
111	rope n.	the rope	ROPE	165_therope	1218	Eastern Puroik	rail	rail	rai	RS09	38	rope n.	'l’ autocorrect?	
112	round adj.	round	ROUND	166_round	1395	Eastern Puroik	guongkulue’	guoŋkulue	guoŋ+ku+lue	RS09	38	round adj.		
113	salt n.	the salt	SALT	168_thesalt	1274	Eastern Puroik	hoong	hɔŋ	hɔŋ	RS09	38	salt n.		
114	sand n.	the sand	SAND	170_thesand	671	Eastern Puroik	piye’ chaig	pije tʃʰaig	pi+je+tʃʰaik	RS09	38	sand n.		
115	to scratch	to scratch	SCRATCH	171_toscratch	1436	Eastern Puroik							?	
116	see n.	to see	SEE	173_tosee	1409	Eastern Puroik	jai na	dʒai	dʒai	RS09	38	see n.		
117	seed n.	the seed	SEED	174_theseed	714	Eastern Puroik	lilee, melhae’	liləː	li+ləː	RS09	38	seed n.		
118	seven cardinal no.	seven	SEVEN	175_seven	1704	Eastern Puroik	liye’	lije	li+je	RS09	39	seven cardinal no.		
119	sharp adj. 	sharp	SHARP	176_sharp	1396	Eastern Puroik	athua	atʰua	a+tʰua	RS09	39	sharp adj. 		
120	stool	the shit	SHIT (DEFECATE)	250_theshit	676	Eastern Puroik	lhoung	ɬouŋ	ɬouŋ	AT90	15	stool		
121	shoot v.	to shoot (an arrow)	SHOOT	178_toshootanarrow	1172	Eastern Puroik	re’ na	re	re	RS09	39	shoot v.		
122	short adj.	short	SHORT	179_short	1645	Eastern Puroik	athong	atʰoŋ	a+tʰoŋ	RS09	39	short adj.		
123	shoulder n.	the shoulder	SHOULDER	180_theshoulder	1482	Eastern Puroik	poatok, puatok	puatok	pu+a+tok	RS09	39	shoulder n.		
124	sing v.	to sing	SING	183_tosing	1261	Eastern Puroik	luitnyiang	luitɲiaŋ	luit+ɲiaŋ	RS09	39	sing v.		
125	six cardinal no.	six	SIX	184_six	1703	Eastern Puroik	rai’	raɯ	raɯ	RS09	39	six cardinal no.		
126	skin n.	the skin	SKIN	185_theskin	763	Eastern Puroik	akhe, akhee	akʰə	a+kʰə	RS09	39	skin n.		
127	sky n.	the sky	SKY	186_thesky	1732	Eastern Puroik	khemi’ng	kʰəmɯŋ	kʰə+mɯŋ	RS09	39	sky n.		
128	sleep v.	to sleep	SLEEP	187_tosleep	1585	Eastern Puroik	ream na	rɛm	rɛm	RS09	39	sleep v.		
129	small adj.	small	SMALL	188_small	1246	Eastern Puroik	kheliang dau	kʰeliaŋ dau	kʰə+liaŋ+dau	RS09	39	small adj.		
130	to smell (perceive odor) [transitive]	to smell (perceive odor) [transitive]	SMELL (PERCEIVE)	189_tosmellperceiveodortransitive	1586	Eastern Puroik							?	
131	smoke n.	the smoke	SMOKE (EXHAUST)	190_thesmoke	778	Eastern Puroik	bae’khei’	baekʰeɯ	bae+kʰeɯ	RS09	40	smoke n.		
132	snake n.	the snake	SNAKE	192_thesnake	730	Eastern Puroik	iijie’	iːdʒie	iː+dʒie	RS09	40	snake n.		
133	snow n.	the snow	SNOW	193_thesnow	784	Eastern Puroik	kheruangbuang	kʰeruaŋbuaŋ	kʰə+ruaŋ+buaŋ	RS09	40	snow n.		
134	soft adj.	soft	SOFT	194_soft	1856	Eastern Puroik	anyiyam	aɲijam	a+ɲi+jam	RS09	40	soft adj.		
135	son n.	the son	SON	195_theson	1620	Eastern Puroik	adaufu, afudau	adaufu	a+dau+fu	RS09	40	son n.		
136	spider n.	the spider	SPIDER	197_thespider	843	Eastern Puroik	woong kasuak	wɔŋ kasuak	wɔŋ+ka+suak	RS09	40	spider n.		
137	spit v.	to spit	SPIT	198_tospit	1440	Eastern Puroik	kekik chiee na	kəkik tʃʰiəː	kə+kik+tʃʰiəː	RS09	40	spit v.		
138	stand v.	to stand	STAND	199_tostand	1442	Eastern Puroik	ching na	tʃʰiŋ	tʃʰiŋ	RS09	40	stand v.		
139	star n.	the star	STAR	200_thestar	1430	Eastern Puroik	hagit	hagit	ha+git	RS09	40	star n.		
140	steal v.	to steal	STEAL	201_tosteal	713	Eastern Puroik	aana, meaa na	aa	aː	RS09	41	steal v.		
141	stick n.	the stick	STICK	202_thestick	1295	Eastern Puroik	hin miang chak	hin miaŋ tʃʰak	hin+miaŋ+tʃʰak	RS09	41	stick n.		
142	stone n.	the stone (a piece of)	STONE	203_thestoneapieceof	857	Eastern Puroik	khebia	kʰebia	kʰə+bia	RS09	41	stone n.		
143	straight adj.	straight	STRAIGHT	204_straight	1404	Eastern Puroik	kherak berii	kʰərak bəriː	kʰə+rak+bə+riː	RS09	41	straight adj.		
144	sun n.	the sun	SUN	205_thesun	1343	Eastern Puroik	kri	kri	kri	RS09	41	sun n.		
145	tail n. 	the tail	TAIL	206_thetail	1220	Eastern Puroik	aanyime’, nyime’	aːɲime	aː+ɲi+me	RS09	41	tail n. 		
146	ten cardinal no.	ten	TEN	207_ten	1515	Eastern Puroik	suait	suait	suait	RS09	42	ten cardinal no.		
147	thick	thick	THICK	210_thick	1244	Eastern Puroik	apik	apik	a+pik	AT90	30	thick		
148	thigh n.	the thigh	UPPER LEG (THIGH)	211_thethigh	471	Eastern Puroik	chae’kung, lae’buk	tʃʰaekuŋ	tʃʰae+kuŋ	RS09	42	thigh n.		
149	thin adj.	thin (object)	THIN (OF SHAPE OF OBJECT)	212_thinobject	2249	Eastern Puroik	achabdau, ataakdau	atʃʰabdau	a+tʃʰab+dau	RS09	42	thin adj.		
150	think v.	to think (reflect)	THINK (REFLECT)	213_tothinkreflect	1415	Eastern Puroik	mina	mi	mi	RS09	42	think v.		
151	you	thou [second person singular]	THOU	215_thousecondpersonsingular	1215	Eastern Puroik	naa	naː	naː	RS09	46	you		
152	three cardinal no.	three	THREE	216_three	492	Eastern Puroik	ek	ək	ək	RS09	42	three cardinal no.		
153	throw v.	to throw	THROW	217_tothrow	1456	Eastern Puroik	tuigna	tuig	tuik	RS09	42	throw v.		
154	thunder n.	the thunder	THUNDER	218_thethunder	1150	Eastern Puroik	raanmang	raːnmaŋ	raːn+maŋ	RS09	42	thunder n.		
155	tongue n.	the tongue	TONGUE	222_thetongue	1205	Eastern Puroik	ruue’	ruːe	ruːe	RS09	43	tongue n.		
156	toothache	the tooth (front)	TOOTH	223_thetoothfront	1380	Eastern Puroik	khetoang raang	kʰətoaŋ	kʰə+toaŋ	RS09	43	toothache		
157	two cardinal no.	two	TWO	226_two	1498	Eastern Puroik	nyi	ɲi	ɲi	RS09	43	two cardinal no.		
158	vomit v.	to vomit	VOMIT	227_tovomit	1278	Eastern Puroik	moae’na	moae	moae	RS09	44	vomit v.		
159	walk v.	to walk	WALK	228_towalk	1443	Eastern Puroik	gaamna	gaːm	gaːm	RS09	44	walk v.		
160	water n.	the water	WATER	229_thewater	948	Eastern Puroik	kua	kua	kua	RS09	44	water n.		
161	wet adj.	wet	WET	231_wet	1726	Eastern Puroik	hiyaapna, yaam na	hijaːp	hi+jaːp	RS09	45	wet adj.		
162	white adj.	white	WHITE	235_white	1335	Eastern Puroik	arioong	ariooŋ	a+riɔŋ	RS09	45	white adj.		
163	who interrog. pron.	who	WHO	236_who	1235	Eastern Puroik	ha, habo	ha	ha	RS09	45	who interrog. pron.		
164	air, wind n.	the wind	WIND	238_thewind	960	Eastern Puroik	anghuik, hahuik	aŋhuik	aŋ+huik	RS09	2	air, wind n.		
165	wing n.	the wing	WING	239_thewing	1257	Eastern Puroik	aayoik	aːjoik	aː+joik	RS09	45	wing n.		
166	to wipe	to wipe	WIPE	240_towipe	1454	Eastern Puroik							?	
167	woman	the woman	WOMAN	242_thewoman	962	Eastern Puroik	déna	dəna	də+na	AT90	3	woman		
168	year n.	the year	YEAR	245_theyear	1226	Eastern Puroik	di’	dɯ	dɯ	RS09	46	year n.		
169	yellow	yellow	YELLOW	246_yellow	1424	Eastern Puroik	asoluwa	asoluwa	a+so+lu+wa	AT90	31	yellow		
170	above	above	ABOVE	1_above 	1741	Eastern Puroik	ayung	ajuŋ	a+juŋ	AT90	34	above		
171	all pref.	all	ALL	2_all	98	Eastern Puroik	melang	məlaŋ	mə+laŋ	RS09	2	all pref.		
172	the armpit	the armpit	ARMPIT	4_thearmpit	1886	Eastern Puroik							?	
173	bad adj.	bad	BAD	5_bad	1292	Eastern Puroik	bayi’	bajɯ	ba+jɯ	RS09	4	bad adj.		
174	the barley (tibetan or highland)	the barley (tibetan or highland)	BARLEY	7_thebarleytibetanorhighland	932	Eastern Puroik							?	
175	alive adj.	to be alive	BE ALIVE	8_tobealive	1422	Eastern Puroik	sikbae’	sikbae	sik+bae	RS09	2	alive adj.		
176	below pre. adv	below, under	BELOW OR UNDER	10_belowunder	1485	Eastern Puroik	avoa hak	avoa hak	a+voa	RS09	5	below pre. adv		
177	to blow v.	to blow (of wind)	BLOW (OF WIND)	16_toblowofwind	175	Eastern Puroik	fukna	fuk	fuk	RS09	6	to blow v.		
178	fur n.	the body hair (hair or fur)	HAIR (BODY)	17_thebodyhairhairorfur	189	Eastern Puroik	memoing anyiambo	məmoiŋ	mə+moiŋ	RS09	18	fur n.	in feather, fur	
179	child n.	the child (young human)	CHILD (YOUNG HUMAN)	24_thechildyounghuman	1304	Eastern Puroik	noadau	noadau	no+a+dau	RS09	9	child n.		
180	correctly adv.	correct (right)	CORRECT (RIGHT)	28_correctright	1725	Eastern Puroik	ketakjak	kətakdʒak	kə+tak+dʒak	RS09	11	correctly adv.		
181	dark adj.	dark	DARK	31_dark	706	Eastern Puroik	achik	atʃʰik	a+tʃʰik	RS09	12	dark adj.		
182	daughter n.	the daughter	DAUGHTER	32_thedaughter	1357	Eastern Puroik	adaumui	adaumui	a+dau+mui	RS09	12	daughter n.		
183	early adj.	early	EARLY	43_early	672	Eastern Puroik	khedi’che’	kʰədɯtʃʰe	kʰə+dɯ+tʃʰe	RS09	14	early adj.		
184	earthworm n.	the earthworm	EARTHWORM	45_theearthworm	2350	Eastern Puroik	pekhii	pəkʰiː	pəkʰiː	RS09	15	earthworm n.		
185	father adj.	the father	FATHER	51_thefather	1217	Eastern Puroik	apa	apa	a+pa	RS09	16	father adj.	adj.?	
186	feather n.	the feather	FEATHER	52_thefeather	1201	Eastern Puroik	pedau memoing	pədau məmoiŋ	pə+dau+mə+moiŋ	RS09	16	feather n.	bird+bodyhair	
187	firewood n.	firewood	FIREWOOD	55_firewood	10	Eastern Puroik	hiyin	hijin	hi+jin	RS09	17	firewood n.		
188	the flea	the flea	FLEA	58_theflea	232	Eastern Puroik							?	
189	float	to float	FLOAT	59_tofloat	1574	Eastern Puroik	kuwabuwa	kuabuwa	kua+bu+wa	AT90	42	float		
190	flow v.	to flow	FLOW	60_toflow	2003	Eastern Puroik	kua rue’yna	kua ruej	kua+ruej	RS09	17	flow v.		
191	fog n.	the fog	FOG	63_thefog	249	Eastern Puroik	sasu	sasu	sa+su	RS09	17	fog n.		
192	fox n.	the fox	FOX	68_thefox	1312	Eastern Puroik	sechuang	sətʃʰuaŋ	se+tʃʰuaŋ	RS09	18	fox n.	cf. wolf	
193	the frost	the frost	FROST	71_thefrost	2034	Eastern Puroik							?	
194	grass n.	the grass	GRASS	77_thegrass	606	Eastern Puroik	sasai	sasai	sa+sai	RS09	19	grass n.		
195	here adv.	here	HERE	88_here	136	Eastern Puroik	hena	həna	hə+na	RS09	20	here adv.		
196	high adj.	high / tall	HIGH	90_hightall	1265	Eastern Puroik	agia	agia	a+gia	RS09	20	high adj.		
197	hoof	the hoof	HOOF	92_thehoof	152	Eastern Puroik	kéchai	kətʃʰai	kə+tʃʰai	AT90	16	hoof		
198	horizontal	horizontal	HORIZONTAL	93_horizontal	2376	Eastern Puroik							?	
199	horse n.	the horse	HORSE	95_thehorse	615	Eastern Puroik	ghora, sheta	ʃəta	ʃə+ta	RS09	21	horse n.	ghora = IA	
200	hundred cardinal no.	hundred	HUNDRED	98_hundred	1634	Eastern Puroik	leeng	ləːŋ	ləːŋ	RS09	21	hundred cardinal no.		
201	hunt v.	to hunt	HUNT	99_tohunt	1435	Eastern Puroik	mepiyana	məpija	mə+pi+ja	RS09	21	hunt v.		
202	husband n.	the husband	HUSBAND	100_thehusband	1200	Eastern Puroik	avoe’y, awoe’	awoe	a+woe	RS09	21	husband n.		
203	ice n.	the ice	ICE	102_theice	617	Eastern Puroik	khesi’	kʰəsɯ	kʰə+sɯ	RS09	21	ice n.		
204	to knead	to knead	KNEAD	105_toknead	274	Eastern Puroik							?	
205	knife n.	knife	KNIFE	107_knife	1352	Eastern Puroik	che’dau	tʃʰedau	tʃʰe+dau	RS09	25	knife n.		
206	know v.	to know (something)	KNOW (SOMETHING)	108_toknowsomething	1410	Eastern Puroik	dait na	dait	dait	RS09	25	know v.		
207	lake n.	the lake	LAKE	109_thelake	624	Eastern Puroik	amaing	amaiŋ	a+maiŋ	RS09	25	lake n.		
