RID	GLOSS	DOCULECT	Language_Name	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES
NamreiBisai_22	today	NamreiBisai	Namrei (Bisai)	TODAY	1283	huŋgə	huŋ+gə	Abraham2018	
NamreiBisai_24	tomorrow	NamreiBisai	Namrei (Bisai)	TOMORROW	1329	nanəgo	na+nə+go	Abraham2018	
NamreiBisai_109	tongue	NamreiBisai	Namrei (Bisai)	TONGUE	1205	jakhe	ja+kʰe	Abraham2018	*bə-laj
NamreiBisai_110	tooth	NamreiBisai	Namrei (Bisai)	TOOTH	1380	tə	tə	Abraham2018	*mə-taC
NamreiBisai_43	tree	NamreiBisai	Namrei (Bisai)	TREE	906	gonoi	go+noi	Abraham2018	*(g)o-naj
NamreiBisai_237	twenty	NamreiBisai	Namrei (Bisai)	TWENTY	1710	kərətan	kə+rə+tan	Abraham2018	
NamreiBisai_226	two	NamreiBisai	Namrei (Bisai)	TWO	1498	kəran	kə+ran	Abraham2018	*gə-niC
NamreiBisai_nan	thigh	NamreiBisai	Namrei (Bisai)	UPPER LEG (THIGH)	471	Ø	Ø	Ø	*mə-lu
NamreiBisai_nan	vomit	NamreiBisai	Namrei (Bisai)	VOMIT	1278	Ø	Ø	Ø	*mu
NamreiBisai_177	to walk	NamreiBisai	Namrei (Bisai)	WALK	1443	daiʔna	daiʔ+na	Abraham2018	*daj
NamreiBisai_13	water	NamreiBisai	Namrei (Bisai)	WATER	948	və	və	Abraham2018	*wi
NamreiBisai_304	1st pl.	NamreiBisai	Namrei (Bisai)	WE (INCLUSIVE)	1131	animihõŋ	a+ni+mi+hõŋ	Abraham2018	*ka-ni
NamreiBisai_271	wet	NamreiBisai	Namrei (Bisai)	WET	1726	məgəro	mə+gə+ro	Abraham2018	
NamreiBisai_293	what	NamreiBisai	Namrei (Bisai)	WHAT	1236	tən	tən	Abraham2018	*tiŋ
NamreiBisai_36	wheat	NamreiBisai	Namrei (Bisai)	WHEAT	1077	Ø	Ø	Abraham2018	
NamreiBisai_291	where	NamreiBisai	Namrei (Bisai)	WHERE	1237	khək	kʰək	Abraham2018	*kəʔ
NamreiBisai_286	white	NamreiBisai	Namrei (Bisai)	WHITE	1335	mugram	mu+gram	Abraham2018	*mə-graN (changed)
NamreiBisai_292	who	NamreiBisai	Namrei (Bisai)	WHO	1235	təə	təə	Abraham2018	*θu
NamreiBisai_133	wife	NamreiBisai	Namrei (Bisai)	WIFE	1199	zi	zi	Abraham2018	
NamreiBisai_8	wind	NamreiBisai	Namrei (Bisai)	WIND	960	jo	jo	Abraham2018	*low
NamreiBisai_nan	wing	NamreiBisai	Namrei (Bisai)	WING	1257	Ø	Ø	Ø	*gə/mə-tɕəwC
NamreiBisai_208	to wipe	NamreiBisai	Namrei (Bisai)	WIPE	1454	ʃepo	ʃe+po	Abraham2018	
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	WOLF	522	Ø	Ø	Ø	
NamreiBisai_129	woman	NamreiBisai	Namrei (Bisai)	WOMAN	962	nəmrai	nəm+rai	Abraham2018	*nə+mə+raj
NamreiBisai_nan	wood	NamreiBisai	Namrei (Bisai)	WOOD	1803	go	go	TB	*(g)o; firewood = wood
NamreiBisai_27	year	NamreiBisai	Namrei (Bisai)	YEAR	1226	dəraŋ	də+raŋ	Abraham2018	*də-niŋ
NamreiBisai_289	yellow	NamreiBisai	Namrei (Bisai)	YELLOW	1424	mədʒo	mə+dʒo	Abraham2018	
NamreiBisai_23	yesterday	NamreiBisai	Namrei (Bisai)	YESTERDAY	1174	təganogo	tə+ga+no+go	Abraham2018	*də-gaC
NamreiBisai_305	2nd pl. (familiar)	NamreiBisai	Namrei (Bisai)	YOU	1213	dʒmihõŋ	dʒ+mi+hõŋ	Abraham2018	*dʑV
NamreiBisai_nan	Ø	NamreiBisai	Namrei (Bisai)	YOUNG	1207	Ø	Ø	Ø	
NamreiNabolang_279	above	NamreiNabolang	Namrei (Nabolang)	ABOVE	1741	tʃajoŋ	tʃa+joŋ	Abraham2018	
NamreiNabolang_243	all	NamreiNabolang	Namrei (Nabolang)	ALL	98	mihuŋ	mi+huŋ	Abraham2018	
NamreiNabolang_97	ant	NamreiNabolang	Namrei (Nabolang)	ANT	587	ɕəni	ɕə+ni	Abraham2018	*si-ni
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	ARMPIT	1886	Ø	Ø	Ø	
NamreiNabolang_275	bad	NamreiNabolang	Namrei (Nabolang)	BAD	1292	məni	mə+ni	Abraham2018	*mə-niŋ
NamreiNabolang_48	bamboo	NamreiNabolang	Namrei (Nabolang)	BAMBOO	1927	brə	brə	Abraham2018	*bra
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	BARLEY	932	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	BE ALIVE	1422	Ø	Ø	Ø	
NamreiNabolang_123	belly	NamreiNabolang	Namrei (Nabolang)	BELLY	1251	nəgəʔ	nə+gəʔ	Abraham2018	
NamreiNabolang_280	below	NamreiNabolang	Namrei (Nabolang)	BELOW OR UNDER	1485	tʃama	tʃa+ma	Abraham2018	
NamreiNabolang_244	big	NamreiNabolang	Namrei (Nabolang)	BIG	1202	mədo	mə+do	Abraham2018	*mə-doʔ
NamreiNabolang_91	bird	NamreiNabolang	Namrei (Nabolang)	BIRD	937	bədʒi	bə+dʒi	Abraham2018	*bə-dow
NamreiNabolang_191	to bite	NamreiNabolang	Namrei (Nabolang)	BITE	1403	taʔna	taʔ	Abraham2018	*taʔ
NamreiNabolang_285	black	NamreiNabolang	Namrei (Nabolang)	BLACK	163	momo	mo+mo	Abraham2018	
NamreiNabolang_121	blood	NamreiNabolang	Namrei (Nabolang)	BLOOD	946	ʒi	ʒi	Abraham2018	*jaC
NamreiNabolang_nan	blow	NamreiNabolang	Namrei (Nabolang)	BLOW (OF WIND)	175	Ø	Ø	Ø	
NamreiNabolang_118	bone	NamreiNabolang	Namrei (Nabolang)	BONE	1394	mariaŋ	ma+riaŋ	Abraham2018	*mə-ri-jaŋ
NamreiNabolang_44	branch	NamreiNabolang	Namrei (Nabolang)	BRANCH	1531	mənətʃaŋ	mə+nə+tʃaŋ	Abraham2018	
NamreiNabolang_60	breast; milk	NamreiNabolang	Namrei (Nabolang)	BREAST	1402	nag	nag	Abraham2018	*mə-nuŋ  milk = breast
NamreiNabolang_214	to burn	NamreiNabolang	Namrei (Nabolang)	BURNING	1428	frəna	frə+na	Abraham2018	
NamreiNabolang_215	to buy	NamreiNabolang	Namrei (Nabolang)	BUY	1869	phənʔna	pʰənʔ+na	Abraham2018	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	CHEW	321	Ø	Ø	Ø	
NamreiNabolang_nan	child	NamreiNabolang	Namrei (Nabolang)	CHILD (YOUNG HUMAN)	1304	Ø	Ø	Ø	
NamreiNabolang_115	fingernail	NamreiNabolang	Namrei (Nabolang)	CLAW OR NAIL	2128	giten	gi+ten	Abraham2018	
NamreiNabolang_5	cloud	NamreiNabolang	Namrei (Nabolang)	CLOUD	1489	maimər	mai+mər	Abraham2018	*maj-məwŋ
NamreiNabolang_273	cold	NamreiNabolang	Namrei (Nabolang)	COLD	1287	mətʃou	mə+tʃou	Abraham2018	
NamreiNabolang_173	to come	NamreiNabolang	Namrei (Nabolang)	COME	1446	kona	ko+na	Abraham2018	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	CORRECT (RIGHT)	1725	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	COUNT	1420	Ø	Ø	Ø	
NamreiNabolang_185	to cry	NamreiNabolang	Namrei (Nabolang)	CRY	1839	krəmna	krəm+na	Abraham2018	*kraC
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	DARK	706	Ø	Ø	Ø	
NamreiNabolang_135	daughter	NamreiNabolang	Namrei (Nabolang)	DAUGHTER	1357	ʒəmrai	ʒəm+rai	Abraham2018	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	DEW	1977	Ø	Ø	Ø	
NamreiNabolang_222	to die	NamreiNabolang	Namrei (Nabolang)	DIE	1494	teina	tei+na	Abraham2018	*θəj
NamreiNabolang_nan	dig	NamreiNabolang	Namrei (Nabolang)	DIG	1418	Ø	Ø	Ø	*taC
NamreiNabolang_nan	dirty	NamreiNabolang	Namrei (Nabolang)	DIRTY	1230	Ø	Ø	Ø	*ni-tɕi
NamreiNabolang_78	dog	NamreiNabolang	Namrei (Nabolang)	DOG	2009	zazai	za+zai	Abraham2018	
NamreiNabolang_198	to dream	NamreiNabolang	Namrei (Nabolang)	DREAM	2374	taiməna	tai+mə+na	Abraham2018	*tai-mə
NamreiNabolang_189	to drink	NamreiNabolang	Namrei (Nabolang)	DRINK	1401	toŋna	toŋ+na	Abraham2018	*tuŋ
NamreiNabolang_270	dry	NamreiNabolang	Namrei (Nabolang)	DRY	1398	mekhijan	me+kʰi+jan	Abraham2018	*mə-ki-laŋ
NamreiNabolang_17	dust	NamreiNabolang	Namrei (Nabolang)	DUST	2	nanəmoʔ	na+nə+moʔ	Abraham2018	
NamreiNabolang_105	ear	NamreiNabolang	Namrei (Nabolang)	EAR	1247	dʒo	dʒo	Abraham2018	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	EARLY	672	Ø	Ø	Ø	
NamreiNabolang_15	soil/ground	NamreiNabolang	Namrei (Nabolang)	EARTH (SOIL)	1228	naʔ	naʔ	Abraham2018	*naʔ
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	EARTHWORM	2350	Ø	Ø	Ø	
NamreiNabolang_188	to eat	NamreiNabolang	Namrei (Nabolang)	EAT	1336	tʃəna	tʃə+na	Abraham2018	*tɕa
NamreiNabolang_88	egg	NamreiNabolang	Namrei (Nabolang)	EGG	744	doriŋ	do+riŋ	Abraham2018	*do-riŋ
NamreiNabolang_232	eight	NamreiNabolang	Namrei (Nabolang)	EIGHT	1705	ɕəgə	ɕə+gə	Abraham2018	*sə-giC
NamreiNabolang_103	eye	NamreiNabolang	Namrei (Nabolang)	EYE	1248	mẽ	mẽ	Abraham2018	*mə-jaʔ
NamreiNabolang_281	far	NamreiNabolang	Namrei (Nabolang)	FAR	1406	mərən	mə+rən	Abraham2018	*mə-rəŋ
NamreiNabolang_130	father	NamreiNabolang	Namrei (Nabolang)	FATHER	1217	aba	a+ba	Abraham2018	
NamreiNabolang_nan	body hair or feather	NamreiNabolang	Namrei (Nabolang)	FEATHER	1201	Ø	Ø	Ø	*mə-muC
NamreiNabolang_nan	fight	NamreiNabolang	Namrei (Nabolang)	FIGHT	1423	Ø	Ø	Ø	*rəj
NamreiNabolang_165	fire	NamreiNabolang	Namrei (Nabolang)	FIRE	221	mai	mai	Abraham2018	*maj
NamreiNabolang_nan	wood	NamreiNabolang	Namrei (Nabolang)	FIREWOOD	10	Ø	Ø	Ø	*(g)o; firewood = wood
NamreiNabolang_89	fish	NamreiNabolang	Namrei (Nabolang)	FISH	227	tʃoi	tʃoi	Abraham2018	*trV
NamreiNabolang_229	five	NamreiNabolang	Namrei (Nabolang)	FIVE	493	puŋu	pu+ŋu	Abraham2018	*bə-ŋu
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	FLEA	232	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	FLOAT	1574	Ø	Ø	Ø	
NamreiNabolang_nan	flow	NamreiNabolang	Namrei (Nabolang)	FLOW	2003	Ø	Ø	Ø	
NamreiNabolang_54	flower	NamreiNabolang	Namrei (Nabolang)	FLOWER	239	gəbo	gə+bo	Abraham2018	*mə-boC
NamreiNabolang_178	to fly	NamreiNabolang	Namrei (Nabolang)	FLY (MOVE THROUGH AIR)	1441	kənoina	kə+noi+na	Abraham2018	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	FOG	249	Ø	Ø	Ø	
NamreiNabolang_117	leg; foot	NamreiNabolang	Namrei (Nabolang)	FOOT	1301	lei	lei	Abraham2018	*laj
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	FOREST	420	Ø	Ø	Ø	
NamreiNabolang_196	to forget	NamreiNabolang	Namrei (Nabolang)	FORGET	1523	ɬaŋ	ɬaŋ	Abraham2018	
NamreiNabolang_228	four	NamreiNabolang	Namrei (Nabolang)	FOUR	1500	pəlei	pə+lei	Abraham2018	*bə-ləj
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	FOX	1312	Ø	Ø	Ø	
NamreiNabolang_77	frog	NamreiNabolang	Namrei (Nabolang)	FROG	503	dʒou	dʒou	Abraham2018	*dʑuC
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	FRONT (PART)	2194	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	FROST	2034	Ø	Ø	Ø	
NamreiNabolang_49	fruit	NamreiNabolang	Namrei (Nabolang)	FRUIT	1507	gutan	gu+tan	Abraham2018	*θai
NamreiNabolang_256	full	NamreiNabolang	Namrei (Nabolang)	FULL	1429	ləndaŋ	lən+daŋ	Abraham2018	*liŋ
NamreiNabolang_220	to give	NamreiNabolang	Namrei (Nabolang)	GIVE	1447	beina	bei+na	Abraham2018	*bəj
NamreiNabolang_84	goat	NamreiNabolang	Namrei (Nabolang)	GOAT	1502	ʃəpen	ʃə+pen	Abraham2018	*se-preN
NamreiNabolang_274	good	NamreiNabolang	Namrei (Nabolang)	GOOD	1035	məvi	mə+vi	Abraham2018	
NamreiNabolang_nan	grass	NamreiNabolang	Namrei (Nabolang)	GRASS	606	Ø	Ø	Ø	
NamreiNabolang_288	green	NamreiNabolang	Namrei (Nabolang)	GREEN	1425	məlo	mə+lo	Abraham2018	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	HAIL	609	Ø	Ø	Ø	
NamreiNabolang_102	hair	NamreiNabolang	Namrei (Nabolang)	HAIR	1040	gopə	go+pə	Abraham2018	*go-pu
NamreiNabolang_nan	body hair or feather	NamreiNabolang	Namrei (Nabolang)	HAIR (BODY)	189	Ø	Ø	Ø	*mə-muC
NamreiNabolang_112	hand or arm	NamreiNabolang	Namrei (Nabolang)	HAND	1277	gi	gi	Abraham2018	*mə-guC
NamreiNabolang_nan	hard	NamreiNabolang	Namrei (Nabolang)	HARD	1884	Ø	Ø	Ø	*mə-gaŋ-lo
NamreiNabolang_302	3rd sg. (generic/male)	NamreiNabolang	Namrei (Nabolang)	HE OR SHE OR IT	262	ai	ai	Abraham2018	*ʔi
NamreiNabolang_99	head	NamreiNabolang	Namrei (Nabolang)	HEAD	1256	gou	gou	Abraham2018	*mə-go-kuŋ
NamreiNabolang_183	listen or hear	NamreiNabolang	Namrei (Nabolang)	HEAR	1408	roina	roi+na	Abraham2018	*rej
NamreiNabolang_124	heart (organ)	NamreiNabolang	Namrei (Nabolang)	HEART	1223	loŋvə	loŋ+və	Abraham2018	*mə-luŋ-wəwC
NamreiNabolang_248	heavy	NamreiNabolang	Namrei (Nabolang)	HEAVY	1210	məlei	mə+lei	Abraham2018	*mə-ləj
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	HERE	136	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	HIDE (CONCEAL)	602	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	HIGH	1265	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	HOLD	1448	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	HOOF	152	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	HORIZONTAL	2376	Ø	Ø	Ø	
NamreiNabolang_82	horn (of buffalo)	NamreiNabolang	Namrei (Nabolang)	HORN (ANATOMY)	1393	məsəʃoŋ	mə+sə+ʃoŋ	Abraham2018	*mə-su
NamreiNabolang_nan	horse	NamreiNabolang	Namrei (Nabolang)	HORSE	615	Ø	Ø	Ø	IA LOAN
NamreiNabolang_272	hot	NamreiNabolang	Namrei (Nabolang)	HOT	1286	məzi	mə+zi	Abraham2018	*tɕaC
NamreiNabolang_238	hundred	NamreiNabolang	Namrei (Nabolang)	HUNDRED	1634	pəloŋ	pə+loŋ	Abraham2018	*bə-luŋ
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	HUNT	1435	Ø	Ø	Ø	
NamreiNabolang_132	husband	NamreiNabolang	Namrei (Nabolang)	HUSBAND	1200	nəgai	nə+gai	Abraham2018	
NamreiNabolang_299	1st sg. (I)	NamreiNabolang	Namrei (Nabolang)	I	1209	ɲijan	ɲi+jan	Abraham2018	*na(+jaŋ)
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	ICE	617	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	INSIDE	1606	Ø	Ø	Ø	
NamreiNabolang_221	to kill	NamreiNabolang	Namrei (Nabolang)	KILL	1417	gaina	gai+na	Abraham2018	*gajC
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	KNEAD	274	Ø	Ø	Ø	
NamreiNabolang_116	knee	NamreiNabolang	Namrei (Nabolang)	KNEE	1371	lekəpiu	le+kə+piu	Abraham2018	
NamreiNabolang_159	knife (to cut meat)	NamreiNabolang	Namrei (Nabolang)	KNIFE	1352	vaitʃoŋʒi	vai+tʃoŋ+ʒi	Abraham2018	*vaj-tsuŋ
NamreiNabolang_195	to know	NamreiNabolang	Namrei (Nabolang)	KNOW (SOMETHING)	1410	nina	ni+na	Abraham2018	*ni
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	LAKE	624	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	LATE	477	Ø	Ø	Ø	
NamreiNabolang_192	to laugh	NamreiNabolang	Namrei (Nabolang)	LAUGH	1355	tona	to+na	Abraham2018	*toC
NamreiNabolang_45	leaf	NamreiNabolang	Namrei (Nabolang)	LEAF	628	məlam	mə+lam	Abraham2018	*mə-rajC
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	LEARN	504	Ø	Ø	Ø	
NamreiNabolang_284	left	NamreiNabolang	Namrei (Nabolang)	LEFT	244	sivijo	si+vjo	Abraham2018	
NamreiNabolang_nan	lick	NamreiNabolang	Namrei (Nabolang)	LICK	319	Ø	Ø	Ø	
NamreiNabolang_176	to rest	NamreiNabolang	Namrei (Nabolang)	LIE DOWN	215	hamna	ham+na	Abraham2018	
NamreiNabolang_249	light (not heavy)	NamreiNabolang	Namrei (Nabolang)	LIGHT (WEIGHT)	1052	mənətaŋ	mə+nə+taŋ	Abraham2018	*mə-lə-taŋ
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	LIP	478	Ø	Ø	Ø	
NamreiNabolang_nan	liver/lungs	NamreiNabolang	Namrei (Nabolang)	LIVER	1224	Ø	Ø	Ø	*mə-θin LIVER
NamreiNabolang_246	long	NamreiNabolang	Namrei (Nabolang)	LONG	1203	məpijaŋ	mə+pjaŋ	Abraham2018	*mə-pjaŋ
NamreiNabolang_nan	louse	NamreiNabolang	Namrei (Nabolang)	LOUSE	1392	Ø	Ø	Ø	*saC
NamreiNabolang_nan	liver/lungs	NamreiNabolang	Namrei (Nabolang)	LUNG	688	Ø	Ø	Ø	*mə-θin LIVER
NamreiNabolang_128	man	NamreiNabolang	Namrei (Nabolang)	MALE PERSON	2106	ɲəjə	ɲə+jə	Abraham2018	*niC
NamreiNabolang_242	many	NamreiNabolang	Namrei (Nabolang)	MANY	1198	mənau	mə+nau	Abraham2018	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	MARRY (AS MAN)	2164	Ø	Ø	Ø	
NamreiNabolang_62	meat	NamreiNabolang	Namrei (Nabolang)	MEAT	634	sĭkijuŋ	si+ki+juŋ	Abraham2018	*su
NamreiNabolang_30	noon	NamreiNabolang	Namrei (Nabolang)	MIDDAY	12	məgəlou	mə+gə+lou	Abraham2018	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	MIDDLE	1093	Ø	Ø	Ø	
NamreiNabolang_3	moon	NamreiNabolang	Namrei (Nabolang)	MOON	1313	lə	lə	Abraham2018	*lu
NamreiNabolang_29	morning	NamreiNabolang	Namrei (Nabolang)	MORNING	1339	nəgou	nə+gou	Abraham2018	
NamreiNabolang_98	mosquito	NamreiNabolang	Namrei (Nabolang)	MOSQUITO	1509	sirdoŋmai	sir+doŋ+mai	Abraham2018	
NamreiNabolang_131	mother	NamreiNabolang	Namrei (Nabolang)	MOTHER	1216	aɲe	a+ɲe	Abraham2018	*me-naj (*a-naj)
NamreiNabolang_12	mountain	NamreiNabolang	Namrei (Nabolang)	MOUNTAIN	639	poŋ	poŋ	Abraham2018	
NamreiNabolang_108	mouth or language	NamreiNabolang	Namrei (Nabolang)	MOUTH	674	ɲeləi	ɲe+ləi	Abraham2018	*mə-nuŋ
NamreiNabolang_16	mud	NamreiNabolang	Namrei (Nabolang)	MUD	640	nagdʒu	na+g+dʒu	Abraham2018	
NamreiNabolang_86	rat	NamreiNabolang	Namrei (Nabolang)	MUROID (MOUSE OR RAT)	2139	dʒəu	dʒəu	Abraham2018	
NamreiNabolang_141	name	NamreiNabolang	Namrei (Nabolang)	NAME	1405	mə̃rn	mə̃rn	Abraham2018	*mə-mjiŋ
NamreiNabolang_253	narrow	NamreiNabolang	Namrei (Nabolang)	NARROW	1267	məbəu	mə+bəu	Abraham2018	
NamreiNabolang_282	near	NamreiNabolang	Namrei (Nabolang)	NEAR	1942	məroi	mə+roi	Abraham2018	*mə-nej
NamreiNabolang_101	neck	NamreiNabolang	Namrei (Nabolang)	NECK	1333	domə	do+mə	Abraham2018	
NamreiNabolang_155	needle	NamreiNabolang	Namrei (Nabolang)	NEEDLE (FOR SEWING)	1382	tigamsərei	ti+gam+sə+rei	Abraham2018	
NamreiNabolang_276	new	NamreiNabolang	Namrei (Nabolang)	NEW	1231	məkərə	mə+kə+rə	Abraham2018	*mə-gə-nu
NamreiNabolang_143	nine	NamreiNabolang	Namrei (Nabolang)	NINE	1483	ɕətan	ɕə+tan	Abraham2018	*sə-tiŋ
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	NIT	267	Ø	Ø	Ø	
NamreiNabolang_104	nose	NamreiNabolang	Namrei (Nabolang)	NOSE	1221	nebijoŋ	ne+bjoŋ	Abraham2018	
NamreiNabolang_277	old	NamreiNabolang	Namrei (Nabolang)	OLD (AGED)	2112	məʃoʔ	mə+ʃoʔ	Abraham2018	*mə-ɕoʔ
NamreiNabolang_225	one	NamreiNabolang	Namrei (Nabolang)	ONE	1493	akhowa	a+kʰo+wa	Abraham2018	*a-ken
NamreiNabolang_nan	otter	NamreiNabolang	Namrei (Nabolang)	OTTER	15	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	OUTSIDE	762	Ø	Ø	Ø	
NamreiNabolang_nan	pig	NamreiNabolang	Namrei (Nabolang)	PIG	1337	dʒoʔ	dʒoʔ	Abraham2018	*jowʔ
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	PLANT (SOMETHING)	1486	Ø	Ø	Ø	
NamreiNabolang_201	to play	NamreiNabolang	Namrei (Nabolang)	PLAY	1413	ɕutuna	ɕu+tu+na	Abraham2018	
NamreiNabolang_206	to pull	NamreiNabolang	Namrei (Nabolang)	PULL	1455	ɕaana	ɕaː+na	Abraham2018	
NamreiNabolang_205	to push	NamreiNabolang	Namrei (Nabolang)	PUSH	1452	seruna	se+ru+na	Abraham2018	
NamreiNabolang_6	rain	NamreiNabolang	Namrei (Nabolang)	RAIN (PRECIPITATION)	658	fro	fro	Abraham2018	*nə-dəj; *pro
NamreiNabolang_7	rainbow	NamreiNabolang	Namrei (Nabolang)	RAINBOW	1733	jomonəkəi	jo+mo+nə+kəi	Abraham2018	
NamreiNabolang_287	red	NamreiNabolang	Namrei (Nabolang)	RED	156	mətʃi	mə+tʃi	Abraham2018	*tɕaʔ
NamreiNabolang_nan	sit or stay	NamreiNabolang	Namrei (Nabolang)	DWELL (LIVE, RESIDE)	363	gijona	gjo+na	Abraham2018	*dʑuC
NamreiNabolang_33	paddy rice	NamreiNabolang	Namrei (Nabolang)	RICE PLANT	2026	ŋam	ŋam	Abraham2018	*an
NamreiNabolang_283	right	NamreiNabolang	Namrei (Nabolang)	RIGHT	1019	ɕədʒen	ɕə+dʒen	Abraham2018	
NamreiNabolang_14	river	NamreiNabolang	Namrei (Nabolang)	RIVER	666	vədo	və+do	Abraham2018	
NamreiNabolang_170	road	NamreiNabolang	Namrei (Nabolang)	ROAD	667	labaŋ	la+baŋ	Abraham2018	*lam-baŋ
NamreiNabolang_47	root	NamreiNabolang	Namrei (Nabolang)	ROOT	670	məkhən	mə+kʰən	Abraham2018	*mə-kriŋ
NamreiNabolang_nan	cane; rope	NamreiNabolang	Namrei (Nabolang)	ROPE	1218	Ø	Ø	Ø	*su; cane = rope
NamreiNabolang_nan	round	NamreiNabolang	Namrei (Nabolang)	ROUND	1395	mədəriu	mə+də+riu	Abraham2018	*mə-də-rəw
NamreiNabolang_nan	run	NamreiNabolang	Namrei (Nabolang)	RUN	1519	Ø	Ø	Ø	
NamreiNabolang_63	salt	NamreiNabolang	Namrei (Nabolang)	SALT	1274	lə	lə	Abraham2018	*lu
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	SALTY	1091	Ø	Ø	Ø	
NamreiNabolang_19	sand	NamreiNabolang	Namrei (Nabolang)	SAND	671	ɕəgəroi	ɕə+gə+roi	Abraham2018	*sə-gə-raj
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	SCRATCH	1436	Ø	Ø	Ø	
NamreiNabolang_11	sea	NamreiNabolang	Namrei (Nabolang)	SEA	1474	ɕətərəlou	ɕə+tə+rə+lou	Abraham2018	
NamreiNabolang_182	to see	NamreiNabolang	Namrei (Nabolang)	SEE	1409	gaŋna	gaŋ+na	Abraham2018	*gaŋ
NamreiNabolang_55	seed	NamreiNabolang	Namrei (Nabolang)	SEED	714	tailoi	tai+loi	Abraham2018	*mə-θai
NamreiNabolang_231	seven	NamreiNabolang	Namrei (Nabolang)	SEVEN	1704	mija	mi+ja	Abraham2018	*mə-ljak
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	SHARP	1396	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	SHEEP	1331	Ø	Ø	Ø	
NamreiNabolang_nan	excrete or defecate	NamreiNabolang	Namrei (Nabolang)	SHIT (DEFECATE)	676	Ø	Ø	Ø	*tsəj
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	SHOOT	1172	Ø	Ø	Ø	
NamreiNabolang_247	short (length)	NamreiNabolang	Namrei (Nabolang)	SHORT	1645	məruŋ	mə+ruŋ	Abraham2018	*mə-nuŋ
NamreiNabolang_nan	shoulder	NamreiNabolang	Namrei (Nabolang)	SHOULDER	1482	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	SHY	487	Ø	Ø	Ø	
NamreiNabolang_nan	Ø	NamreiNabolang	Namrei (Nabolang)	SICKLE	341	Ø	Ø	Ø	
