RID	DOCULECT	CONCEPT	CONCEPTICON_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	SEGMENTS
222	DirangTshangla	160_thericeplant	the rice plant	RICE PLANT	160_thericeplant	2026	ra	ra	TB	r a
223	DirangTshangla	162_theriver	the river	RIVER	162_theriver	666	goŋ+ri	goŋ+ri	TB	g o ŋ + r i
224	DirangTshangla	167_torun	to run	RUN	167_torun	1519	jar	jar	TB	j a r
225	DirangTshangla	169_salty	salty	SALTY	169_salty	1091	in+tɕʰa+kʰa+lan	in+tʃʰa+kʰa+lan	TB	i n + tʃʰ a + kʰ a + l a n
226	DirangTshangla	172_thesea	the sea	SEA	172_thesea	1474	dʑam+tsʰo	dʒam+tsʰo	TB	dʒ a m + tsʰ o
227	DirangTshangla	177_thesheep	the sheep	SHEEP	177_thesheep	1331	ɕi+ɕa	ɕi+ɕa	TB	ɕ i + ɕ a
228	DirangTshangla	181_shy	shy	SHY	181_shy	487	tsʰer+ban	tsʰer+ban	TB	tsʰ e r + b a n
229	DirangTshangla	182_thesickle	the sickle	SICKLE	182_thesickle	341	ba+ri+woŋ	ba+ri+woŋ	TB	b a + r i + w o ŋ
230	DirangTshangla	191_smooth	smooth	SMOOTH	191_smooth	1234	dʑam+bu	dʒam+bu	TB	dʒ a m + b u
231	DirangTshangla	196_thesparrow	the sparrow	SPARROW	196_thesparrow	1854	tɕʰu+kʰa	tʃʰu+kʰa	TB	tʃʰ u + kʰ a
232	DirangTshangla	208_that	that	THAT	208_that	78	u+ɲu	u+ɲu	TB	u + ɲ u
233	DirangTshangla	209_there	there	THERE	209_there	1937	a+ɲa	a+ɲa	TB	a + ɲ a
234	DirangTshangla	214_this	this	THIS	214_this	1214	u+tʰu	u+tʰu	TB	u + tʰ u
235	DirangTshangla	219_thetiger	the tiger	TIGER	219_thetiger	846	bu+ɕu	bu+ɕu	TB	b u + ɕ u
236	DirangTshangla	220_today	today	TODAY	220_today	1283	tʰi+nuŋ	tʰi+nuŋ	TB	tʰ i + n u ŋ
237	DirangTshangla	221_tomorrow	tomorrow	TOMORROW	221_tomorrow	1329	ŋam+tɕʰa	ŋam+tʃʰa	TB	ŋ a m + tʃʰ a
238	DirangTshangla	224_thetree	the tree	TREE	224_thetree	906	ɕiŋ	ɕiŋ	TB	ɕ i ŋ
239	DirangTshangla	225_twenty	twenty	TWENTY	225_twenty	1710	kʰei	kʰei	TB	kʰ ei
240	DirangTshangla	230_wefirstpersonpluralinclusive	we [first person plural inclusive]	WE (INCLUSIVE)	230_wefirstpersonpluralinclusive	1131	a+ɕi	a+ɕi	TB	a + ɕ i
241	DirangTshangla	232_what	what	WHAT	232_what	1236	haŋ	haŋ	TB	h a ŋ
242	DirangTshangla	233_thewheat	the wheat	WHEAT	233_thewheat	1077	rem+pʰoŋ	rem+pʰoŋ	TB	r e m + pʰ o ŋ
243	DirangTshangla	234_where	where	WHERE	234_where	1237	ba	ba	TB	b a
244	DirangTshangla	237_thewife	the wife	WIFE	237_thewife	1199	ɲi+zi	ɲi+zi	TB	ɲ i + z i
245	DirangTshangla	241_thewolf	the wolf	WOLF	241_thewolf	522			TB	
246	DirangTshangla	243_thewoodmaterial	the wood (material)	WOOD	243_thewoodmaterial	1803	ɕiŋ	ɕiŋ	TB	ɕ i ŋ
247	DirangTshangla	244_tosowbroadcastscatterseeds	to sow (broadcast, scatter seeds)	SOW SEEDS	244_tosowbroadcastscatterseeds	748	jaŋ	jaŋ	TB	j a ŋ
248	DirangTshangla	247_yesterday	yesterday	YESTERDAY	247_yesterday	1174	iŋ	iŋ	TB	i ŋ
249	DirangTshangla	248_yousecondpersonplural	you [second person plural]	YOU	248_yousecondpersonplural	1213	nan	nan	TB	n a n
250	DirangTshangla	249_young	young	YOUNG	249_young	1207	jam+naŋ	jam+naŋ	TB	j a m + n a ŋ
