ENTRYID	gloss	VALUE	FORM	CONCEPTICON_GLOSS	CONCEPTICON_ID	gfn	language	source	srcid	note
189596	wheat	glɑi⁵³	glɑi⁵³	WHEAT	1077	592	Kaman	ZMYYC		
230396	where	ji⁵⁵ hɑi⁵³	ji⁵⁵ hɑi⁵³	WHERE	1237	592	Kaman	ZMYYC		
222848	white	kɯ³¹ mphlɑŋ⁵⁵	kɯ³¹ mpʰlɑŋ⁵⁵	WHITE	1335	592	Kaman	ZMYYC		
230243	who	ȵɑ⁵⁵	ȵɑ⁵⁵	WHO	1235	592	Kaman	ZMYYC		
197246	wife	kɯ³¹ mɑi³⁵	kɯ³¹ mɑi³⁵	WIFE	1199	592	Kaman	ZMYYC		
180365	wind	bɑuŋ³⁵	bɑuŋ³⁵	WIND	960	592	Kaman	ZMYYC		
188729	wing	ŋkhloŋ³⁵	ŋkʰloŋ³⁵	WING	1257	592	Kaman	ZMYYC		
211832	wipe	kin⁵⁵	kin⁵⁵	WIPE	1454	592	Kaman	ZMYYC		
186638	wolf	kɑl⁵⁵	kɑl⁵⁵	WOLF	522	592	Kaman	ZMYYC		
194849	woman	kɯ³¹ mɑi³⁵ sɑ⁵³	kɯ³¹ mɑi³⁵ sɑ⁵³	WOMAN	962	592	Kaman	ZMYYC		
203927	wood	sɑ̆ŋ³⁵ khliŋ⁵⁵	sɑ̆ŋ³⁵ kʰliŋ⁵⁵	WOOD	1803	592	Kaman	ZMYYC		
183221	year	lɑu⁵³	lɑu⁵³	YEAR	1226	592	Kaman	ZMYYC		
222746	yellow	kɯ³¹ lɑ̆uŋ³⁵	kɯ³¹ lɑ̆uŋ³⁵	YELLOW	1424	592	Kaman	ZMYYC		
184598	yesterday	mɯ³¹ ŋɑ⁵⁵ niŋ⁵⁵	mɯ³¹ ŋɑ⁵⁵ niŋ⁵⁵	YESTERDAY	1174	592	Kaman	ZMYYC		
229733	you (pl.)	ȵo⁵³ niŋ³⁵	ȵo⁵³ niŋ³⁵	YOU	1213	592	Kaman	ZMYYC		
223766	young	kɯ³¹ ɕik⁵⁵ tsoŋ³⁵	kɯ³¹ ɕik⁵⁵ tsoŋ³⁵	YOUNG	1207	592	Kaman	ZMYYC		
