ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	LOAN	NOTES	RID
20	20_thebreastfemale	the breast (female)	KusundaK	Kamala	ɐm.buː	ɐm.buː	ɐ m + b uː	kusu1250	1402	28.0	82.26		117	False		812
24	24_thechildyounghuman	the child (young human)	KusundaK	Kamala	gə.ʧeː	gə.ʧeː	g ə + tʃ eː	kusu1250	1304	28.0	82.26		6498	False		1002
25	25_thecloud	the cloud	KusundaK	Kamala	bɐm	bɐm	b ɐ m	kusu1250	1489	28.0	82.26		893	False		1044
32	32_thedaughter	the daughter	KusundaK	Kamala	niŋ.ʧiː	niŋ.ʧiː	n i ŋ + tʃ iː	kusu1250	1357	28.0	82.26		895	False		1349
33	33_thedew	the dew	KusundaK	Kamala	ʤʲun t̪ɐŋ	ʤʲun+t̪ɐŋ	dʒ j u n + t̪ ɐ ŋ	kusu1250	1977	28.0	82.26			False		
37	37_thedog	the dog	KusundaK	Kamala	ɐ.gəj	ɐ.gəj	ɐ + g ə j	kusu1250	2009	28.0	82.26		2065	False		1545
38	38_thedream	the dream	KusundaK	Kamala	maːq	maːq	m aː q	kusu1250	2374	28.0	82.26		10217	False		1594
41	41_thedust	the dust	KusundaK	Kamala	huj	huj	h u j	kusu1250	2	28.0	82.26		896	False		1744
42	42_theear	the ear	KusundaK	Kamala	jəw	jəw	j ə w	kusu1250	1247	28.0	82.26		918	False		1794
44	44_theearthsoil	the earth (soil)	KusundaK	Kamala	d̪um	d̪um	d̪ u m	kusu1250	1228	28.0	82.26		3742	False		1841
45	45_theearthworm	the earthworm	KusundaK	Kamala	əj.niː	əj.niː	ə j + n iː	kusu1250	2350	28.0	82.26		929	False		1888
47	47_theegg	the egg	KusundaK	Kamala	gwaː	gwaː	g w aː	kusu1250	744	28.0	82.26		134	False		1978
49	49_theeye	the eye	KusundaK	Kamala	iːŋ	iːŋ	iː ŋ	kusu1250	1248	28.0	82.26		138	False		2071
51	51_thefather	the father	KusundaK	Kamala	jɛj	jɛj	j ɛ j	kusu1250	1217	28.0	82.26		140	False		2166
52	52_thefeather	the feather	KusundaK	Kamala	ɐ.ɦun	ɐ.ɦun	ɐ + ɦ u n	kusu1250	1201	28.0	82.26			False		
54	54_thefire	the fire	KusundaK	Kamala	ʤaː	ʤaː	dʒ aː	kusu1250	221	28.0	82.26		144	False		2265
56	56_thefish	the fish	KusundaK	Kamala	nɐ.saː	nɐ.saː	n ɐ + s aː	kusu1250	227	28.0	82.26		186	False		2314
58	58_theflea	the flea	KusundaK	Kamala	bul.ʦʰum	bul.ʦʰum	b u l + tsʰ u m	kusu1250	232	28.0	82.26			False		
60	61_theflower	the flower	KusundaK	Kamala	geː.pa̰ːn	geː.pa̰ːn	g eː + p a̰ː n	kusu1250	239	28.0	82.26		10308	False		2446
62	64_thefoot	the foot	KusundaK	Kamala	jɛn	jɛn	j ɛ n	kusu1250	1301	28.0	82.26		273	False		2544
63	65_theforest	the forest	KusundaK	Kamala	gi.lɐŋ	gi.lɐŋ	g i + l ɐ ŋ	kusu1250	420	28.0	82.26		124	False		2594
66	68_thefox	the fox	KusundaK	Kamala	qaː.wəj	qaː.wəj	q aː + w ə j	kusu1250	1312	28.0	82.26		379	False	means 'jackal'	2738
67	69_thefrog	the frog	KusundaK	Kamala	bɐm.luː	bɐm.luː	b ɐ m + l uː	kusu1250	503	28.0	82.26		3552	False		2772
68	70_thefrontfrontside	the front (front side)	KusundaK	Kamala	pin.d̪aː	pin.d̪aː	p i n + d̪ aː	kusu1250	2194	28.0	82.26		311	False		2817
69	72_thefruit	the fruit	KusundaK	Kamala	ʤuŋ.ʤɐŋ	ʤuŋ.ʤɐŋ	dʒ u ŋ + dʒ ɐ ŋ	kusu1250	1507	28.0	82.26		374	False		2905
72	75_thegoat	the goat	KusundaK	Kamala	ɐj.ʤi.giː	ɐj.ʤi.giː	ɐ j + dʒ i + g iː	kusu1250	1502	28.0	82.26		389	False		3057
74	77_thegrass	the grass	KusundaK	Kamala	gʰãːs	gʰãːs	gʰ ãː s	kusu1250	606	28.0	82.26			False		
76	79_thehail	the hail	KusundaK	Kamala	jaːq	jaːq	j aː q	kusu1250	609	28.0	82.26		416	False		3215
77	80_thehairofthehead	the hair (of the head)	KusundaK	Kamala	i.pi giː	i.pi+giː	i + p i + g iː	kusu1250	1040	28.0	82.26		775	False		3260
78	81_thehand	the hand	KusundaK	Kamala	aː.wəj	aː.wəj	aː + w ə j	kusu1250	1277	28.0	82.26		428	False		3308
81	84_thehead	the head	KusundaK	Kamala	i.piː	i.piː	i + p iː	kusu1250	1256	28.0	82.26		4074	False		3454
83	86_theheart	the heart	KusundaK	Kamala	gɔ.blɔk	gɔ.blɔk	g ɔ + b l ɔ k	kusu1250	1223	28.0	82.26		439	False		3558
89	95_thehorse	the horse	KusundaK	Kamala	pʰʲɛk.sɐm	pʰʲɛk.sɐm	pʰ j ɛ k + s ɐ m	kusu1250	615	28.0	82.26		443	False		3852
91	97_thehouse	the house	KusundaK	Kamala	wu.hiː	wu.hiː	w u + h iː	kusu1250	1252	28.0	82.26		328	False		3944
94	100_thehusband	the husband	KusundaK	Kamala	d̪u.hiː	d̪u.hiː	d̪ u + h iː	kusu1250	1200	28.0	82.26		217	False		4037
96	102_theice	the ice	KusundaK	Kamala	jaːq	jaːq	j aː q	kusu1250	617	28.0	82.26		228	False		4130
100	106_theknee	the knee	KusundaK	Kamala	up.t̪ɔː	up.t̪ɔː	u p + t̪ ɔː	kusu1250	1371	28.0	82.26		743	False		4276
105	112_theleaf	the leaf	KusundaK	Kamala	haːq	haːq	h aː q	kusu1250	628	28.0	82.26		3844	False		4551
110	119_theliver	the liver	KusundaK	Kamala	i.d̪uː	i.d̪uː	i + d̪ uː	kusu1250	1224	28.0	82.26		751	False		4752
112	121_thelouse	the louse	KusundaK	Kamala	kiː	kiː	k iː	kusu1250	1392	28.0	82.26		237	False		4853
113	122_thelung	the lung	KusundaK	Kamala	gɔ.bʲɛkʰ	gɔ.bʲɛkʰ	g ɔ + b j ɛ kʰ	kusu1250	688	28.0	82.26		760	False		4902
114	123_themanmalehuman	the man (male human)	KusundaK	Kamala	d̪uj gə.ʧeː	d̪uj+gə.ʧeː	d̪ u j + g ə + tʃ eː	kusu1250	2106	28.0	82.26		754	False		4950
117	126_themeat	the meat	KusundaK	Kamala	ɐm.baː	ɐm.baː	ɐ m + b aː	kusu1250	634	28.0	82.26		757	False		5051
119	128_themoon	the moon	KusundaK	Kamala	ni.kuː	ni.kuː	n i + k uː	kusu1250	1313	28.0	82.26		238	False		5149
121	131_themother	the mother	KusundaK	Kamala	məj	məj	m ə j	kusu1250	1216	28.0	82.26		143	False		5288
122	132_themountain	the mountain	KusundaK	Kamala	d̪i.bɐŋ	d̪i.bɐŋ	d̪ i + b ɐ ŋ	kusu1250	639	28.0	82.26		943	False		5340
123	133_themouseorrat	the mouse or rat	KusundaK	Kamala	jɛŋ.gut̪	jɛŋ.gut̪	j ɛ ŋ + g u t̪	kusu1250	2139	28.0	82.26		247	False		5390
124	134_themouth	the mouth	KusundaK	Kamala	ɐ.t̪aː	ɐ.t̪aː	ɐ + t̪ aː	kusu1250	674	28.0	82.26		959	False		5440
125	135_themud	the mud	KusundaK	Kamala	d̪um	d̪um	d̪ u m	kusu1250	640	28.0	82.26		1500	False		5495
126	136_thenailfingernailorclaw	the nail (fingernail or claw)	KusundaK	Kamala	ɐw.siː	ɐw.siː	ɐ w + s iː	kusu1250	2128	28.0	82.26		88	False		5540
127	137_thename	the name	KusundaK	Kamala	gi.ʤeː	gi.ʤeː	g i + dʒ eː	kusu1250	1405	28.0	82.26		770	False		5590
129	140_theneck	the neck	KusundaK	Kamala	hɐŋ.kiː	hɐŋ.kiː	h ɐ ŋ + k iː	kusu1250	1333	28.0	82.26		695	False		5690
130	141_theneedleforsewing	the needle (for sewing)	KusundaK	Kamala	ər.ʦʰaː	ər.ʦʰaː	ə r + tsʰ aː	kusu1250	1382	28.0	82.26		3376	False		5744
133	144_thenit	the nit	KusundaK	Kamala	ʤɔ̃ː.ɔk	ʤɔ̃ː.ɔk	dʒ ɔ̃ː + ɔ k	kusu1250	267	28.0	82.26			False		
135	146_thenose	the nose	KusundaK	Kamala	i.nuː	i.nuː	i + n uː	kusu1250	1221	28.0	82.26		2090	False		5925
139	151_thepig	the pig	KusundaK	Kamala	hiː	hiː	h iː	kusu1250	1337	28.0	82.26		159	False		6156
144	156_therain	the rain	KusundaK	Kamala	t̪ɐŋ ʤi.hun	t̪ɐŋ+ʤi.hun	t̪ ɐ ŋ + dʒ i + h u n	kusu1250	658	28.0	82.26		980	False		6394
147	160_thericeplant	the rice plant	KusundaK	Kamala	si.sin	si.sin	s i + s i n	kusu1250	2026	28.0	82.26		772	False		6584
148	163_theroad	the road	KusundaK	Kamala	uːn	uːn	uː n	kusu1250	667	28.0	82.26		1007	False		6715
149	164_theroot	the root	KusundaK	Kamala	gɔ.dɔk	gɔ.dɔk	g ɔ + d ɔ k	kusu1250	670	28.0	82.26		1009	False		6764
150	165_therope	the rope	KusundaK	Kamala	su.t̪aː	su.t̪aː	s u + t̪ aː	kusu1250	1218	28.0	82.26		540	False		6813
153	168_thesalt	the salt	KusundaK	Kamala	hu.kiː	hu.kiː	h u + k iː	kusu1250	1274	28.0	82.26		687	False		6961
155	170_thesand	the sand	KusundaK	Kamala	gə.liː	gə.liː	g ə + l iː	kusu1250	671	28.0	82.26		10565	True		7011
160	177_thesheep	the sheep	KusundaK	Kamala	gʰɔː.lɔq	gʰɔː.lɔq	gʰ ɔː + l ɔ q	kusu1250	1331	28.0	82.26		1020	False		7296
227	250_theshit	the shit	KusundaK	Kamala	jɛŋ	jɛŋ	j ɛ ŋ	kusu1250	676	28.0	82.26		10560	False		10387
164	182_thesickle	the sickle	KusundaK	Kamala	baː.kʰa	baː.kʰa	b aː + kʰ a	kusu1250	341	28.0	82.26			False		
167	185_theskin	the skin	KusundaK	Kamala	gi.t̪ət̪	gi.t̪ət̪	g i + t̪ ə t̪	kusu1250	763	28.0	82.26		1039	False		7615
168	186_thesky	the sky	KusundaK	Kamala	aː.qʰoː	aː.qʰoː	aː + qʰ oː	kusu1250	1732	28.0	82.26		1041	False		7665
172	190_thesmoke	the smoke	KusundaK	Kamala	d̪i.miː	d̪i.miː	d̪ i + m iː	kusu1250	778	28.0	82.26		1054	False		7803
173	192_thesnake	the snake	KusundaK	Kamala	t̪uːk	t̪uːk	t̪ uː k	kusu1250	730	28.0	82.26		1065	False		7851
174	193_thesnow	the snow	KusundaK	Kamala	jaːq	jaːq	j aː q	kusu1250	784	28.0	82.26		172	False		7900
176	195_theson	the son	KusundaK	Kamala	d̪uk.ʦiː	d̪uk.ʦiː	d̪ u k + ts iː	kusu1250	1620	28.0	82.26		1076	False		7997
177	196_thesparrow	the sparrow	KusundaK	Kamala	bʰa.ŋeː.raː	bʰa.ŋeː.raː	bʰ a + ŋ eː + r aː	kusu1250	1854	28.0	82.26		1082	True		8046
178	197_thespider	the spider	KusundaK	Kamala	pɐŋ.gaː	pɐŋ.gaː	p ɐ ŋ + g aː	kusu1250	843	28.0	82.26		1106	False		8080
181	200_thestar	the star	KusundaK	Kamala	saː.ɐ̰m	saː.ɐ̰m	s aː + ɐ̰ m	kusu1250	1430	28.0	82.26		1110	False		8226
183	202_thestick	the stick	KusundaK	Kamala	d̪əŋ.gaː	d̪əŋ.gaː	d̪ ə ŋ + g aː	kusu1250	1295	28.0	82.26		1128	False		8323
184	203_thestoneapieceof	the stone (a piece of)	KusundaK	Kamala	jɛŋ.guː	jɛŋ.guː	j ɛ ŋ + g uː	kusu1250	857	28.0	82.26		1130	False		8372
186	205_thesun	the sun	KusundaK	Kamala	iːŋ	iːŋ	iː ŋ	kusu1250	1343	28.0	82.26		1137	False		8465
187	206_thetail	the tail	KusundaK	Kamala	juŋ.suŋ	juŋ.suŋ	j u ŋ + s u ŋ	kusu1250	1220	28.0	82.26		1139	False		8518
192	211_thethigh	the thigh	KusundaK	Kamala	ɔː.d̪ɔk	ɔː.d̪ɔk	ɔː + d̪ ɔ k	kusu1250	471	28.0	82.26		1151	False		8706
199	219_thetiger	the tiger	KusundaK	Kamala	mʲɛ̰kʰ	mʲɛ̰kʰ	m j ɛ̰ kʰ	kusu1250	846	28.0	82.26		181	False		9088
202	222_thetongue	the tongue	KusundaK	Kamala	i.ʣəŋ	i.ʣəŋ	i + dz ə ŋ	kusu1250	1205	28.0	82.26		197	False		9235
203	223_thetoothfront	the tooth (front)	KusundaK	Kamala	u.ɦuː	u.ɦuː	u + ɦ uː	kusu1250	1380	28.0	82.26		2216	False		9284
204	224_thetree	the tree	KusundaK	Kamala	i.jiː	i.jiː	i + j iː	kusu1250	906	28.0	82.26			False		
