RID	GLOSS	CONCEPTICON_IN_SAGART	PARAMETER_ID	CONCEPTICON_GLOSS	CONCEPTICON_ID	DOCULECT	VALUE	FORM	SOURCE	NOTES
60	56_thefish	the fish	56_thefish	FISH	227	Khengkha	nya	ɲa	AandY1996	
61	61_theflower	the flower	61_theflower	FLOWER	239	Khengkha	mento	men+to	AandY1996	
62	64_thefoot	the foot	64_thefoot	FOOT	1301	Khengkha	tawa	ta+wa	AandY1996	leg
63	65_theforest	the forest	65_theforest	FOREST	420	Khengkha	ron	ron	AandY1996	
64	69_thefrog	the frog	69_thefrog	FROG	503	Khengkha	baepala	bai+pa+la	AandY1996	
65	70_thefrontfrontside	the front (front side)	70_thefrontfrontside	FRONT (PART)	2194	Khengkha	dongo	doŋ+o	AandY1996	
66	72_thefruit	the fruit	72_thefruit	FRUIT	1507	Khengkha	shingre	shiŋ+re	AandY1996	
67	75_thegoat	the goat	75_thegoat	GOAT	1502	Khengkha	lele	le+le	AandY1996	
68	79_thehail	the hail	79_thehail	HAIL	609	Khengkha	serwa	ser+wa	AandY1996	
69	80_thehairofthehead	the hair (of the head)	80_thehairofthehead	HAIR	1040	Khengkha	kra	kra	AandY1996	
70	81_thehand	the hand	81_thehand	HAND	1277	Khengkha	yag	jak	AandY1996	
71	84_thehead	the head	84_thehead	HEAD	1256	Khengkha	guyung	gu+juŋ	AandY1996	
72	86_theheart	the heart	86_theheart	HEART	1223	Khengkha	neng	neŋ55	AandY1996	
73	94_thehornkeratinizedskin	the horn (keratinized skin)	94_thehornkeratinizedskin	HORN (ANATOMY)	1393	Khengkha	ro	ro	TB	
74	97_thehouse	the house	97_thehouse	HOUSE	1252	Khengkha	mae	mai	AandY1996	
75	106_theknee	the knee	106_theknee	KNEE	1371	Khengkha	putmong	put+moŋ	AandY1996	
76	112_theleaf	the leaf	112_theleaf	LEAF	628	Khengkha	lampa	lam+pa	AandY1996	
77	119_theliver	the liver	119_theliver	LIVER	1224	Khengkha	chinpa	tɕʰin+pa	AandY1996	
78	121_thelouse	the louse	121_thelouse	LOUSE	1392	Khengkha	se	se55	AandY1996	
79	122_thelung	the lung	122_thelung	LUNG	688	Khengkha	lowa	lo+wa	AandY1996	
80	123_themanmalehuman	the man (male human)	123_themanmalehuman	MALE PERSON	2106	Khengkha	bo+tsʰa	bo+tsʰa	TB	
81	126_themeat	the meat	126_themeat	MEAT	634	Khengkha	sha	ɕa	AandY1996	
82	128_themoon	the moon	128_themoon	MOON	1313	Khengkha	la55	la55	TB	
83	132_themountain	the mountain	132_themountain	MOUNTAIN	639	Khengkha	phu	pʰu	AandY1996	
84	133_themouseorrat	the mouse or rat	133_themouseorrat	MUROID (MOUSE OR RAT)	2139	Khengkha	nyapae	ɲa55+pai	AandY1996	
85	134_themouth	the mouth	134_themouth	MOUTH	674	Khengkha	kha	kʰa	AandY1996	
86	135_themud	the mud	135_themud	MUD	640	Khengkha	dam	dam	TB	
87	136_thenailfingernailorclaw	the nail (fingernail or claw)	136_thenailfingernailorclaw	CLAW OR NAIL	2128	Khengkha	simba	sim+ba	AandY1996	
88	137_thename	the name	137_thename	NAME	1405	Khengkha	ming	miŋ	AandY1996	
89	140_theneck	the neck	140_theneck	NECK	1333	Khengkha	takpa	tak+pa	AandY1996	
90	141_theneedleforsewing	the needle (for sewing)	141_theneedleforsewing	NEEDLE (FOR SEWING)	1382	Khengkha	kʰap	kʰap	TB	
91	146_thenose	the nose	146_thenose	NOSE	1221	Khengkha	natong	na55+toŋ	AandY1996	
92	151_thepig	the pig	151_thepig	PIG	1337	Khengkha	phak	pʰak	AandY1996	
93	156_therain	the rain	156_therain	RAIN (PRECIPITATION)	658	Khengkha	yü	jy	AandY1996	
94	163_theroad	the road	163_theroad	ROAD	667	Khengkha	yam	jam	AandY1996	
95	164_theroot	the root	164_theroot	ROOT	670	Khengkha	ra	ra	AandY1996	
96	165_therope	the rope	165_therope	ROPE	1218	Khengkha	tʰak+pa	tʰak+pa	TB	
97	168_thesalt	the salt	168_thesalt	SALT	1274	Khengkha	tsa	tsa	AandY1996	
98	170_thesand	the sand	170_thesand	SAND	671	Khengkha	be+ma	be+ma	TB	
99	174_theseed	the seed	174_theseed	SEED	714	Khengkha	son	son	AandY1996	
100	250_theshit	the shit	250_theshit	SHIT (DEFECATE)	676	Khengkha	cho	tɕʰo55	AandY1996	
101	180_theshoulder	the shoulder	180_theshoulder	SHOULDER	1482	Khengkha	pongma	poŋ+ma	AandY1996	
102	185_theskin	the skin	185_theskin	SKIN	763	Khengkha	pakpa	pak+pa	AandY1996	
103	186_thesky	the sky	186_thesky	SKY	1732	Khengkha	num	nam	AandY1996	
104	190_thesmoke	the smoke	190_thesmoke	SMOKE (EXHAUST)	778	Khengkha	du+wa	du+wa	TB	
105	192_thesnake	the snake	192_thesnake	SNAKE	730	Khengkha	po	po	AandY1996	
106	193_thesnow	the snow	193_thesnow	SNOW	784	Khengkha	ka	ka	AandY1996	
107	195_theson	the son	195_theson	SON	1620	Khengkha	bosa	bo+sa	AandY1996	
108	197_thespider	the spider	197_thespider	SPIDER	843	Khengkha	lalama	la+la+ma	AandY1996	
109	200_thestar	the star	200_thestar	STAR	1430	Khengkha	kar55+ma	kar55+ma	TB	
110	202_thestick	the stick	202_thestick	STICK	1295	Khengkha	te55+tʰa	te55+tʰa	TB	
111	203_thestoneapieceof	the stone (a piece of)	203_thestoneapieceof	STONE	857	Khengkha	gor	gor	AandY1996	
112	205_thesun	the sun	205_thesun	SUN	1343	Khengkha	ne	ne	AandY1996	
113	206_thetail	the tail	206_thetail	TAIL	1220	Khengkha	ɲi55+pʰaŋ	ɲi55+pʰaŋ	TB	
114	211_thethigh	the thigh	211_thethigh	UPPER LEG (THIGH)	471	Khengkha	binpa	bin+pa	AandY1996	
115	218_thethunder	the thunder	218_thethunder	THUNDER	1150	Khengkha	druk	druk	AandY1996	
116	222_thetongue	the tongue	222_thetongue	TONGUE	1205	Khengkha	li	li55	AandY1996	
117	223_thetoothfront	the tooth (front)	223_thetoothfront	TOOTH	1380	Khengkha	kua	kwa	AandY1996	
118	229_thewater	the water	229_thewater	WATER	948	Khengkha	khui	kʰui	AandY1996	
119	238_thewind	the wind	238_thewind	WIND	960	Khengkha	lung	luŋ	AandY1996	
120	239_thewing	the wing	239_thewing	WING	1257	Khengkha	ɕɔk+pa	ɕɔk+pa	TB	
121	242_thewoman	the woman	242_thewoman	WOMAN	962	Khengkha	bo+mɛt	bo+mɛt	TB	
122	245_theyear	the year	245_theyear	YEAR	1226	Khengkha	neng	neŋ55	AandY1996	
123	210_thick	thick	210_thick	THICK	1244	Khengkha	tɔk+tɕi+la	tɔk+tɕi+la	TB	
124	212_thinobject	thin (object)	212_thinobject	THIN (OF SHAPE OF OBJECT)	2249	Khengkha	ŋrap+tɕi+la	ŋrap+tɕi+la	TB	
125	215_thousecondpersonsingular	thou [second person singular]	215_thousecondpersonsingular	THOU	1215	Khengkha	wet	wet	AandY1996	
126	216_three	three	216_three	THREE	492	Khengkha	sum	sum	AandY1996	
127	13_tobite	to bite	13_tobite	BITE	1403	Khengkha	tsʰek	tsʰek	TB	
128	21_toburnintransitive	to burn [intransitive]	21_toburnintransitive	BURNING	1428	Khengkha	ɲum	ɲum	TB	
129	22_tobuy	to buy	22_tobuy	BUY	1869	Khengkha	ngi-gimin	ŋi	AandY1996	
130	23_tochew	to chew	23_tochew	CHEW	321	Khengkha	mur-timin	mur	AandY1996	
131	27_tocome	to come	27_tocome	COME	1446	Khengkha	ra-gimin	ra	AandY1996	
132	29_tocount	to count	29_tocount	COUNT	1420	Khengkha	grang-imin	graŋ	AandY1996	
133	30_tocryweep	to cry (weep)	30_tocryweep	CRY	1839	Khengkha	ngo-gimin	ŋo	AandY1996	
134	34_todie	to die	34_todie	DIE	1494	Khengkha	se-gimin	se	AandY1996	
135	35_todig	to dig	35_todig	DIG	1418	Khengkha	ku-gimin	ku	AandY1996	
136	39_todrink	to drink	39_todrink	DRINK	1401	Khengkha	thong-imin	tʰoŋ	AandY1996	
137	46_toeat	to eat	46_toeat	EAT	1336	Khengkha	zu-gimin	zu	AandY1996	
138	53_tofight	to fight	53_tofight	FIGHT	1423	Khengkha	prat55	prat55	TB	
139	62_toflymovethroughair	to fly (move through air)	62_toflymovethroughair	FLY (MOVE THROUGH AIR)	1441	Khengkha	phur-timin	pʰur	AandY1996	
140	66_toforget	to forget	66_toforget	FORGET	1523	Khengkha	dʑit55	dʑit55	TB	
141	74_togive	to give	74_togive	GIVE	1447	Khengkha	bi-gimin	bi	AandY1996	
142	85_tohear	to hear	85_tohear	HEAR	1408	Khengkha	nae-thu-gimin	nai+tʰu	AandY1996	
143	89_tohideconceal	to hide (conceal)	89_tohideconceal	HIDE (CONCEAL)	602	Khengkha	lom55	lom55	TB	
144	91_tohold	to hold	91_tohold	HOLD	1448	Khengkha	zɔŋ	zɔŋ	TB	
145	104_tokill	to kill	104_tokill	KILL	1417	Khengkha	sut	sut	TB	
146	111_tolaugh	to laugh	111_tolaugh	LAUGH	1355	Khengkha	ga-gimin	ga	AandY1996	
147	115_tolick	to lick	115_tolick	LICK	319	Khengkha	phlin-dhimin	pʰlin	AandY1996	
148	153_toplay	to play	153_toplay	PLAY	1413	Khengkha	plɛŋ	plɛŋ	TB	
149	155_topush	to push	155_topush	PUSH	1452	Khengkha	pʰui	pʰui	TB	
150	159_toresidelive	to reside (live)	159_toresidelive	DWELL (LIVE, RESIDE)	363	Khengkha	nik-imin	nik	AandY1996	
151	171_toscratch	to scratch	171_toscratch	SCRATCH	1436	Khengkha	mrat	mrat	TB	
152	173_tosee	to see	173_tosee	SEE	1409	Khengkha	thung-imin	tʰuŋ	AandY1996	
153	178_toshootanarrow	to shoot (an arrow)	178_toshootanarrow	SHOOT	1172	Khengkha	tʰuŋ	tʰuŋ	TB	
154	183_tosing	to sing	183_tosing	SING	1261	Khengkha	ʑap+ɖo+tʰɛn	ʑap+ɖo+tʰɛn	TB	
155	187_tosleep	to sleep	187_tosleep	SLEEP	1585	Khengkha	dhod-timin	dʰot	AandY1996	
156	189_tosmellperceiveodortransitive	to smell (perceive odor) [transitive]	189_tosmellperceiveodortransitive	SMELL (PERCEIVE)	1586	Khengkha	nam-timin	nam	AandY1996	
157	198_tospit	to spit	198_tospit	SPIT	1440	Khengkha	tʰɛp+tʰuk	tʰɛp+tʰuk	TB	
158	199_tostand	to stand	199_tostand	STAND	1442	Khengkha	jaŋ	jaŋ	TB	
159	201_tosteal	to steal	201_tosteal	STEAL	713	Khengkha	kunma bu-gimin	kun+ma+bu	AandY1996	
160	213_tothinkreflect	to think (reflect)	213_tothinkreflect	THINK (REFLECT)	1415	Khengkha	noksam thung-imin	nok+sam+tʰuŋ	AandY1996	
161	217_tothrow	to throw	217_tothrow	THROW	1456	Khengkha	juk55	juk55	TB	
162	227_tovomit	to vomit	227_tovomit	VOMIT	1278	Khengkha	tɕuk55	tɕuk55	TB	
163	228_towalk	to walk	228_towalk	WALK	1443	Khengkha	go-gimin	go	AandY1996	
164	240_towipe	to wipe	240_towipe	WIPE	1454	Khengkha	pʰik	pʰik	TB	
165	226_two	two	226_two	TWO	1498	Khengkha	zon	zon	AandY1996	
166	231_wet	wet	231_wet	WET	1726	Khengkha	ɕir+ba	ɕir+ba	TB	
167	235_white	white	235_white	WHITE	1335	Khengkha	kʰar+ti+la	kʰar+ti+la	TB	
168	236_who	who	236_who	WHO	1235	Khengkha	ae yo	ai+jo	AandY1996	
169	246_yellow	yellow	246_yellow	YELLOW	1424	Khengkha	sir+ti+la	sir+ti+la	TB	
170	1_above	above	1_above	ABOVE	1741	Khengkha	ཇའི་དོ།	dʑai+do	TB	
171	2_all	all	2_all	ALL	98	Khengkha	gangko	gaŋ+ko	AandY1996	
172	4_thearmpit	the armpit	4_thearmpit	ARMPIT	1886	Khengkha	gachali	ga+tɕʰa+li	AandY1996	
173	5_bad	bad	5_bad	BAD	1292	Khengkha	ཟོག་དྲགས།	zok+ɖaː	TB	
174	7_thebarleytibetanorhighland	the barley (tibetan or highland)	7_thebarleytibetanorhighland	BARLEY	932	Khengkha	ནད།	nat55	TB	
175	8_tobealive	to be alive	8_tobealive	BE ALIVE	1422	Khengkha	གསོན་པོ།	son+po	TB	
176	10_belowunder	below, under	10_belowunder	BELOW OR UNDER	1485	Khengkha	sutu	sut+tu	AandY1996	
177	16_toblowofwind	to blow (of wind)	16_toblowofwind	BLOW (OF WIND)	175	Khengkha	jikpa	dʑik	AandY1996	
178	17_thebodyhairhairorfur	the body hair (hair or fur)	17_thebodyhairhairorfur	HAIR (BODY)	189	Khengkha	སྤུ།	pu55	TB	
179	24_thechildyounghuman	the child (young human)	24_thechildyounghuman	CHILD (YOUNG HUMAN)	1304	Khengkha	olo	o+lo	AandY1996	
180	28_correctright	correct (right)	28_correctright	CORRECT (RIGHT)	1725	Khengkha	མ་འཛོའི་ནག།	ma+zoi+na55	TB	
181	31_dark	dark	31_dark	DARK	706	Khengkha	nak dungdung	nak+duŋ+duŋ	AandY1996	
182	32_thedaughter	the daughter	32_thedaughter	DAUGHTER	1357	Khengkha	bomet	bo+met	AandY1996	
183	43_early	early	43_early	EARLY	672	Khengkha	སྔན་མན།	ŋan55+man	TB	
184	45_theearthworm	the earthworm	45_theearthworm	EARTHWORM	2350	Khengkha	ཀྲང་ཞིའོ།	kraŋ+ʑiu	TB	
185	51_thefather	the father	51_thefather	FATHER	1217	Khengkha	apa	a+pa	AandY1996	
186	52_thefeather	the feather	52_thefeather	FEATHER	1201	Khengkha	སྒྲོ།	ɖo	TB	
187	55_firewood	firewood	55_firewood	FIREWOOD	10	Khengkha	thapseng	tʰap+seŋ	AandY1996	
188	58_theflea	the flea	58_theflea	FLEA	232	Khengkha	liwa	li55+wa	AandY1996	
189	59_tofloat	to float	59_tofloat	FLOAT	1574	Khengkha	བོན།	bon	TB	
190	60_toflow	to flow	60_toflow	FLOW	2003	Khengkha	རྒྱུག།	dʑuk55	TB	
191	63_thefog	the fog	63_thefog	FOG	249	Khengkha	སྨུག་པ།	muk55+pa	TB	
192	68_thefox	the fox	68_thefox	FOX	1312	Khengkha	shiuli	ɕiu+li	AandY1996	
193	71_thefrost	the frost	71_thefrost	FROST	2034	Khengkha	chakpa	tɕʰak+pa	AandY1996	
194	77_thegrass	the grass	77_thegrass	GRASS	606	Khengkha	tiwa	ti+wa	AandY1996	
195	88_here	here	88_here	HERE	136	Khengkha	henna	hen+na	AandY1996	
196	90_hightall	high / tall	90_hightall	HIGH	1265	Khengkha	མཐོ་ཝ།	tʰo+wa	TB	
197	92_thehoof	the hoof	92_thehoof	HOOF	152	Khengkha	རྨིག་པ།	mik55+pa	TB	
198	93_horizontal	horizontal	93_horizontal	HORIZONTAL	2376	Khengkha	Ø	Ø	Ø	
199	95_thehorse	the horse	95_thehorse	HORSE	615	Khengkha	ta	ta	AandY1996	
200	98_hundred	hundred	98_hundred	HUNDRED	1634	Khengkha	jathek	dʑa+tʰek	AandY1996	one hundred
201	99_tohunt	to hunt	99_tohunt	HUNT	1435	Khengkha	ཤ་སྐྲོད།	ɕa+krot55	TB	
202	100_thehusband	the husband	100_thehusband	HUSBAND	1200	Khengkha	phoja	pʰo+dʑa	AandY1996	
203	102_theice	the ice	102_theice	ICE	617	Khengkha	khe	kʰe	AandY1996	
204	105_toknead	to knead	105_toknead	KNEAD	274	Khengkha	noy-dhimin	noi	AandY1996	
205	107_knife	knife	107_knife	KNIFE	1352	Khengkha	yürbu	jyr+bu	AandY1996	
206	108_toknowsomething	to know (something)	108_toknowsomething	KNOW (SOMETHING)	1410	Khengkha	khan	kʰan	AandY1996	
207	109_thelake	the lake	109_thelake	LAKE	624	Khengkha	tso	tso	AandY1996	
208	113_tolearn	to learn	113_tolearn	LEARN	504	Khengkha	lup-timin	lup55	AandY1996	
209	116_toliedown	to lie down	116_toliedown	LIE DOWN	215	Khengkha	དེབ་ཏོ་སྔེན།	dep+to+ŋen55	TB	
210	118_thelipthelips	the lip (the lips)	118_thelipthelips	LIP	478	Khengkha	chimali	tɕʰi+ma+li	AandY1996	
211	125_tomarryamanmarriesawoman	to marry (a man marries a woman)	125_tomarryamanmarriesawoman	MARRY (AS MAN)	2164	Khengkha	nyen thung-imin	ɲen+tʰuŋ	AandY1996	
212	130_themosquito	the mosquito	130_themosquito	MOSQUITO	1509	Khengkha	kangkama	kaŋ+ka+ma	AandY1996	
213	131_themother	the mother	131_themother	MOTHER	1216	Khengkha	ama	a+ma	AandY1996	
214	138_narrow	narrow	138_narrow	NARROW	1267	Khengkha	དོག་དྲགས།	dok+ɖaː	TB	
215	144_thenit	the nit	144_thenit	NIT	267	Khengkha	te	te	AandY1996	
216	145_noon	noon	145_noon	MIDDAY	12	Khengkha	Ø	Ø	Ø	
217	147_oldofperson	old (of person)	147_oldofperson	OLD (AGED)	2112	Khengkha	gat	gat	AandY1996	
218	149_theotter	the otter	149_theotter	OTTER	15	Khengkha	kram	kram	AandY1996	
219	152_toplantvegetalsrice	to plant (vegetals, rice)	152_toplantvegetalsrice	PLANT (SOMETHING)	1486	Khengkha	sot-imin	sot	AandY1996	
220	154_topull	to pull	154_topull	PULL	1455	Khengkha	འཐན།	tʰan	TB	
221	157_therainbow	the rainbow	157_therainbow	RAINBOW	1733	Khengkha	འཇའ།	dʑa	TB	
222	160_thericeplant	the rice plant	160_thericeplant	RICE PLANT	2026	Khengkha	ipa	i+pa	AandY1996	
223	162_theriver	the river	162_theriver	RIVER	666	Khengkha	གཙང་ཆུ།	saŋ+tɕʰu	TB	
224	167_torun	to run	167_torun	RUN	1519	Khengkha	རྒྱུག།	dʑuk55	TB	
225	169_salty	salty	169_salty	SALTY	1091	Khengkha	tsa mang	tsa+maŋ	AandY1996	
226	172_thesea	the sea	172_thesea	SEA	1474	Khengkha	jamtso	dʑam+tso	AandY1996	
227	177_thesheep	the sheep	177_thesheep	SHEEP	1331	Khengkha	yo	jo	AandY1996	
228	181_shy	shy	181_shy	SHY	487	Khengkha	ངོ་ཚ།	ŋo+tsʰa	TB	
229	182_thesickle	the sickle	182_thesickle	SICKLE	341	Khengkha	zorwa	zor+wa	AandY1996	
230	191_smooth	smooth	191_smooth	SMOOTH	1234	Khengkha	jambu	dʑam+bu	AandY1996	
231	196_thesparrow	the sparrow	196_thesparrow	SPARROW	1854	Khengkha	shengbaling	ɕeŋ+ba+liŋ	AandY1996	err. sbengbaling
232	208_that	that	208_that	THAT	78	Khengkha	thukae	tʰu+kai	AandY1996	
233	209_there	there	209_there	THERE	1937	Khengkha	thui	tʰui	AandY1996	
234	214_this	this	214_this	THIS	1214	Khengkha	hekae	he+kai	AandY1996	
235	219_thetiger	the tiger	219_thetiger	TIGER	846	Khengkha	tak	tak	AandY1996	
236	220_today	today	220_today	TODAY	1283	Khengkha	dhasum	dʰa+sum	AandY1996	
237	221_tomorrow	tomorrow	221_tomorrow	TOMORROW	1329	Khengkha	yampa	jam+pa	AandY1996	
238	224_thetree	the tree	224_thetree	TREE	906	Khengkha	seng	seŋ	AandY1996	
239	225_twenty	twenty	225_twenty	TWENTY	1710	Khengkha	khaethek	kʰai+tʰek	AandY1996	
240	230_wefirstpersonpluralinclusive	we [first person plural inclusive]	230_wefirstpersonpluralinclusive	WE (INCLUSIVE)	1131	Khengkha	nget	ŋet	AandY1996	
241	232_what	what	232_what	WHAT	1236	Khengkha	jae yo	jai+jo	AandY1996	
242	233_thewheat	the wheat	233_thewheat	WHEAT	1077	Khengkha	ཀར།	kar	TB	
243	234_where	where	234_where	WHERE	1237	Khengkha	angi	aŋ+gi	AandY1996	
244	237_thewife	the wife	237_thewife	WIFE	1199	Khengkha	naetshang	nai+tsʰaŋ	AandY1996	
245	241_thewolf	the wolf	241_thewolf	WOLF	522	Khengkha	sawareng	sa+wa+reŋ	AandY1996	dhole
246	243_thewoodmaterial	the wood (material)	243_thewoodmaterial	WOOD	1803	Khengkha	seng	seŋ	AandY1996	
247	244_tosowbroadcastscatterseeds	to sow (broadcast, scatter seeds)	244_tosowbroadcastscatterseeds	SOW SEEDS	748	Khengkha	jo-timin	dʑo	AandY1996	
248	247_yesterday	yesterday	247_yesterday	YESTERDAY	1174	Khengkha	dangla	daŋ+la	AandY1996	
249	248_yousecondpersonplural	you [second person plural]	248_yousecondpersonplural	YOU	1213	Khengkha	win	win	AandY1996	
250	249_young	young	249_young	YOUNG	1207	Khengkha	zyon-ta	ʑon+ta	AandY1996	
