RID	CONCEPT	CONCEPTICON_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	DOCULECT	VALUE	FORM	SOURCE	NOTES
143	89_tohideconceal	to hide (conceal)	HIDE (CONCEAL)	89_tohideconceal	602	Mama Cuona Menba	tɕhi55ɲi35		Lu2002	
144	91_tohold	to hold	HOLD	91_tohold	1448	Mama Cuona Menba	zuŋ35		Lu2002	
145	104_tokill	to kill	KILL	104_tokill	1417	Mama Cuona Menba	sɔt53		Lu2002	
146	111_tolaugh	to laugh	LAUGH	111_tolaugh	1355	Mama Cuona Menba	cen35tar55		Lu2002	
147	115_tolick	to lick	LICK	115_tolick	319	Mama Cuona Menba	klA˧˥	klA35	Lu1986	
148	153_toplay	to play	PLAY	153_toplay	1413	Mama Cuona Menba	møn35to55pa31ja35		Lu2002	
149	155_topush	to push	PUSH	155_topush	1452	Mama Cuona Menba	tɔk˥thoʔ˥˧sa˧˩	tɔk55thoʔ53sa51	Lu1986	
150	159_toresidelive	to reside (live)	DWELL (LIVE, RESIDE)	159_toresidelive	363	Mama Cuona Menba	zuk35		Lu2002	
151	171_toscratch	to scratch	SCRATCH	171_toscratch	1436	Mama Cuona Menba	thoʔ˥˧	thoʔ53	Lu1986	
152	173_tosee	to see	SEE	173_tosee	1409	Mama Cuona Menba	meʔthoŋ53		Lu2002	
153	178_toshootanarrow	to shoot (an arrow)	SHOOT	178_toshootanarrow	1172	Mama Cuona Menba	bla35ja35		Lu2002	
154	183_tosing	to sing	SING	183_tosing	1261	Mama Cuona Menba	ʑɛʔ35thoʔ53		Lu2002	
155	187_tosleep	to sleep	SLEEP	187_tosleep	1585	Mama Cuona Menba	ɲɛː35		Lu2002	
156	189_tosmellperceiveodortransitive	to smell (perceive odor) [transitive]	SMELL (PERCEIVE)	189_tosmellperceiveodortransitive	1586	Mama Cuona Menba	ʂi53num35		Lu2002	
157	198_tospit	to spit	SPIT	198_tospit	1440	Mama Cuona Menba	kɔp35		Lu2002	
158	199_tostand	to stand	STAND	199_tostand	1442	Mama Cuona Menba	laŋ35		Lu2002	
159	201_tosteal	to steal	STEAL	201_tosteal	713	Mama Cuona Menba	kun53		Lu2002	
160	213_tothinkreflect	to think (reflect)	THINK (REFLECT)	213_tothinkreflect	1415	Mama Cuona Menba	kran35		Lu2002	
161	217_tothrow	to throw	THROW	217_tothrow	1456	Mama Cuona Menba	ɔt35		Lu2002	
162	227_tovomit	to vomit	VOMIT	227_tovomit	1278	Mama Cuona Menba	kɔp35		Lu2002	
163	228_towalk	to walk	WALK	228_towalk	1443	Mama Cuona Menba	cɛʔ35		Lu2002	
164	240_towipe	to wipe	WIPE	240_towipe	1454	Mama Cuona Menba	tɕhiʔ53		Lu2002	
165	226_two	two	TWO	226_two	1498	Mama Cuona Menba	nai35		Lu2002	
166	231_wet	wet	WET	231_wet	1726	Mama Cuona Menba	ɕer55pa53		Lu2002	
167	235_white	white	WHITE	235_white	1335	Mama Cuona Menba	cher55po53		Lu2002	
168	236_who	who	WHO	236_who	1235	Mama Cuona Menba	su53		Lu2002	
169	246_yellow	yellow	YELLOW	246_yellow	1424	Mama Cuona Menba	si55ru53		Lu2002	
170	101_ifirstpersonsingular	I [first person singular]	I	101_ifirstpersonsingular	1209	Wenlang Cuona Menba	ŋe35		Lu2002	
171	11_big	big	BIG	11_big	1202	Wenlang Cuona Menba	than55bu55		Lu2002	
172	14_black	black	BLACK	14_black	163	Wenlang Cuona Menba	mleŋ55bu55		Lu2002	
173	26_coldoftemperature	cold (of temperature)	COLD	26_coldoftemperature	1287	Wenlang Cuona Menba	tɕhak55ɲi55		Lu2002	
174	36_dirty	dirty	DIRTY	36_dirty	1230	Wenlang Cuona Menba	ʑo35lo55ka55		Lu2002	
175	40_dry	dry	DRY	40_dry	1398	Wenlang Cuona Menba	kem55ɲi55		Lu2002	
176	48_eight	eight	EIGHT	48_eight	1705	Wenlang Cuona Menba	get35		Lu2002	
177	50_far	far	FAR	50_far	1406	Wenlang Cuona Menba	tha55riŋ35ko55		Lu2002	
178	57_five	five	FIVE	57_five	493	Wenlang Cuona Menba	le35ŋa55		Lu2002	
179	67_four	four	FOUR	67_four	1500	Wenlang Cuona Menba	bli35		Lu2002	
180	73_full	full	FULL	73_full	1429	Wenlang Cuona Menba				
181	76_good	good	GOOD	76_good	1035	Wenlang Cuona Menba	leu35		Lu2002	
182	78_green	green	GREEN	78_green	1425	Wenlang Cuona Menba	ŋou55		Lu2002	
183	82_hard	hard	HARD	82_hard	1884	Wenlang Cuona Menba	ʂau55		Lu2002	
184	83_heorshethirdpersonsingular	he or she [third person singular]	HE OR SHE OR IT	83_heorshethirdpersonsingular	262	Wenlang Cuona Menba	bi35		Lu2002	
185	87_heavy	heavy	HEAVY	87_heavy	1210	Wenlang Cuona Menba	lin55		Lu2002	
186	96_hot	hot	HOT	96_hot	1286	Wenlang Cuona Menba	tshat55pa55		Lu2002	
187	103_inside	inside	INSIDE	103_inside	1606	Wenlang Cuona Menba	neŋ35ŋo35		Lu2002	
188	110_late	late	LATE	110_late	477	Wenlang Cuona Menba	ʑyr35po55		Lu2002	
189	114_left	left	LEFT	114_left	244	Wenlang Cuona Menba	jøn55pa55		Lu2002	
190	117_lightofweight	light (of weight)	LIGHT (WEIGHT)	117_lightofweight	1052	Wenlang Cuona Menba	jaŋ35bu55		Lu2002	
191	120_long	long	LONG	120_long	1203	Wenlang Cuona Menba	riŋ35ko53		Lu2002	
192	124_many	many	MANY	124_many	1198	Wenlang Cuona Menba	ge35ba35		Lu2002	
193	127_middle	middle	MIDDLE	127_middle	1093	Wenlang Cuona Menba	but35ka55		Lu2002	
194	129_morning	morning	MORNING	129_morning	1339	Wenlang Cuona Menba	nam35leŋ55		Lu2002	
195	139_near	near	NEAR	139_near	1942	Wenlang Cuona Menba	lan35be55		Lu2002	
196	142_new	new	NEW	142_new	1231	Wenlang Cuona Menba	se55ru55		Lu2002	
197	143_nine	nine	NINE	143_nine	1483	Wenlang Cuona Menba	du35gu55		Lu2002	
198	148_one	one	ONE	148_one	1493	Wenlang Cuona Menba	thi55		Lu2002	
199	150_outside	outside	OUTSIDE	150_outside	762	Wenlang Cuona Menba	tɕhi55ka55		Lu2002	
200	158_red	red	RED	158_red	156	Wenlang Cuona Menba	liu35		Lu2002	
201	161_right	right	RIGHT	161_right	1019	Wenlang Cuona Menba	e55pa53		Lu2002	
202	166_round	round	ROUND	166_round	1395	Wenlang Cuona Menba	gor35po35		Lu2002	
203	175_seven	seven	SEVEN	175_seven	1704	Wenlang Cuona Menba	ɲi55		Lu2002	
204	176_sharp	sharp	SHARP	176_sharp	1396	Wenlang Cuona Menba	tɕhat55po55		Lu2002	
205	179_short	short	SHORT	179_short	1645	Wenlang Cuona Menba	thoŋ55ko55		Lu2002	
206	184_six	six	SIX	184_six	1703	Wenlang Cuona Menba	grok35		Lu2002	
207	188_small	small	SMALL	188_small	1246	Wenlang Cuona Menba	breu55ɣu55		Lu2002	
208	194_soft	soft	SOFT	194_soft	1856	Wenlang Cuona Menba	dʑam35bu55		Lu2002	
209	204_straight	straight	STRAIGHT	204_straight	1404	Wenlang Cuona Menba	døt35poŋ55		Lu2002	
210	207_ten	ten	TEN	207_ten	1515	Wenlang Cuona Menba	tɕi55		Lu2002	
211	3_theant	the ant	ANT	3_theant	587	Wenlang Cuona Menba	xrok55pu55		Lu2002	
212	6_thebamboo	the bamboo	BAMBOO	6_thebamboo	1927	Wenlang Cuona Menba	so55		Lu2002	
213	9_thebelly	the belly	BELLY	9_thebelly	1251	Wenlang Cuona Menba	ke55pa53		Lu2002	
214	12_thebird	the bird	BIRD	12_thebird	937	Wenlang Cuona Menba	ɕa35		Lu2002	
215	15_theblood	the blood	BLOOD	15_theblood	946	Wenlang Cuona Menba	ki55		Lu2002	
216	18_thebone	the bone	BONE	18_thebone	1394	Wenlang Cuona Menba				
217	19_thebranch	the branch	BRANCH	19_thebranch	1531	Wenlang Cuona Menba	a55lak55		Lu2002	
218	20_thebreastfemale	the breast (female)	BREAST	20_thebreastfemale	1402	Wenlang Cuona Menba	jo35		Lu2002	
219	25_thecloud	the cloud	CLOUD	25_thecloud	1489	Wenlang Cuona Menba	sa55tɕa55		Lu2002	
220	33_thedew	the dew	DEW	33_thedew	1977	Wenlang Cuona Menba	ziː35ba55		Lu2002	
221	37_thedog	the dog	DOG	37_thedog	2009	Wenlang Cuona Menba	khi55		Lu2002	
222	38_thedream	the dream	DREAM	38_thedream	2374	Wenlang Cuona Menba	mre35phre55		Lu2002	
223	41_thedust	the dust	DUST	41_thedust	2	Wenlang Cuona Menba				
224	42_theear	the ear	EAR	42_theear	1247	Wenlang Cuona Menba	na55lap55		Lu2002	
225	44_theearthsoil	the earth (soil)	EARTH (SOIL)	44_theearthsoil	1228	Wenlang Cuona Menba	sa55		Lu2002	
226	47_theegg	the egg	EGG	47_theegg	744	Wenlang Cuona Menba	kha55lum55		Lu2002	
227	49_theeye	the eye	EYE	49_theeye	1248	Wenlang Cuona Menba	mek55		Lu2002	
228	54_thefire	the fire	FIRE	54_thefire	221	Wenlang Cuona Menba	me35		Lu2002	
229	56_thefish	the fish	FISH	56_thefish	227	Wenlang Cuona Menba	ɲa35		Lu2002	
230	61_theflower	the flower	FLOWER	61_theflower	239	Wenlang Cuona Menba	men55to55		Lu2002	
231	64_thefoot	the foot	FOOT	64_thefoot	1301	Wenlang Cuona Menba	li35min55		Lu2002	
232	65_theforest	the forest	FOREST	65_theforest	420	Wenlang Cuona Menba				
233	69_thefrog	the frog	FROG	69_thefrog	503	Wenlang Cuona Menba	pai55po55		Lu2002	
234	70_thefrontfrontside	the front (front side)	FRONT (PART)	70_thefrontfrontside	2194	Wenlang Cuona Menba	ɲi55ka55		Lu2002	
235	72_thefruit	the fruit	FRUIT	72_thefruit	1507	Wenlang Cuona Menba	ɕeŋ55tuk55		Lu2002	
236	75_thegoat	the goat	GOAT	75_thegoat	1502	Wenlang Cuona Menba	ra35		Lu2002	
237	79_thehail	the hail	HAIL	79_thehail	609	Wenlang Cuona Menba	ser55ba55		Lu2002	
238	80_thehairofthehead	the hair (of the head)	HAIR	80_thehairofthehead	1040	Wenlang Cuona Menba	khra55		Lu2002	
239	81_thehand	the hand	HAND	81_thehand	1277	Wenlang Cuona Menba	lak55tɕuŋ55		Lu2002	
240	84_thehead	the head	HEAD	84_thehead	1256	Wenlang Cuona Menba	go35te55		Lu2002	
241	86_theheart	the heart	HEART	86_theheart	1223	Wenlang Cuona Menba	neŋ55		Lu2002	
242	94_thehornkeratinizedskin	the horn (keratinized skin)	HORN (ANATOMY)	94_thehornkeratinizedskin	1393	Wenlang Cuona Menba	ru35wa55		Lu2002	
243	97_thehouse	the house	HOUSE	97_thehouse	1252	Wenlang Cuona Menba	khem55		Lu2002	
244	106_theknee	the knee	KNEE	106_theknee	1371	Wenlang Cuona Menba				
245	112_theleaf	the leaf	LEAF	112_theleaf	628	Wenlang Cuona Menba	blap35ma55		Lu2002	
246	119_theliver	the liver	LIVER	119_theliver	1224	Wenlang Cuona Menba	tin55po55		Lu2002	
247	121_thelouse	the louse	LOUSE	121_thelouse	1392	Wenlang Cuona Menba	ɕi55		Lu2002	
248	122_thelung	the lung	LUNG	122_thelung	688	Wenlang Cuona Menba	lo55wa55		Lu2002	
249	123_themanmalehuman	the man (male human)	MALE PERSON	123_themanmalehuman	2106	Wenlang Cuona Menba	phø55tsa55		Lu2002	
250	126_themeat	the meat	MEAT	126_themeat	634	Wenlang Cuona Menba	ɕa53		Lu2002	
251	128_themoon	the moon	MOON	128_themoon	1313	Wenlang Cuona Menba	le55		Lu2002	
252	132_themountain	the mountain	MOUNTAIN	132_themountain	639	Wenlang Cuona Menba	ri˧˥	ri35	Lu1986	
253	133_themouseorrat	the mouse or rat	MUROID (MOUSE OR RAT)	133_themouseorrat	2139	Wenlang Cuona Menba	ɕu35		Lu2002	
254	134_themouth	the mouth	MOUTH	134_themouth	674	Wenlang Cuona Menba	kha53		Lu2002	
255	135_themud	the mud	MUD	135_themud	640	Wenlang Cuona Menba	ɲin˧˥tsaŋ˥	ɲin35tsaŋ55	Lu1986	
256	136_thenailfingernailorclaw	the nail (fingernail or claw)	CLAW OR NAIL	136_thenailfingernailorclaw	2128	Wenlang Cuona Menba	zim35poŋ55		Lu2002	
257	137_thename	the name	NAME	137_thename	1405	Wenlang Cuona Menba	meŋ35		Lu2002	
258	140_theneck	the neck	NECK	140_theneck	1333	Wenlang Cuona Menba	tap55pa55		Lu2002	
259	141_theneedleforsewing	the needle (for sewing)	NEEDLE (FOR SEWING)	141_theneedleforsewing	1382	Wenlang Cuona Menba	khop55		Lu2002	
260	146_thenose	the nose	NOSE	146_thenose	1221	Wenlang Cuona Menba	na55		Lu2002	
261	151_thepig	the pig	PIG	151_thepig	1337	Wenlang Cuona Menba	pha55		Lu2002	
