GLOSS_IN_SAGART	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	LANGUAGE	FORM	IPA	SEGMENT	SOURCE	PAGE	CONCEPT_IN_SOURCE	NOTE	LOAN
the tiger	TIGER	219_thetiger	846	Eastern Puroik	paate	paːtə	paː+tə	RS09	42	tiger n.		
today	TODAY	220_today	1283	Eastern Puroik	heriu ri	heriu ri	hə+riu+ri	RS09	43	today v.	adv.?	
tomorrow	TOMORROW	221_tomorrow	1329	Eastern Puroik	piyapiyae’	pijapijae	pi+ja+pi+jae	RS09	43	tomorrow adv.		
the tree	TREE	224_thetree	906	Eastern Puroik	hiyin moa	hijin moa	hi+jin+moa	RS09	43	tree n.		
twenty	TWENTY	225_twenty	1710	Eastern Puroik	suait nyi	suait ɲi	suait+ɲi	RS09	43	twenty cardinal no.		
we [first person plural inclusive]	WE (INCLUSIVE)	230_wefirstpersonpluralinclusive	1131	Eastern Puroik	gerai	gərai	gə+rai	RS09	44	we pers. pron.		
what	WHAT	232_what	1236	Eastern Puroik	hi, hibo	hi	hi	RS09	45	what interrog. det.		
the wheat	WHEAT	233_thewheat	1077	Eastern Puroik	ata	ata	a+ta	RS09	45	wheat n.	IA loan	TRUE
where	WHERE	234_where	1237	Eastern Puroik	kaila, kerua	kaila	kai+la	RS09	45	where interrog adv.		
the wife	WIFE	237_thewife	1199	Eastern Puroik	ajau	adʒau	a+dʒau	RS09	45	wife n.		
the wolf	WOLF	241_thewolf	522	Eastern Puroik	sechuang	sətʃʰuaŋ	sə+tʃʰuaŋ	RS09	45	wolf n.	cf. fox	
the wood (material)	WOOD	243_thewoodmaterial	1803	Eastern Puroik	sangtak	saŋtak	saŋ+tak	RS09	45	wood n.		
to sow (broadcase, scatter,seeds)	SOW SEEDS	244_tosowbroadcastscatterseeds	748	Eastern Puroik	pook na	pook	pɔk	RS09	40	sow v.		
yesterday	YESTERDAY	247_yesterday	1174	Eastern Puroik	biari	biari	bia+ri	RS09	46	yesterday adv.		
you [second person plural]	YOU	248_yousecondpersonplural	1213	Eastern Puroik	narai	narai	na+rai	AT90	33	you (plural)		
young	YOUNG	249_young	1207	Eastern Puroik	sikcha bae’	siktʃʰa bae	sik+tʃʰa+bae	RS09	46	young adj. 		
