ENTRYID	form	gloss	CONCEPTICON_GLOSS	CONCEPTICON_ID	gfn	language	source	srcid	note
230243	ȵɑ⁵⁵	who	WHO	1235	592	Deng	ZMYYC		
197246	kɯ³¹ mɑi³⁵	wife	WIFE	1199	592	Deng	ZMYYC		
180365	bɑuŋ³⁵	wind	WIND	960	592	Deng	ZMYYC		
188729	ŋkhloŋ³⁵	wing	WING	1257	592	Deng	ZMYYC		
211832	kin⁵⁵	wipe	WIPE	1454	592	Deng	ZMYYC		
186638	kɑl⁵⁵	wolf	WOLF	522	592	Deng	ZMYYC		
194849	kɯ³¹ mɑi³⁵ sɑ⁵³	woman	WOMAN	962	592	Deng	ZMYYC		
203927	sɑ̆ŋ³⁵ khliŋ⁵⁵	wood	WOOD	1803	592	Deng	ZMYYC		
183221	lɑu⁵³	year	YEAR	1226	592	Deng	ZMYYC		
222746	kɯ³¹ lɑ̆uŋ³⁵	yellow	YELLOW	1424	592	Deng	ZMYYC		
184598	mɯ³¹ ŋɑ⁵⁵ niŋ⁵⁵	yesterday	YESTERDAY	1174	592	Deng	ZMYYC		
229733	ȵo⁵³ niŋ³⁵	you (pl.)	YOU	1213	592	Deng	ZMYYC		
223766	kɯ³¹ ɕik⁵⁵ tsoŋ³⁵	young	YOUNG	1207	592	Deng	ZMYYC		
202703	be⁵⁵ lɑ⁵⁵	washbasin			592	Deng	ZMYYC		
211169	bit³⁵ niŋ⁵⁵	milk			592	Deng	ZMYYC		
207548	biɑn⁵³	swallow			592	Deng	ZMYYC		
207599	biɑp⁵³	swallow			592	Deng	ZMYYC		
210812	blɑ⁵³	cut (firewood)			592	Deng	ZMYYC		
189851	bo³⁵	maize			592	Deng	ZMYYC		
229019	boŋ³⁵	inch			592	Deng	ZMYYC		
199490	bo⁵⁵ kɯ³¹ ȵuŋ³⁵	shoe			592	Deng	ZMYYC		
184649	bui⁵⁵ niŋ⁵⁵	day before yesterday			592	Deng	ZMYYC		
203519	buŋ⁵⁵ tɑŋ⁵⁵ gɹɯt⁵⁵	brush			592	Deng	ZMYYC		
198725	bɯi³⁵	enclosure			592	Deng	ZMYYC		
197960	bɯi³⁵ xɑ³¹ kuŋ³⁵	beam			592	Deng	ZMYYC		
197807	bɯi⁵³ kɹoŋ⁵³	home			592	Deng	ZMYYC		
207905	bɯu⁵³	cry out / yell			592	Deng	ZMYYC		
183374	bɑi⁵⁵ lɑm⁵³	year, last			592	Deng	ZMYYC		
183476	bɑi⁵⁵ lɑm⁵³	year before last			592	Deng	ZMYYC		
225398	bɑt⁵³	hot (spicy)			592	Deng	ZMYYC		
195869	bɑ³¹ bɯu⁵⁵	doctor			592	Deng	ZMYYC		
209435	bɑ̆p⁵⁵	fall (down)			592	Deng	ZMYYC		
198215	bɑ⁵⁵ lɑ⁵⁵	brick			592	Deng	ZMYYC		
202907	bɑ⁵⁵ lɑ⁵⁵	plate			592	Deng	ZMYYC		
227591	bɹɯ n³¹giɑp⁵⁵mu⁵³	forty			592	Deng	ZMYYC		
208262	bɹɑ̆t⁵⁵	wring (e.g. wet cloth)			592	Deng	ZMYYC		
187403	da³¹ xɑŋ⁵⁵	crow			592	Deng	ZMYYC		
211118	dim⁵⁵ tɑ⁵⁵ sɑi³⁵	castrate			592	Deng	ZMYYC		
225755	di³¹ iŋ⁵³	hungry			592	Deng	ZMYYC		
190769	di⁵⁵ iŋ³⁵	ginger			592	Deng	ZMYYC		
193013	duŋ³⁵	finger			592	Deng	ZMYYC		
205406	dzɑi³⁵	song			592	Deng	ZMYYC		
205457	dzɑi³⁵	folksong			592	Deng	ZMYYC		
219278	dzɑp³⁵	drip			592	Deng	ZMYYC		
228764	dzɑp³⁵	drop			592	Deng	ZMYYC		
191687	dzɑu⁵³	ear (of grain-producing plant)			592	Deng	ZMYYC		
210710	dzɑ̆ŋ³⁵	chop (tree)			592	Deng	ZMYYC		
198521	dzɑ̆ŋ⁵³	temple			592	Deng	ZMYYC		
229274	dɯ³¹ li⁵⁵	tael			592	Deng	ZMYYC		
202346	dɯ³¹ min⁵⁵ bɹɯ⁵³	lock			592	Deng	ZMYYC		
186485	dɯ³¹ sɯm⁵³	boar			592	Deng	ZMYYC		
228866	dɯ³¹ ɹu⁵³	pair			592	Deng	ZMYYC		
202397	dɯ³⁵ niŋ⁵³	key			592	Deng	ZMYYC		
219941	dɑi³⁵	bark			592	Deng	ZMYYC		
199388	dɑl⁵³	skirt			592	Deng	ZMYYC		
182813	dɑu³⁵	side			592	Deng	ZMYYC		
229172	dɑuŋ³⁵	dry measure / pint			592	Deng	ZMYYC		
198368	dɑ³¹ tsɯu⁵⁵	nail (tool)			592	Deng	ZMYYC		
201071	dɑ³¹ tsɯu⁵⁵	wedge			592	Deng	ZMYYC		
216218	dɑ̆m⁵³	hit / beat			592	Deng	ZMYYC		
209945	dɑ̆u⁵³ ni⁵⁵	connect			592	Deng	ZMYYC		
199592	dʑik³¹ xɑ⁵³ ju³⁵	mosquito net			592	Deng	ZMYYC		
212903	dʑip⁵⁵	strain (tea)			592	Deng	ZMYYC		
208211	dʑit⁵⁵	tear			592	Deng	ZMYYC		
200102	dʑi⁵⁵ ɹɑ⁵⁵	lunch			592	Deng	ZMYYC		
202295	dʑoŋ³⁵ dʑɑu³⁵	basket (bamboo, large)			592	Deng	ZMYYC		
197705	dʑuŋ⁵³	relative			592	Deng	ZMYYC		
206783	dʑɑ³¹ khɑp⁵⁵	country / nation			592	Deng	ZMYYC		
187964	dʑɑ³¹ lot⁵⁵	grasshopper			592	Deng	ZMYYC		
186128	dʑɑ³¹ mi⁵⁵	cat			592	Deng	ZMYYC		
