RID	DOCULECT	CONCEPT	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES	SEGMENTS
404	EMiji	grass	GRASS		606	-	Ø			
407	EMiji	hair	HAIR		1040	gopal ~ gopə	gopal ~ gopə			
408	EMiji	hard	HARD		1884	-	Ø			
410	EMiji	hand, arm	HAND		1277	gi	gi			
412	EMiji	head	HEAD		1256	(mo)gou	(mo)gou			
413	EMiji	heart	HEART		1223	loŋvə ~ luŋvəuk	loŋvə ~ luŋvəuk			
414	EMiji	heavy	HEAVY		1210	məlei	məlei			
415	EMiji	horn	HORN (ANATOMY)		1393	(məsə)zuŋ/ʃoŋ	(məsə)zuŋ/ʃoŋ			
416	EMiji	horse	HORSE		615	-	Ø			
417	EMiji	house	HOUSE		1252	nam	nam			
420	EMiji	hundred	HUNDRED		1634	pəloŋ	pəloŋ			
426	EMiji	kill	KILL		1417	gaina	gaina			
427	EMiji	knife	KNIFE		1352	vaitʃoŋʒi	vaitʃoŋʒi			
428	EMiji	know	KNOW (SOMETHING)		1410	nina ~ nĭ	nina ~ ni			
429	EMiji	laugh	LAUGH		1355	tona	tona			
430	EMiji	leaf	LEAF		628	məlam ~  golap	məlam ~  golap			
433	EMiji	lick	LICK		319	-	Ø			
435	EMiji	light	LIGHT (WEIGHT)		1052	mənətaŋ	mənətaŋ			
437	EMiji	listen, hear	HEAR		1408	roina	roina			
439	EMiji	liver/lungs	LIVER		1224	-	Ø			
440	EMiji	long	LONG		1203	məpijaŋ	məpijaŋ			
441	EMiji	look, see	SEE		1409	gaŋna	gaŋna			
442	EMiji	louse	LOUSE		1392	-	Ø			
444	EMiji	man (male)	MALE PERSON		2106	ɲəjə	ɲəjə			
445	EMiji	meat	MEAT		634	sĭkijuŋ	sikijuŋ			
449	EMiji	moon	MOON		1313	lə	lə			
450	EMiji	mountain	MOUNTAIN		639	poŋ	poŋ			
451	EMiji	mouth; language	MOUTH		674	ɲek ~ ɲeləi	ɲek ~ ɲeləi			
453	EMiji	mother	MOTHER		1216	aɲe	aɲe			
454	EMiji	name	NAME		1405	mə̃rn	mə̃rn			
455	EMiji	near	NEAR		1942	məroi	məroi			
457	EMiji	new	NEW		1231	məkərə	məkərə			
459	EMiji	nine	NINE		1483	ɕətan	ɕətan			
460	EMiji	nose	NOSE		1221	nebijoŋ	nebijoŋ			
461	EMiji	old	OLD (AGED)		2112	məʃoʔ	məʃoʔ			
462	EMiji	one	ONE		1493	aŋ ~ akʰijo ~ akʰowa	aŋ ~ akʰijo ~ akʰowa			
463	EMiji	otter	OTTER		15	-	Ø			
464	EMiji	paddy rice	RICE PLANT		2026	ŋam	ŋam			
467	EMiji	pig	PIG		1337	dʒo(ʔ)	dʒo(ʔ)			
469	EMiji	pull	PULL		1455	bre ~ ɕaana	bre ~ ɕaana			
471	EMiji	rain	RAIN (PRECIPITATION)		658	fro	fro			
472	EMiji	red	RED		156	mətʃi	mətʃi			
475	EMiji	river	RIVER		666	vəjaŋ ~ vədo	vəjaŋ ~ vədo			
476	EMiji	road	ROAD		667	labaŋ	labaŋ			
477	EMiji	root	ROOT		670	məkʰən ~ gokʰrən	məkʰən ~ gokʰrən			
478	EMiji	round	ROUND		1395	mədəriu	mədəriu			
480	EMiji	run	RUN		1519	-	Ø			
482	EMiji	salt	SALT		1274	lə	lə			
483	EMiji	sand	SAND		671	ɕəgəroi	ɕəgəroi			
484	EMiji	seed	SEED		714	tailoi	tailoi			
486	EMiji	seven	SEVEN		1704	mija	mija			
488	EMiji	short	SHORT		1645	məruŋ	məruŋ			
489	EMiji	shoulder	SHOULDER		1482	-	Ø			
492	EMiji	six	SIX		1703	ra(m)	ra(m)			
493	EMiji	skin	SKIN		763	məpə ~ məpre	məpə ~ məpre			
494	EMiji	sky	SKY		1732	gijaŋ	gijaŋ			
495	EMiji	sleep	SLEEP		1585	dʒi(na)	dʒi(na)			
496	EMiji	smell (v)	SMELL (PERCEIVE)		1586	-	Ø			
497	EMiji	smoke (n.)	SMOKE (EXHAUST)		778	maikʰən	maikʰən			
498	EMiji	snake	SNAKE		730	bəu	bəu			
499	EMiji	snow	SNOW		784	-	Ø			
500	EMiji	soft, smooth	SMOOTH		1234	-	Ø			
501	EMiji	soil	EARTH (SOIL)		1228	naʔ	naʔ			
508	EMiji	stand	STAND		1442	gijon ~ gəroŋ	gijon ~ gəroŋ			
509	EMiji	star	STAR		1430	mətʃoŋbijaŋ ~ nitʃobijoŋ	mətʃoŋbijaŋ ~ nitʃobijoŋ			
510	EMiji	steal	STEAL		713	ʃikʰau ~ tʃəkʰə	ʃikʰau ~ tʃəkʰə			
512	EMiji	straight	STRAIGHT		1404	-	Ø			
514	EMiji	sun	SUN		1343	dʒoʔ	dʒoʔ			
520	EMiji	tail	TAIL		1220	mənəmə(re/rai)	mənəmə(re/rai)			
523	EMiji	ten	TEN		1515	lən	lən			
524	EMiji	that	THAT		78	paitʃia ~ paitʃəlo	paitʃia ~ paitʃəlo			
525	EMiji	that (lower)	THAT		78	-	Ø			
526	EMiji	thigh	UPPER LEG (THIGH)		471	-	Ø			
527	EMiji	think	THINK (REFLECT)		1415	-	Ø			
528	EMiji	this	THIS		1214	huŋlo ~ hə̃ŋai	huŋlo ~ hə̃ŋai			
530	EMiji	three	THREE		492	kʰətəm	kʰətəm			
533	EMiji	tongue	TONGUE		1205	jakʰe ~ jakʰijoi	jakʰe ~ jakʰijoi			
534	EMiji	tooth	TOOTH		1380	tə	tə			
535	EMiji	tree	TREE		906	(ge/go)noi	(ge/go)noi			
537	EMiji	two	TWO		1498	kəran ~ kʰerə	kəran ~ kʰerə			
540	EMiji	vomit	VOMIT		1278	-	Ø			
541	EMiji	walk	WALK		1443	daiʔna	daiʔna			
542	EMiji	hot, warm	HOT		1286	mədʒu ~ məzi ~ mələ	mədʒu ~ məzi ~ mələ			
543	EMiji	water	WATER		948	və	və			
546	EMiji	what	WHAT		1236	tən	tən			
547	EMiji	where	WHERE		1237	kʰək ~ kʰroi	kʰək ~ kʰroi			
548	EMiji	white	WHITE		1335	mugram ~ məgijaŋ	mugram ~ məgijaŋ			
549	EMiji	who	WHO		1235	təə	təə			
550	EMiji	wind	WIND		960	jo	jo			
552	EMiji	wing	WING		1257	-	Ø			
554	EMiji	wood	WOOD		1803	go ~ ge	go ~ ge			
555	EMiji	woman	WOMAN		962	nəmrai 	nəmrai 			
556	EMiji	year	YEAR		1226	dəraŋ	dəraŋ			
557	EMiji	yesterday	YESTERDAY		1174	təganogo	təganogo			
559	EMiji	1SG	I		1209	ɲijaŋ	ɲijaŋ			
560	EMiji	2SG	THOU		1215	ni	ni			
561	EMiji	3SG	HE OR SHE OR IT		262	ai	ai			
563	EMiji	1PL	WE (INCLUSIVE)		1131	ani ~ animihõŋ	ani ~ animihõŋ			
564	EMiji	2PL	YOU		1213	dʒimihõŋ ~ dʒei	dʒimihõŋ ~ dʒei			
567	WMiji	ant	ANT		587	ʃiŋiŋ ~ siɲi	ʃiŋiŋ ~ siɲi			
570	WMiji	bad	BAD		1292	məni ~ məɲi ~ aɲirə	məni ~ məɲi ~ aɲirə			
571	WMiji	bamboo (big)	BAMBOO		1927	brau ~ bro ~ dʒiu	brau ~ bro ~ dʒiu			
575	WMiji	big (thick, wide)	BIG		1202	mədo ~ ado ~ məhiŋ	mədo ~ ado ~ məhiŋ			
576	WMiji	bird	BIRD		937	bədʒə ~ budʒuʔ ~ bəzii; buzu̬ (SM)	bədʒə ~ budʒuʔ ~ bəzii; buzu̬ (SM)			
577	WMiji	bite	BITE		1403	tʰai ~ tʰaʔ	tʰai ~ tʰaʔ			
580	WMiji	blood	BLOOD		946	ʒi ~ dʒai	ʒi ~ dʒai			
581	WMiji	blow	BLOW (OF WIND)		175	-	Ø			
583	WMiji	body hair, feather	HAIR (BODY)		189	umu	umu			
585	WMiji	bone	BONE		1394	miliaŋ 	miliaŋ 			
588	WMiji	breast; milk	BREAST		1402	ʃufunu ~ ʃunovə; ɲu̬ (SM)	ʃufunu ~ ʃunovə; ɲu̬ (SM)			
590	WMiji	burn	BURNING		1428	fra(n/ŋ) ~ peneʔ; pʰrjaŋ ~ pʰen (SM)	fra(n/ŋ) ~ peneʔ; pʰrjaŋ ~ pʰen (SM)			
591	WMiji	cane; rope	ROPE		1218	ʃu (SM)	ʃu (SM)			
593	WMiji	child	CHILD (YOUNG HUMAN)		1304	amai (SM)	amai (SM)			
596	WMiji	cloud	CLOUD		1489	miemy ~ mimu; meimiu (SM)	miemy ~ mimu; meimiu (SM)			
602	WMiji	cry	CRY		1839	kʰə̆	kʰə			
607	WMiji	die	DIE		1494	tʃi	tʃi			
608	WMiji	dig	DIG		1418	tʰa̬u̬ (SM)	tʰa̬u̬ (SM)			
609	WMiji	dirty	DIRTY		1230	ni͡tʃi (SM)	ni͡tʃi (SM)			
612	WMiji	dream	DREAM		2374	tʰeme(ma) ~ tʰaimeʔ	tʰeme(ma) ~ tʰaimeʔ			
613	WMiji	drink	DRINK		1401	tʰoŋ ~ tʰoŋme; tʰuŋ (SM)	tʰoŋ ~ tʰoŋme; tʰuŋ (SM)			
614	WMiji	dry	DRY		1398	akʰijaŋ ~ məkʰəjam ~ mekʰijan; məkʰjaŋ (SM)	akʰijaŋ ~ məkʰəjam ~ mekʰijan; məkʰjaŋ (SM)			
615	WMiji	eat	EAT		1336	tʃu; t͡su̬ (SM)	tʃu; tsu̬ (SM)			
616	WMiji	egg	EGG		744	dori(ŋ)	dori(ŋ)			
617	WMiji	eight	EIGHT		1705	t͡ʃigə ~ səgə	tʃigə ~ səgə			
622	WMiji	excrement	SHIT (DEFECATE)		676	-	Ø			
623	WMiji	eye	EYE		1248	məri ~ meʔ ~ mer	məri ~ meʔ ~ mer			
624	WMiji	far	FAR		1406	maraŋ ~ arən ~ mərən	maraŋ ~ arən ~ mərən			
628	WMiji	fight	FIGHT		1423	nau-ri (SM)	nauØri (SM)			
630	WMiji	fire	FIRE		221	mai	mai			
632	WMiji	fish	FISH		227	tʰ(r)i; tʰui ~ t͡ʃui (SM)	tʰ(r)i; tʰui ~ tʃui (SM)			
633	WMiji	five	FIVE		493	boŋu ~ buŋu ~ pugu	boŋu ~ buŋu ~ pugu			
634	WMiji	flow	FLOW		2003	-	Ø			
635	WMiji	flower	FLOWER		239	uboʔ	uboʔ			
637	WMiji	frog	FROG		503	dʒou	dʒou			
638	WMiji	fruit	FRUIT		1507	utʰen	utʰen			
639	WMiji	four	FOUR		1500	bəlei ~ bli	bəlei ~ bli			
640	WMiji	full	FULL		1429	lən ~ len ~ pʰiɬaŋ; olin (SM)	lən ~ len ~ pʰiɬaŋ; olin (SM)			
642	WMiji	give	GIVE		1447	pʰebi ~ biʔna ~ bi	pʰebi ~ biʔna ~ bi			
643	WMiji	goat	GOAT		1502	tʃeprem ~ ʃəpʰə̆rən; ʃupʰrin (SM)	tʃeprem ~ ʃəpʰərən; ʃupʰrin (SM)			
646	WMiji	grass	GRASS		606	t͡sen (SM)	tsen (SM)			
649	WMiji	hair	HAIR		1040	upʰiu ~ wopʰijo	upʰiu ~ wopʰijo			
650	WMiji	hard	HARD		1884	məgaŋ (SM)	məgaŋ (SM)			
652	WMiji	hand, arm	HAND		1277	gi	gi			
654	WMiji	head	HEAD		1256	dəkʰijaŋ ~ uː ~ tokijaŋ	dəkʰijaŋ ~ uː ~ tokijaŋ			
655	WMiji	heart	HEART		1223	luŋvəuk ~ kebaŋlaŋ ~ məɲijo	luŋvəuk ~ kebaŋlaŋ ~ məɲijo			
