ID	Name	Doculect	Subgroup	Glottocode	Longitude	Latitude	Source
KarbiMikir	Mikir	Karbi (Mikir)	Mizo	karb1241	93.050494	25.735084	Walker1925,KonnerthFC,GruessnerNoDate
WobziKhroskyabs	WobziKhroskyabs	Khroskyabs Wobzi	rGyalrong	eree1240	101.427999	31.62758	Lai2017
Lisu	Lisu	Lisu	Loloish	lisu1250	98.848486	25.950046	Huang1992
Bahing	Bahing	Bahing	Kiranti	bahi1252	86.430334	27.309472	Michailovsky1989
Bantawa	Bantawa	Bantawa	Kiranti	bant1281	87.049995	27.117894	Jongens2009
Hayu	Hayu	Hayu	Kiranti	wayu1241	86.099009	27.302102	Michailovsky1989a
Khaling	Khaling	Khaling	Kiranti	khal1275	87.510016	27.390595	Jacques2017FN
Kulung	Kulung	Kulung	Kiranti	kulu1253	86.910944	27.690037	Tolsma1999
Limbu	Limbu	Limbu	Kiranti	limb1266	87.889909	27.272065	Jacques2017FN
Thulung	Thulung	Thulung	Kiranti	thul1246	87.609608	27.534944	Allen1975
Lushai	Lushai	Lushai	Mizo	lush1249	92.629457	22.60535	Lorrain1940
Ukhrul	Ukhrul	Ukhrul	Naga	ukhr1238	94.37045	25.092617	Mortensen2012
Dulong	Dulong	Dulong	Nungic	drun1238	98.691868	27.749017	Huang1992
Zhaba	Zhaba	Zhaba	Qiangic	zhab1238	101.058397	30.538892	Huang1992
Rabha	Rabha	Rabha	Rabha	rabh1238	91.170064	25.820135	Joseph2007
Daofu	Daofu	Daofu	rGyalrong	horp1240	101.123742	30.975281	Huang1992
Japhug	Japhug	Japhug	rGyalrong	japh1234	101.957636	32.207076	Jacques2015b
Marerkang	MaerkangrGyalrong	Marerkang	rGyalrong	situ1238	102.295293	31.868614	Huang1992
Beijing	Beijing	Beijing	Sinitic	beij1235	116.397422	39.909056	Lai2017FN
Chaozhou	Chaozhou	Chaozhou	Sinitic	chao1238	116.622317	23.657699	Lai2017FN
Guangzhou	Guangzhou	Guangzhou	Sinitic	guan1279	113.258099	23.131111	Lai2017FN
Jieyang	Jieyang	Jieyang	Sinitic	chao1239	116.373013	23.551122	Lai2017FN
Longgang	Longgang	Longgang	Sinitic	hakk1236	114.243825	22.725545	Lai2017FN
OldChinese	OldChinese	Old Chinese	Sinitic	oldc1244	108.777868	34.101745	Baxter2014
Xingning	Xingning	Xingning	Sinitic	hakk1236	115.732382	24.13674	Lai2017FN
Tangut	Tangut	Tangut	Tangut	tang1334	106.285383	38.477453	Li1997
TaniBokar	Bokar	Bokar	Tani	boka1249	93.15717	27.554547	Huang1992
Alike	Alike	Alike	Tibetan	amdo1237	92.839938	38.318508	Huang1992
Batang	Batang	Batang	Tibetan	kham1282	99.111944	30.00795	Huang1992
Lhasa	Lhasa	Lhasa	Tibetan	utsa1239	91.171493	29.653441	Huang1992
OldTibetan	OldTibetan	Old Tibetan	Tibetan	clas1254	91.158704	30.027852	Huang1992
Xiahe	Xiahe	Xiahe	Tibetan	amdo1237	102.524979	35.210549	Huang1992
Bunan	Bunan	Bunan	TibetoKinauri	gahr1239	77.076283	32.554766	Widmer2014
Byangsi	Byangsi	Byangsi	TibetoKinauri	byan1241	80.22309	29.583838	Sharma2003a
Rongpo	Rongpo	Rongpo	TibetoKinauri	rong1264	79.569987	30.530044	Sharma2003
Jingpho	Jingpho	Jingpho	Jingpho	jing1260	97.329866	25.461826	Huang1992
KBEastPuroikSoja	EasternPuroik	Puroik	Kho-Bwa	sulu1241	92.38	27.32	RS2009, AT90
KBEastPuroikRemsangpuia	EasternPuroik	Puroik	Kho-Bwa	sulu1241	92.38	27.32	Remsangpuia2008
KBEastPuroikSun	EasternPuroik	Puroik	Kho-Bwa	sulu1241	92.38	27.32	Sun1991
MishmiKaman	Kaman	Miju	Mishmi	miju1243			Sun1991
