ID	RID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LOAN	COGID	NOTE	ALIGNMENT
4090	4090	101_ifirstpersonsingular	I [first person singular]	Dulong	Dulong	ŋɑ⁵³	ŋ.ɑ.⁵³	ŋ ɑ ⁵³	drun1238	1209	27.749017	98.691868		FALSE	327		
4091	4091	101_ifirstpersonsingular	I [first person singular]	Garo	Garo	aŋa	a.ŋ.a	a ŋ a	garo1247	1209	25.504744	90.333226		FALSE	10388		
4092	4092	101_ifirstpersonsingular	I [first person singular]	Hakha	Hakha	kà/ay/i+maʔ	k.à/a.y/i.+.m.a.ʔ	k à/a y/i + m a ʔ	haka1240	1209	22.870089	92.820021		FALSE	29721		
4093	4093	101_ifirstpersonsingular	I [first person singular]	Hayu	Hayu	aŋ	a.ŋ	a ŋ	wayu1241	1209	27.302102	86.099009		FALSE	10388		
4094	4094	101_ifirstpersonsingular	I [first person singular]	Hayu	Hayu	gu	g.u	g u	wayu1241	1209	27.302102	86.099009		FALSE	799		
4095	4095	101_ifirstpersonsingular	I [first person singular]	Japhug	Japhug	aʑo	a.ʑ.o	a ʑ o	japh1234	1209	32.207076	101.957636		FALSE	327		
4096	4096	101_ifirstpersonsingular	I [first person singular]	Jingpho	Jingpho	ŋai³³	ŋ.a.i.³³	ŋ a i ³³	jing1260	1209	25.461826	97.329866		FALSE	327		
4097	4097	101_ifirstpersonsingular	I [first person singular]	Kulung	Kulung	kɔŋ	k.ɔ.ŋ	k ɔ ŋ	kulu1253	1209	27.690037	86.910944		FALSE	29760		
4098	4098	101_ifirstpersonsingular	I [first person singular]	Lashi	Lashi	ŋo³¹	ŋ.o.³¹	ŋ o./o ³¹	lash1243	1209	24.111512	98.311333		FALSE	327		
4099	4099	101_ifirstpersonsingular	I [first person singular]	Limbu	Limbu	iŋga	i.ŋ.g.a	i ŋ g a	limb1266	1209	27.272065	87.889909		FALSE	29722		
4100	4100	101_ifirstpersonsingular	I [first person singular]	Lisu	Lisu	ŋuɑ³³	ŋ.u.ɑ.³³	ŋ u ɑ ³³	lisu1250	1209	25.950046	98.848486		FALSE	327		
4101	4101	101_ifirstpersonsingular	I [first person singular]	Lushai	Mizo (Lushai)	ka	k.a	k a	lush1249	1209	22.60535	92.629457		FALSE	29721		
4102	4102	101_ifirstpersonsingular	I [first person singular]	Mikir	Karbi (Mikir)	ne	n.e	n e	karb1241	1209	25.735084	93.050494		FALSE	10389		
4103	4103	101_ifirstpersonsingular	I [first person singular]	MotuoMenba	Tshangla	dʑaŋ	dʑ.a.ŋ	dʑ a ŋ	tsha1245	1209	29.325414	95.340883		FALSE	10390		
4104	4104	101_ifirstpersonsingular	I [first person singular]	OldBurmese	Old Burmese	ṅā	ṅ.ā	ṅ/n ā/aː	oldb1235	1209	21.624974	97.126742		FALSE	327		
4105	4105	101_ifirstpersonsingular	I [first person singular]	OldChinese	Old Chinese	*ŋˤa	ŋˤ.a	ŋˤ a	oldc1244	1209	34.101745	108.777868		FALSE	327		
4106	4106	101_ifirstpersonsingular	I [first person singular]	OldTibetan	Old Tibetan	ŋa	ŋ.a	ŋ a	clas1254	1209	30.027852	91.158704		FALSE	327		
4107	4107	101_ifirstpersonsingular	I [first person singular]	Rabha	Rabha	aŋ	a.ŋ	a ŋ	rabh1238	1209	25.820135	91.170064		FALSE	10388		
4108	4108	101_ifirstpersonsingular	I [first person singular]	Rangoon	Rangoon Burmese	ŋɑ²²	ŋ.ɑ.²²	ŋ ɑ ²²	nucl1310	1209	16.874207	96.190785		FALSE	327		
4109	4109	101_ifirstpersonsingular	I [first person singular]	Tangut	Tangut	ŋa²	ŋ.a.²	ŋ a ²	tang1334	1209	38.477453	106.285383		FALSE	327		
4110	4110	101_ifirstpersonsingular	I [first person singular]	Tangut	Tangut	mjo	m.j.o	m j o	tang1334	1209	38.477453	106.285383		FALSE	105		
4111	4111	101_ifirstpersonsingular	I [first person singular]	Thulung	Thulung	go	g.o	g o	thul1246	1209	27.534944	87.609608		FALSE	799		
4112	4112	101_ifirstpersonsingular	I [first person singular]	Alike	Alike Tibetan	ŋæ	ŋ.æ	ŋ æ	amdo1237	1209	38.318508	92.839938		FALSE	327		
4113	4113	101_ifirstpersonsingular	I [first person singular]	Batang	Batang Tibetan	ŋa²³¹	ŋ.a.²³¹	ŋ a ²³¹	kham1282	1209	30.00795	99.111944		FALSE	327		
4114	4114	101_ifirstpersonsingular	I [first person singular]	Lhasa	Lhasa Tibetan	ŋa¹³	ŋ.a.¹³	ŋ a ¹³	utsa1239	1209	29.653441	91.171493		FALSE	327		
4115	4115	101_ifirstpersonsingular	I [first person singular]	Ukhrul	Ukhrul	ʔi	ʔ.i	ʔ i	ukhr1238	1209	25.092617	94.37045		FALSE	2029		
4116	4116	101_ifirstpersonsingular	I [first person singular]	WobziKhroskyabs	Wobzi Khroskyabs	ŋô	ŋ.ô	ŋ ô/o	eree1240	1209	31.62758	101.427999		FALSE	327		
4117	4117	101_ifirstpersonsingular	I [first person singular]	Xingning	Xingning Chinese	ŋai²⁴	ŋ.a.i.²⁴	ŋ a i ²⁴	hakk1236	1209	24.13674	115.732382		FALSE	327		
4118	4118	101_ifirstpersonsingular	I [first person singular]	Yidu	Yidu	ŋɑ³⁵	ŋ.ɑ.³⁵	ŋ ɑ ³⁵	idum1241	1209	29.448172	95.650179		FALSE	327		
4119	4119	101_ifirstpersonsingular	I [first person singular]	Zhaba	Zhaba	ŋa¹³	ŋ.a.¹³	ŋ a ¹³	zhab1238	1209	30.538892	101.058397		FALSE	327		
1	1	1_above	above	BuluPuroik	Bulu Puroik	a.ʧa	a.ʧa	a + tʃ a	bulu1255	1741	27.452241	92.44563		FALSE	1765		
2	2	1_above	above	DikhyangBugun	Dikhyang Bugun	sa.ba.kʰuŋ	sa.ba.kʰuŋ	s a + b a + kʰ u ŋ	dikh1234	1741	27.320666	92.455119		FALSE	785		
3	3	1_above	above	Khispi	Khispi	tɕʰaŋ	tɕʰaŋ	tɕʰ a ŋ	lish1235	1741	27.378042	92.223221		FALSE	744		
4	4	1_above	above	Duhumbi	Duhumbi	tɕʰaŋ	tɕʰaŋ	tɕʰ a ŋ	chug1252	1741	27.416112	92.212034		FALSE	744		
5	5	1_above	above	Khoina	Khoina	a.tsʰɔ̃	a.tsʰɔ̃	a + tsʰ ɔ̃	khoi1253	1741	27.334981	92.52994		FALSE	744		
6	6	1_above	above	Jerigaon	Jerigaon	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	jeri1243	1741	27.340629	92.486595		FALSE	744		
7	7	1_above	above	Khoitam	Khoitam	a.tɕʰũ	a.tɕʰũ	a + tɕʰ ũ	khoi1252	1741	27.327487	92.439455		FALSE	744		
8	8	1_above	above	Rahung	Rahung	a.tɕʰũ	a.tɕʰũ	a + tɕʰ ũ	rahu1234	1741	27.310778	92.395028		FALSE	744		
9	9	1_above	above	Rupa	Rupa	a.tsʰũ	a.tsʰũ	a + tsʰ ũ	rupa1234	1741	27.203065	92.398757		FALSE	744		
10	10	1_above	above	Shergaon	Shergaon	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	sher1261	1741	27.105018	92.272133		FALSE	744		
11	11	1_above	above	BhutanTshangla	Bhutan Tshangla	tʰuŋ	tʰuŋ	tʰ u ŋ	tsha1245	1741	27.337241	91.551654		FALSE	783		
12	12	1_above	above	KusundaK	KusundaK	nɔ̃ː.ʤi ɐ̃ː.ʤi	nɔ̃ː.ʤi	n ɔ̃ː + dʒ i	kusu1250	1741	28	82.26		FALSE	790		
13	13	1_above	above	Achang	Achang	a³¹+lum³¹	a.³¹.+.l.u.m.³¹	a ³¹ + l u m ³¹	acha1249	1741	24.466605	97.89503		FALSE	3049		
14	14	1_above	above	Beijing	Beijing Chinese	ʂɑŋ⁵¹tʰou⁰	ʂ.ɑ.ŋ.⁵¹.tʰ.o.u.⁰	ʂ ɑ ŋ ⁵¹ tʰ o./o u ⁰	beij1235	1741	39.909056	116.397422		FALSE	20		
15	15	1_above	above	Bokar	Bokar	jan dap	j.a.n.+.d.a.p	j a n + d a p	boka1249	1741	27.554547	93.15717		TRUE	198		
16	16	1_above	above	Bunan	Bunan	jartok	j.a.r.t.o.k	j a r t o./o k	gahr1239	1741	32.554766	77.076283		TRUE	198		
17	17	1_above	above	Byangsi	Byangsi	jarto	j.a.r.t.o	j a r t o	byan1241	1741	29.583838	80.22309		TRUE	198		
18	18	1_above	above	Chaozhou	Chaozhou Chinese	teŋ⁵³₃₅põĩ∼⁵⁵	t.e.ŋ.⁵³₃₅.p.õ.ĩ.∼.⁵⁵	t e ŋ ⁵³/³⁵ p õ ĩ ⁵⁵	chao1238	1741	23.657699	116.622317		FALSE	1618		
19	19	1_above	above	Chepang	Chepang	puh+ʔə	p.u.h.+.ʔ.ə	p u h + ʔ ə	chep1245	1741	27.785164	84.908801		FALSE	3791		
20	20	1_above	above	Dulong	Dulong	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	l.ɯ.³¹.+.k.ɑ.⁵⁵.+.p.ɑ.ŋ.⁵⁵	l ɯ ³¹ + k ɑ ⁵⁵ + p ɑ ŋ ⁵⁵	drun1238	1741	27.749017	98.691868		FALSE	1265		
21	21	1_above	above	Garo	Garo	sakao	s.a.k.a.o	s a k a o	garo1247	1741	25.504744	90.333226		FALSE	3915		
22	22	1_above	above	Hakha	Hakha	tsùŋ	ts.ù.ŋ	ts ù ŋ	haka1240	1741	22.870089	92.820021		FALSE	744		
23	23	1_above	above	Hayu	Hayu	ani	a.n.i	a n i	wayu1241	1741	27.302102	86.099009		FALSE	2156		
24	24	1_above	above	Hayu	Hayu	ani	a.n.i	a n i	wayu1241	1741	27.302102	86.099009		FALSE	2156		
25	25	1_above	above	Japhug	Japhug	ɯ-taʁ	ɯ.◦.t.a.ʁ	ɯ + t a ʁ	japh1234	1741	32.207076	101.957636		FALSE	49		
26	26	1_above	above	Jingpho	Jingpho	n³¹tsa̱³³	n.³¹.◦.ts.a̱.³³	n ³¹ + ts a̠ ³³	jing1260	1741	25.461826	97.329866		FALSE	1765		
27	27	1_above	above	Kulung	Kulung	tɔ:ptɔ	t.ɔ:.p.t.ɔ	t ɔː p t ɔ	kulu1253	1741	27.690037	86.910944		FALSE	612		
28	28	1_above	above	Limbu	Limbu	ɛtthaŋ	ɛ.t.th.a.ŋ	ɛ t tʰ a ŋ	limb1266	1741	27.272065	87.889909		FALSE	20		
29	29	1_above	above	Lisu	Lisu	gɑ̱³¹si̱³³	g.ɑ̱.³¹.◦.s.i̱.³³	g ɑ̠ ³¹ + s i̠ ³³	lisu1250	1741	25.950046	98.848486		FALSE	2668		
30	30	1_above	above	Mikir	Karbi (Mikir)	"angsong, athak; (one -- another) pangchap, pacherop."	a.ng.s.o.ng	a ng s o./o ng	karb1241	1741	25.735084	93.050494		FALSE	0		
31	31	1_above	above	MotuoMenba	Tshangla	ga ten	g.a._.t.e.n	g a + t e n	tsha1245	1741	29.325414	95.340883		FALSE	431	this means 'upwards'	
32	32	1_above	above	OldBurmese	Old Burmese	ʔa◦thak	ʔ.a.◦.th.a.k	ʔ a + tʰ a k	oldb1235	1741	21.624974	97.126742		FALSE	49		
33	33	1_above	above	OldChinese	Old Chinese	*daŋʔ-s	d.a.ŋ.ʔ.+.s	d a ŋ ʔ + s	oldc1244	1741	34.101745	108.777868		FALSE	20		
34	34	1_above	above	OldTibetan	Old Tibetan	steŋ	s.t.e.ŋ	s t e ŋ	clas1254	1741	30.027852	91.158704		FALSE	20		
35	35	1_above	above	Rangoon	Rangoon Burmese	ɑ⁵³+tʰɛʔ	ɑ.⁵³.+.tʰ.ɛ.ʔ	ɑ ⁵³ + tʰ ɛ ʔ	nucl1310	1741	16.874207	96.190785		FALSE	49		
36	36	1_above	above	Tangut	Tangut	tɕhjaa	tɕh.jaa	tɕʰ j aː	tang1334	1741	38.477453	106.285383		FALSE	10178		
37	37	1_above	above	Thulung	Thulung	ɖʌːla	ɖ.ʌː.l.a	ɖ ʌː l a	thul1246	1741	27.534944	87.609608		FALSE	4050		
38	38	1_above	above	Thulung	Thulung	gele	g.e.l.e	g e l e	thul1246	1741	27.534944	87.609608		FALSE	4111		
39	39	1_above	above	Batang	Batang Tibetan	ja¹³tɕøʔ⁵³	j.a.¹³.◦.tɕ.ø.ʔ.⁵³	j a ¹³ + tɕ ø ʔ ⁵³	kham1282	1741	30.00795	99.111944		FALSE	198		
40	40	1_above	above	Lhasa	Lhasa Tibetan	jɛ̃¹³tɕhɛ⁵²	j.ɛ̃.∼.¹³.◦.tɕʰ.ɛ.⁵²	j ɛ̃ ¹³ + tɕʰ ɛ ⁵²	utsa1239	1741	29.653441	91.171493		FALSE	198		
41	41	1_above	above	Lhasa	Lhasa Tibetan	khoŋ¹³la	kʰ.o.ŋ.¹³.◦.l.a	kʰ o./o ŋ ¹³ + l a	utsa1239	1741	29.653441	91.171493		FALSE	1035		
42	42	1_above	above	Ukhrul	Ukhrul	kə+kan	k.ə.+.k.a.n	k ə + k a n	ukhr1238	1741	25.092617	94.37045		FALSE	3313		
43	43	1_above	above	WobziKhroskyabs	Wobzi Khroskyabs	tʰɑ	tʰ.ɑ	tʰ ɑ	eree1240	1741	31.62758	101.427999		FALSE	49		
44	44	1_above	above	Xingning	Xingning Chinese	ʂɔŋ⁵⁵pɔɛ⁵³	ʂ.ɔ.ŋ.⁵⁵.p.ɔ.ɛ.⁵³	ʂ ɔ ŋ ⁵⁵ p ɔ ɛ ⁵³	hakk1236	1741	24.13674	115.732382		FALSE	20		
45	45	1_above	above	Xingning	Xingning Chinese	hɔŋ⁵³	h.ɔ.ŋ.⁵³	h ɔ ŋ ⁵³	hakk1236	1741	24.13674	115.732382		FALSE	1619		
46	46	1_above	above	Zhaba	Zhaba	ʌ¹³tʂhɿ³³	ʌ.¹³.◦.tʂh.ɿ.³³	ʌ ¹³ + ʈʂʰ ɿ ³³	zhab1238	1741	30.538892	101.058397		FALSE	2262		
47	47	2_all	all	BuluPuroik	Bulu Puroik	a.hjoN	a.hjom	a + h j o m	bulu1255	98	27.452241	92.44563		FALSE	796		
48	48	2_all	all	DikhyangBugun	Dikhyang Bugun	zap.pʰa	zap.pʰa	z a p + pʰ a	dikh1234	98	27.320666	92.455119		FALSE	795		
49	49	2_all	all	Khispi	Khispi	gaŋ.pu	gaŋ.pu	g a ŋ + p u	lish1235	98	27.378042	92.223221		TRUE	5665		
50	50	2_all	all	Duhumbi	Duhumbi	gaŋ.pu	gaŋ.pu	g a ŋ + p u	chug1252	98	27.416112	92.212034		TRUE	5665		
51	51	2_all	all	Khoina	Khoina	a.tʰøn.dʑi	a.tʰøn.dʑi	a + tʰ ø n + dʑ i	khoi1253	98	27.334981	92.52994		FALSE	793		
52	52	2_all	all	Jerigaon	Jerigaon	a.pʰɛn	a.pʰɛn	a + pʰ ɛ n	jeri1243	98	27.340629	92.486595		FALSE	797		
53	53	2_all	all	Khoitam	Khoitam	a.tʰɔm	a.tʰɔm	a + tʰ ɔ m	khoi1252	98	27.327487	92.439455		FALSE	793		
54	54	2_all	all	Rahung	Rahung	a.tʰøm	a.tʰøm	a + tʰ ø m	rahu1234	98	27.310778	92.395028		FALSE	793		
55	55	2_all	all	Rupa	Rupa	a.tʰɔm	a.tʰɔm	a + tʰ ɔ m	rupa1234	98	27.203065	92.398757		FALSE	793		
56	56	2_all	all	Shergaon	Shergaon	a.tʰɔm	a.tʰɔm	a + tʰ ɔ m	sher1261	98	27.105018	92.272133		FALSE	793		
57	57	2_all	all	BhutanTshangla	Bhutan Tshangla	tʰam+ʨe	tʰam+ʨe	tʰ a m + tɕ e	tsha1245	98	27.337241	91.551654		TRUE	3682		
58	58	2_all	all	KusundaK	KusundaK	swɐ.t̪eː	swɐ.t̪eː	s w ɐ + t̪ eː	kusu1250	98	28	82.26		FALSE	794		
59	59	2_all	all	Achang	Achang	pʐa⁵⁵+pʐa⁵⁵	p.ʐ.a.⁵⁵.+.p.ʐ.a.⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	acha1249	98	24.466605	97.89503		FALSE	8001		
60	60	2_all	all	Bokar	Bokar	kə baŋ	k.ə._.b.a.ŋ	k ə + b a ŋ	boka1249	98	27.554547	93.15717		FALSE	1321		
61	61	2_all	all	Bunan	Bunan	tsʰaŋi	tsʰ.a.ŋ.i	tsʰ a ŋ i	gahr1239	98	32.554766	77.076283		TRUE	5663		
62	62	2_all	all	Byangsi	Byangsi	lairi	l.a.i.r.i	l a i r i	byan1241	98	29.583838	80.22309		FALSE	6208		
63	63	2_all	all	Chepang	Chepang	dʒəm+bay	dʒ.ə.m.+.b.a.y	dʒ ə m + b a y	chep1245	98	27.785164	84.908801		FALSE	5140		
64	64	2_all	all	Chepang	Chepang	dʒu	dʒ.u	dʒ u	chep1245	98	27.785164	84.908801		FALSE	5141		
65	65	2_all	all	Dulong	Dulong	sɯ³¹nɑʔ⁵⁵	s.ɯ.³¹.◦.n.ɑ.ʔ.⁵⁵	s ɯ ³¹ + n ɑ ʔ ⁵⁵	drun1238	98	27.749017	98.691868		FALSE	1276		
66	66	2_all	all	Garo	Garo	bebak	b.e.b.a.k	b e b a k	garo1247	98	25.504744	90.333226		FALSE	5308		
67	67	2_all	all	Hakha	Hakha	zǎatêe	z.ǎa.t.êe	z ǎa/a t êe/eː	haka1240	98	22.870089	92.820021		FALSE	5779		
68	68	2_all	all	Japhug	Japhug	%tʰamtɕɤt	tʰ.a.m.tɕ.ɤ.t	tʰ a m tɕ ɤ t	japh1234	98	32.207076	101.957636		TRUE	3682		
69	69	2_all	all	Japhug	Japhug	lonmba	l.o.n.mb.a	l o./o n mb a	japh1234	98	32.207076	101.957636		TRUE	1275		
70	70	2_all	all	Jingpho	Jingpho	ŋa³¹mă⁵⁵ŋa⁵¹	ŋ.a.³¹.◦.m.ă.⁵⁵.◦.ŋ.a.⁵¹	ŋ a ³¹ + m ă ⁵⁵ + ŋ a ⁵¹	jing1260	98	25.461826	97.329866		FALSE	1274		
71	71	2_all	all	Kulung	Kulung	tɔ:tɔ	t.ɔ:.t.ɔ	t ɔː t ɔ	kulu1253	98	27.690037	86.910944		FALSE	6288		
72	72	2_all	all	Kulung	Kulung	kʰɔ:lɔ	kʰ.ɔ:.l.ɔ	kʰ ɔː l ɔ	kulu1253	98	27.690037	86.910944		FALSE	1273		
73	73	2_all	all	Lashi	Lashi	pan³¹+ʃɔ̰ʔ⁵⁵	p.a.n.³¹.+.ʃ.ɔ̰.ʔ.⁵⁵	p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵	lash1243	98	24.111512	98.311333		FALSE	8003		
74	74	2_all	all	Limbu	Limbu	kak	k.a.k	k a k	limb1266	98	27.272065	87.889909		FALSE	1320		
75	75	2_all	all	Lisu	Lisu	hɑ̃³³ŋɑ̱³³ mɑ̱³³	h.ɑ̃.∼.³³.◦.ŋ.ɑ̱.³³._.m.ɑ̱.³³	h ɑ̃ ³³ + ŋ ɑ̠ ³³ + m ɑ̠ ³³	lisu1250	98	25.950046	98.848486		FALSE	3683		
76	76	2_all	all	Mikir	Karbi (Mikir)	"kedo kave, kedoan, angse, anta, arpum, and badu(-ta, -ba-dang), lajok(ta), majok, rongisi, -tame, -rep, -phrong,; humilipi [...]"	th.ài	tʰ ài	karb1241	98	25.735084	93.050494		FALSE	0		
77	77	2_all	all	MotuoMenba	Tshangla	tham tɕeʔ	th.a.m._.tɕ.e.ʔ	tʰ a m + tɕ e ʔ	tsha1245	98	29.325414	95.340883		TRUE	3682		
78	78	2_all	all	OldBurmese	Old Burmese	ʔa◦kun	ʔ.a.◦.k.u.n	ʔ a + k u n	oldb1235	98	21.624974	97.126742		FALSE	3899		
79	79	2_all	all	OldChinese	Old Chinese	*[b]rom	b.r.o.m	b r o./o m	oldc1244	98	34.101745	108.777868		FALSE	1186		
80	80	2_all	all	OldChinese	Old Chinese	*[g]ˤr[ə]m	gˤ.r.ə.m	gˤ r ə m	oldc1244	98	34.101745	108.777868		FALSE	3684		
81	81	2_all	all	OldTibetan	Old Tibetan	tʰams.tɕad	tʰ.a.m.s.◦.tɕ.a.d	tʰ a m s + tɕ a d	clas1254	98	30.027852	91.158704		FALSE	3682		
82	82	2_all	all	OldTibetan	Old Tibetan	kun	k.u.n	k u n	clas1254	98	30.027852	91.158704		FALSE	3899		
83	83	2_all	all	Rangoon	Rangoon Burmese	m̥ɑ̃∼²²+tθɑ⁵³+m̥jɑ⁵³	m̥.ɑ̃.∼.²².+.tθ.ɑ.⁵³.+.m̥.j.ɑ.⁵³	m̥ ɑ̃ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	nucl1310	98	16.874207	96.190785		FALSE	8340		
84	84	2_all	all	Tangut	Tangut	zji¹	z.j.i.¹	z j i ¹	tang1334	98	38.477453	106.285383		FALSE	0		
85	85	2_all	all	Tangut	Tangut	zji	z.ji	z j i	tang1334	98	38.477453	106.285383		FALSE	0		
86	86	2_all	all	Tangut	Tangut	rjur	r.ju.r	r j u r	tang1334	98	38.477453	106.285383		FALSE	0		
87	87	2_all	all	Thulung	Thulung	khotle	kh.o.t.l.e	kʰ o./o t l e	thul1246	98	27.534944	87.609608		FALSE	1273		
88	88	2_all	all	Alike	Alike Tibetan	tshaŋ mæ	tsh.a.ŋ._.m.æ	tsʰ a ŋ + m æ	amdo1237	98	38.318508	92.839938		FALSE	5663		
89	89	2_all	all	Batang	Batang Tibetan	jø¹³tshɛʔ⁵³	j.ø.¹³.◦.tsh.ɛ.ʔ.⁵³	j ø ¹³ + tsʰ ɛ ʔ ⁵³	kham1282	98	30.00795	99.111944		FALSE	5664		
90	90	2_all	all	Lhasa	Lhasa Tibetan	tshaŋ⁵⁵ma⁵⁵	tsh.a.ŋ.⁵⁵.◦.m.a.⁵⁵	tsʰ a ŋ ⁵⁵ + m a ⁵⁵	utsa1239	98	29.653441	91.171493		FALSE	5663		
91	91	2_all	all	Lhasa	Lhasa Tibetan	kaŋ¹³ka⁵⁵	k.a.ŋ.¹³.◦.k.a.⁵⁵	k a ŋ ¹³ + k a ⁵⁵	utsa1239	98	29.653441	91.171493		FALSE	5665		
92	92	2_all	all	WobziKhroskyabs	Wobzi Khroskyabs	pâ	p.â	p â/a	eree1240	98	31.62758	101.427999		FALSE	5037		
93	93	2_all	all	Zhaba	Zhaba	jo³³dzo⁵⁵	j.o.³³.◦.dz.o.⁵⁵	j o./o ³³ + dz o./o ⁵⁵	zhab1238	98	30.538892	101.058397		FALSE	4514		
144	144	5_bad	bad	BuluPuroik	Bulu Puroik	a.lao	a.lao	a + l ao	bulu1255	1292	27.452241	92.44563		FALSE	798		
145	145	5_bad	bad	DikhyangBugun	Dikhyang Bugun	a.vʲə	a.vʲə	a + v j ə	dikh1234	1292	27.320666	92.455119		FALSE	800		
146	146	5_bad	bad	Khoina	Khoina	a.nu	a.nu	a + n u	khoi1253	1292	27.334981	92.52994		FALSE	801		
147	147	5_bad	bad	Jerigaon	Jerigaon	a.nu	a.nu	a + n u	jeri1243	1292	27.340629	92.486595		FALSE	801		
148	148	5_bad	bad	Khoitam	Khoitam	a.nu	a.nu	a + n u	khoi1252	1292	27.327487	92.439455		FALSE	801		
149	149	5_bad	bad	Rahung	Rahung	a.nu	a.nu	a + n u	rahu1234	1292	27.310778	92.395028		FALSE	801		
150	150	5_bad	bad	Rupa	Rupa	a.ɲu	a.ɲu	a + ɲ u	rupa1234	1292	27.203065	92.398757		FALSE	801		
151	151	5_bad	bad	Shergaon	Shergaon	a.ɲu	a.ɲu	a + ɲ u	sher1261	1292	27.105018	92.272133		FALSE	801		
152	152	5_bad	bad	BhutanTshangla	Bhutan Tshangla	tɕa+mu	tɕa+mu	tɕ a + m u	tsha1245	1292	27.337241	91.551654		FALSE	889		
