ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	SUBGROUP	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	LOAN	SOURCE	NOTES	MORPHEMES	ALIGNMENT
11	1_above	above	EBWenlangCuonaMenba	TawangDakpa	East Bodish	ȵa˧˥ka˥	ȵa35ka55	ȵ a ³⁵ + k a ⁵⁵	dakp1242	1741	29.367765	95.339063		109	FALSE	Lu1986		_above _above	
12	1_above	above	KBBuluPuroik	Puroik	KhoBwa	a.ʧa	a.ʧa	a + tʃ a	bulu1255	1741	27.451029	92.44627	1765	1765	FALSE	Lieberherr2017		_prf above	
18704	1_above	above	Jingpho	Jingpho	Jingpho	n³¹tsa̱³³	n.³¹.◦.ts.a̱.³³	n ³¹ + ts a̠ ³³	jing1260	1741	25.461826	97.329866	1765	1765	FALSE	Huang1992		_above _above	
14	1_above	above	KBWKhispi	Khispi	WesternKhoBwa	tɕʰaŋ	tɕʰaŋ	tɕʰ a ŋ	lish1235	1741	27.378042	92.223221	744	744	FALSE	LandB2017		above	( - - ) tɕʰ a ŋ
15	1_above	above	KBWDuhumbi	Duhumbi	WesternKhoBwa	tɕʰaŋ	tɕʰaŋ	tɕʰ a ŋ	chug1252	1741	27.416112	92.212034	744	744	FALSE	LandB2017		above	( - - ) tɕʰ a ŋ
16	1_above	above	KBWKhoina	Sartang	WesternKhoBwa	a.tsʰɔ̃	a.tsʰɔ̃	a + tsʰ ɔ̃	khoi1253	1741	27.334981	92.52994	744	744	FALSE	LandB2017		_prf above	( a + ) tsʰ ɔ̃ -
17	1_above	above	KBWJerigaon	Sartang	WesternKhoBwa	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	jeri1243	1741	27.340629	92.486595	744	744	FALSE	LandB2017		_prf above	( a + ) tɕʰ ɔ̃ -
18	1_above	above	KBWKhoitam	Sartang	WesternKhoBwa	a.tɕʰũ	a.tɕʰũ	a + tɕʰ ũ	khoi1252	1741	27.327487	92.439455	744	744	FALSE	LandB2017		_prf above	( a + ) tɕʰ ũ -
19	1_above	above	KBWRahung	Sartang	WesternKhoBwa	a.tɕʰũ	a.tɕʰũ	a + tɕʰ ũ	rahu1234	1741	27.310778	92.395028	744	744	FALSE	LandB2017		_above _above	( a + ) tɕʰ ũ -
20	1_above	above	KBWRupa	Sherdukpen	WesternKhoBwa	a.tsʰũ	a.tsʰũ	a + tsʰ ũ	rupa1234	1741	27.203065	92.398757	744	744	FALSE	LandB2017		_prf above	( a + ) tsʰ ũ -
21	1_above	above	KBWShergaon	Sherdukpen	WesternKhoBwa	a.tɕʰɔ̃	a.tɕʰɔ̃	a + tɕʰ ɔ̃	sher1261	1741	27.105018	92.272133	744	744	FALSE	LandB2017		_prf above	( a + ) tɕʰ ɔ̃ -
54	1_above	above	Hakha	Hakha	Chin	tsùŋ	ts.ù.ŋ	ts ù ŋ	haka1240	1741	22.870089	92.820021	744	744	FALSE	VanBik2014		above	( - - ) ts ù ŋ
59	1_above	above	Bantawa	Bantawa	Kiranti	tsʰoŋ	tsʰ.o.ŋ	tsʰ o./o ŋ	bant1281	1741	27.117894	87.049995	744	744	FALSE	Jongens2009		above	( - - ) tsʰ o./o ŋ
23	1_above	above	Kusunda	Kusunda		nɔ̃ː.ʤi ɐ̃ː.ʤi	nɔ̃ː.ʤi	n ɔ̃ː + dʒ i	kusu1250	1741	28.431855	82.802796	790	193	FALSE	Bodt2019b		_above _above	
24	1_above	above	HruNamreiBisai	Namrei	Hrusish	tʃajoŋ	tʃa+joŋ	tʃ a + j o ŋ	hrus1242	1741	27.680112	92.699998		44	FALSE	Abraham2018		_above above	( tʃ a - + ) j o ŋ ( - - - )
25	1_above	above	HruNamreiNabolang	Namrei	Hrusish	tʃajoŋ	tʃa+joŋ	tʃ a + j o ŋ	hrus1242	1741	27.558051	92.789317		44	FALSE	Abraham2018		_above above	( tʃ a - + ) j o ŋ ( - - - )
27	1_above	above	HruBangru	Bangru	Hrusish	məjɔ tɔts	mə+jɔ+tɔts	m ə + j ɔ + t ɔ ts	bang1369	1741	27.952786	93.164169		44	FALSE	TB		_prf above _above	( m ə - + ) j ɔ + ( t ɔ ts )
28	1_above	above	HruDammaiDibin	Miji	Hrusish	thaŋiu	tʰaŋ+ju	tʰ a ŋ + j u	hrus1242	1741	27.444541	92.511881		44	FALSE	Abraham2018		_above above	( tʰ a ŋ + ) j u - ( - - - )
29	1_above	above	HruMijiNafra	Miji	Hrusish	thaŋjuŋ	tʰaŋ+juŋ	tʰ a ŋ + j u ŋ	hrus1242	1741	27.371831	92.544458		44	FALSE	Abraham2018		_above above	( tʰ a ŋ + ) j u ŋ ( - - - )
30	1_above	above	HruDammaiRurang	Miji	Hrusish	thajoŋ	tʰa+jɔŋ	tʰ a + j ɔ ŋ	hrus1242	1741	27.368891	92.48215		44	FALSE	Abraham2018		_above above	( tʰ a - + ) j ɔ ŋ ( - - - )
26	1_above	above	HruHrusoAkaJamiri	HrusoAka	Hrusish	ʔodɹu	ʔo+dɹu	o + d ɹ u	hrus1242	1741	27.203617	92.590615		51	FALSE	Abraham2018		_above _above	
32	1_above	above	OldTibetan	OldTibetan	Tibetan	steŋ	s.t.e.ŋ	s t e ŋ	clas1254	1741	30.027852	91.158704	20	20	FALSE	Huang1992		above	
46	1_above	above	Limbu	Limbu	Kiranti	ɛtthaŋ	ɛ.t.th.a.ŋ	ɛ t tʰ a ŋ	limb1266	1741	27.272065	87.889909	20	20	FALSE	Jacques2017FN		above	
47	1_above	above	OldChinese	OldChinese	Sinitic	*daŋʔ-s	d.a.ŋ.ʔ.+.s	d a ŋ ʔ + s	oldc1244	1741	34.101745	108.777868	20	20	FALSE	Baxter2014		_above _above	
66	1_above	above	Beijing	Beijing	Sinitic	ʂɑŋ⁵¹tʰou⁰	ʂ.ɑ.ŋ.⁵¹.tʰ.o.u.⁰	ʂ ɑ ŋ ⁵¹ tʰ o./o u ⁰	beij1235	1741	39.909056	116.397422	20	20	FALSE	Lai2017FN		above	
67	1_above	above	Guangzhou	Guangzhou	Sinitic	sœŋ²²pin²²	s.œ.ŋ.²².p.i.n.²²	s œ ŋ ²² p i n ²²	guan1279	1741	23.131111	113.258099	20	20	FALSE	Lai2017FN		above	
71	1_above	above	Xingning	Xingning	Sinitic	ʂɔŋ⁵⁵pɔɛ⁵³	ʂ.ɔ.ŋ.⁵⁵.p.ɔ.ɛ.⁵³	ʂ ɔ ŋ ⁵⁵ p ɔ ɛ ⁵³	hakk1236	1741	24.13674	115.732382	20	20	FALSE	Lai2017FN		above	
33	1_above	above	Japhug	Japhug	rGyalrong	ɯ-taʁ	ɯ.◦.t.a.ʁ	ɯ + t a ʁ	japh1234	1741	32.207076	101.957636	49	49	FALSE	Jacques2015b		_above _above	
48	1_above	above	OldBurmese	OldBurmese	Burmish	ʔa◦thak	ʔ.a.◦.th.a.k	ʔ a + tʰ a k	oldb1235	1741	21.624974	97.126742	49	49	FALSE	Hill2017		_above _above	
49	1_above	above	WobziKhroskyabs	KhroskyabsWobzi	rGyalrong	tʰɑ	tʰ.ɑ	tʰ ɑ	eree1240	1741	31.62758	101.427999	49	49	FALSE	Lai2017		above	
60	1_above	above	Atsi	Atsi	Burmish	tʰoʔ⁵⁵+mai²¹	tʰ.o.ʔ.⁵⁵.+.m.a.i.²¹	tʰ o./o ʔ ⁵⁵ + m a i ²¹	zaiw1241	1741	24.193367	97.806689	49	49	FALSE	Huang1992 Hill2017		_above _above	
61	1_above	above	Rangoon	Rangoon	Burmish	ɑ⁵³+tʰɛʔ	ɑ.⁵³.+.tʰ.ɛ.ʔ	ɑ ⁵³ + tʰ ɛ ʔ	nucl1310	1741	16.874207	96.190785	49	49	FALSE	Huang1992 Hill2017		_above _above	
62	1_above	above	Bola	Bola	Burmish	a³¹+tʰaʔ⁵⁵	a.³¹.+.tʰ.a.ʔ.⁵⁵	a ³¹ + tʰ a ʔ ⁵⁵	pela1242	1741	24.405004	98.234243	49	49	FALSE	Huang1992 Hill2017		_above _above	
64	1_above	above	Maru	Maru	Burmish	tʰɔʔ⁵⁵+mɛ³¹	tʰ.ɔ.ʔ.⁵⁵.+.m.ɛ.³¹	tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹	maru1249	1741	24.939981	99.83	49	49	FALSE	Huang1992 Hill2017		_above _above	
34	1_above	above	TshMotuoMenba	MotuoCangluoTshangla	Bodic	ga ten	g.a._.t.e.n	g a + t e n	tsha1245	1741	29.321347	95.319922	431	431	FALSE	Huang1992	this means 'upwards'	_above _above	
36	1_above	above	Lhasa	Lhasa	Tibetan	khoŋ¹³la	kʰ.o.ŋ.¹³.◦.l.a	kʰ o./o ŋ ¹³ + l a	utsa1239	1741	29.653441	91.171493	1035	1035	FALSE	Huang1992	!ignore double no link!	_above _above	
37	1_above	above	Daofu	Daofu	rGyalrong	rə nkhvɛ	r.ə.+.n.kʰ.v.ɛ	r ə + n kʰ v ɛ	horp1240	1741	30.975281	101.123742	1310	1310	FALSE	Huang1992		_above _above	
38	1_above	above	Dulong	Dulong	Nungic	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	l.ɯ.³¹.+.k.ɑ.⁵⁵.+.p.ɑ.ŋ.⁵⁵	l ɯ ³¹ + k ɑ ⁵⁵ + p ɑ ŋ ⁵⁵	drun1238	1741	27.749017	98.691868	1265	1265	FALSE	Huang1992		_above _above _above	
40	1_above	above	Zhaba	Zhaba	Qiangic	ʌ¹³tʂhɿ³³	ʌ.¹³.◦.tʂh.ɿ.³³	ʌ ¹³ + ʈʂʰ ɿ ³³	zhab1238	1741	30.538892	101.058397	2262	2262	FALSE	Huang1992		_above _above	
41	1_above	above	Maerkang	Marerkang	rGyalrong	wu prɐi	w.u._.p.r.ɐ.i	w u + p r ɐ i	situ1238	1741	31.868614	102.295293	2290	2290	FALSE	Huang1992		_above _above	
43	1_above	above	Lisu	Lisu	Loloish	gɑ̱³¹si̱³³	g.ɑ̱.³¹.◦.s.i̱.³³	g ɑ̠ ³¹ + s i̠ ³³	lisu1250	1741	25.950046	98.848486	2668	2668	FALSE	Huang1992		_above _above	
50	1_above	above	Chepang	Chepang		puh+ʔə	p.u.h.+.ʔ.ə	p u h + ʔ ə	chep1245	1741	27.785164	84.908801	3791	3791	FALSE	Caughley2000		_above _above	
51	1_above	above	Garo	Garo	Garo	sakao	s.a.k.a.o	s a k a o	garo1247	1741	25.504744	90.333226	3915	3915	FALSE	Burling2003		above	
52	1_above	above	Thulung	Thulung	Kiranti	ɖʌːla	ɖ.ʌː.l.a	ɖ ʌː l a	thul1246	1741	27.534944	87.609608	4050	4050	FALSE	Allen1975		above	
53	1_above	above	Thulung	Thulung	Kiranti	gele	g.e.l.e	g e l e	thul1246	1741	27.534944	87.609608	4111	4111	FALSE	Allen1975		above	
57	1_above	above	Rongpo	Rongpo	TibetoKinauri	kaltʃo	k.a.l.tʃ.o	k a l tʃ o	rong1264	1741	30.530044	79.569987	461	192	FALSE	Sharma2003	COGID changed Tim cross semantic	above	
58	1_above	above	Kulung	Kulung	Kiranti	tɔ:ptɔ	t.ɔ:.p.t.ɔ	t ɔː p t ɔ	kulu1253	1741	27.690037	86.910944	612	612	FALSE	Tolsma1999		above	
63	1_above	above	Achang	Achang	Burmish	a³¹+lum³¹	a.³¹.+.l.u.m.³¹	a ³¹ + l u m ³¹	acha1249	1741	24.466605	97.89503	3049	3049	FALSE	Huang1992 Hill2017		_above _above	
65	1_above	above	Bahing	Bahing	Kiranti	hati	h.a.t.i	h a t i	bahi1252	1741	27.309472	86.430334	2769	2769	FALSE	Michailovsky1989		above	
68	1_above	above	Chaozhou	Chaozhou	Sinitic	teŋ⁵³₃₅põĩ∼⁵⁵	t.e.ŋ.⁵³₃₅.p.õ.ĩ.∼.⁵⁵	t e ŋ ⁵³/³⁵ p õ ĩ ⁵⁵	chao1238	1741	23.657699	116.622317	1618	1618	FALSE	Lai2017FN		above	
69	1_above	above	Longgang	Longgang	Sinitic	taŋ³³kau³³	t.a.ŋ.³³.k.a.u.³³	t a ŋ ³³ k a u ³³	hakk1236	1741	22.725545	114.243825	1618	1618	TRUE	Lai2017FN		above	
70	1_above	above	Jieyang	Jieyang	Sinitic	teŋ³¹₃₅pãĩ∼⁵⁵	t.e.ŋ.³¹₃₅.p.ã.ĩ.∼.⁵⁵	t e ŋ ³¹/³⁵ p ã ĩ ⁵⁵	chao1239	1741	23.551122	116.373013	1618	1618	FALSE	Lai2017FN		above	
72	1_above	above	Xingning	Xingning	Sinitic	hɔŋ⁵³	h.ɔ.ŋ.⁵³	h ɔ ŋ ⁵³	hakk1236	1741	24.13674	115.732382	1619	1619	FALSE	Lai2017FN	!ignore double no link!	above	
73	1_above	above	Ukhrul	Ukhrul	Naga	kə+kan	k.ə.+.k.a.n	k ə + k a n	ukhr1238	1741	25.092617	94.37045	3313	3313	FALSE	Mortensen2012		_above _above	
75	1_above	above	Hayu	Hayu	Kiranti	ani	a.n.i	a n i	wayu1241	1741	27.302102	86.099009	2156	2156	FALSE	Michailovsky1989a	!checked Macy keep!	above	
76	1_above	above	Tangut	Tangut	Tangut	tɕhjaa	tɕh.jaa	tɕʰ j aː	tang1334	1741	38.477453	106.285383	10178	10178	FALSE	Li1997		above	
77	1_above	above	KarbiMikir	KarbiMikir	Mizo	angsong, athak; (one -- another) pangchap, pacherop.	a.ng.s.o.ng	a ng s o./o ng	karb1241	1741	25.735084	93.050494	0	0	FALSE	Walker1925 KonnerthFC GruessnerNoDate		above	
114	2_all	all	Tangut	Tangut	Tangut	zji¹	z.j.i.¹	z j i ¹	tang1334	98	38.477453	106.285383	0	0	FALSE	Li1997		all	
152	2_all	all	Tangut	Tangut	Tangut	zji	z.ji	z j i	tang1334	98	38.477453	106.285383	0	0	FALSE	Li1997	!ignore double no link!	all	
153	2_all	all	Tangut	Tangut	Tangut	rjur	r.ju.r	r j u r	tang1334	98	38.477453	106.285383	0	0	FALSE	Li1997	!ignore double no link!	all	
154	2_all	all	KarbiMikir	KarbiMikir	Mizo	kedo kave, kedoan, angse, anta, arpum, and badu(-ta, -ba-dang), lajok(ta), majok, rongisi, -tame, -rep, -phrong,; humilipi [...]	th.ài	tʰ ài	karb1241	98	25.735084	93.050494	0	0	FALSE	Walker1925 KonnerthFC GruessnerNoDate		all	
78	2_all	all	TshDirangTshangla	DirangTshangla	Bodic	gaŋ+pu	gaŋ+pu	g a ŋ + p u	dira1243	98	27.343674	92.273057		5665	TRUE	TB		all _suf	g a ŋ - ( + p u - )
82	2_all	all	EBKhengkha	Khengkha	East Bodish	gangko	gaŋ+ko	g a ŋ + k o	khen1241	98	27.144878	90.689999		5665	FALSE	AandY1996		all _all	g a ŋ - ( + k o - )
92	2_all	all	KBWKhispi	Khispi	WesternKhoBwa	gaŋ.pu	gaŋ.pu	g a ŋ + p u	lish1235	98	27.378042	92.223221	5665	5665	TRUE	LandB2017		_all _all	g a ŋ - ( + p u - )
93	2_all	all	KBWDuhumbi	Duhumbi	WesternKhoBwa	gaŋ.pu	gaŋ.pu	g a ŋ + p u	chug1252	98	27.416112	92.212034	5665	5665	TRUE	LandB2017		all _suf	g a ŋ - ( + p u - )
109	2_all	all	EBBumthang	Bumthang	East Bodish	gampo	gam+po	g a m + p o	khen1241	98	27.549248	90.753738		5665	FALSE	vanDriem2015		all _all	g a m - ( + p o - )
122	2_all	all	Lhasa	Lhasa	Tibetan	kaŋ¹³ka⁵⁵	k.a.ŋ.¹³.◦.k.a.⁵⁵	k a ŋ ¹³ + k a ⁵⁵	utsa1239	98	29.653441	91.171493	5665	5665	FALSE	Huang1992		_all _all	k a ŋ ¹³ ( + k a ⁵⁵ )
79	2_all	all	TaniGalo	Galo	Tani	ŋamH ~ gamH	ŋam55	ŋ a m ⁵⁵	galo1242	98	27.98	94.69		4690	FALSE	Post2007	Ø	all	
80	2_all	all	TaniTangam	Tangam	Tani	aʔpɨŋ	aʔ+pɨŋ	a ʔ + p ɨ ŋ	tang1377	98	28.956354	94.990737		424	F	Post2017		_all _all	a ʔ ( + ) p ɨ ŋ
95	2_all	all	KBWJerigaon	Sartang	WesternKhoBwa	a.pʰɛn	a.pʰɛn	a + pʰ ɛ n	jeri1243	98	27.340629	92.486595	797	424	FALSE	LandB2017		_all _all	a - ( + ) pʰ ɛ n
81	2_all	all	EBDzalakha	Dzalakha	East Bodish	‘yongka	joŋ55+ka	j o ŋ ⁵⁵ + k a	dzal1238	98	27.605989	91.494864		4693	FALSE	DDC2017		all _all	
83	2_all	all	KBWanghoBugun	Bugun	KhoBwa	dʒap	dʒap	dʒ a p	wang1301	98	27.24169	92.420806		199	FALSE	Abraham2018		all	dʒ a p ( - - - )
84	2_all	all	KBBichomBugun	Bugun	KhoBwa	dʒap	dʒap	dʒ a p	bich1234	98	27.31177	92.592007		199	FALSE	Abraham2018		all	dʒ a p ( - - - )
85	2_all	all	KBSingchungBugun	Bugun	KhoBwa	dʒap	dʒap	dʒ a p	sing1271	98	27.191743	92.474176		199	FALSE	Abraham2018		all	dʒ a p ( - - - )
86	2_all	all	KBKaspiBugun	Bugun	KhoBwa	dʒap	dʒap	dʒ a p	kasp1234	98	27.204536	92.564228		199	FALSE	Abraham2018		all	dʒ a p ( - - - )
91	2_all	all	KBDikhyangBugun	Bugun	KhoBwa	zap.pʰa	zap.pʰa	z a p + pʰ a	dikh1234	98	27.320448	92.454924	795	199	FALSE	LandB2017		all _all	z a p ( + pʰ a )
87	2_all	all	KBNamphriBugun	Bugun	KhoBwa	tham; dʒap	tʰam	tʰ a m	namp1239	98	27.24403	92.52836		343	TRUE	Abraham2018		all	( - - ) tʰ a m ( - - - )
94	2_all	all	KBWKhoina	Sartang	WesternKhoBwa	a.tʰøn.dʑi	a.tʰøn.dʑi	a + tʰ ø n + dʑ i	khoi1253	98	27.334981	92.52994	793	343	FALSE	LandB2017		_all _all _all	( a + ) tʰ ø n ( + dʑ i )
96	2_all	all	KBWKhoitam	Sartang	WesternKhoBwa	a.tʰɔm	a.tʰɔm	a + tʰ ɔ m	khoi1252	98	27.327487	92.439455	793	343	FALSE	LandB2017		_all _all	( a + ) tʰ ɔ m ( - - - )
97	2_all	all	KBWRahung	Sartang	WesternKhoBwa	a.tʰøm	a.tʰøm	a + tʰ ø m	rahu1234	98	27.310778	92.395028	793	343	FALSE	LandB2017		_all _all	( a + ) tʰ ø m ( - - - )
98	2_all	all	KBWRupa	Sherdukpen	WesternKhoBwa	a.tʰɔm	a.tʰɔm	a + tʰ ɔ m	rupa1234	98	27.203065	92.398757	793	343	FALSE	LandB2017		_all _all	( a + ) tʰ ɔ m ( - - - )
99	2_all	all	KBWShergaon	Sherdukpen	WesternKhoBwa	a.tʰɔm	a.tʰɔm	a + tʰ ɔ m	sher1261	98	27.105018	92.272133	793	343	FALSE	LandB2017		_all _all	( a + ) tʰ ɔ m ( - - - )
88	2_all	all	EBMamaCuonaMenba	TshonaDakpa	East Bodish	tsAŋ˥mA˥˧~kA˧˥ne˥	tsAŋ55mA53	ts a ŋ ⁵⁵ + m a ⁵³	dakp1242	98	27.872413	91.798576		5663	TRUE	Lu1986		all _all	
118	2_all	all	Lhasa	Lhasa	Tibetan	tshaŋ⁵⁵ma⁵⁵	tsh.a.ŋ.⁵⁵.◦.m.a.⁵⁵	tsʰ a ŋ ⁵⁵ + m a ⁵⁵	utsa1239	98	29.653441	91.171493	5663	5663	FALSE	Huang1992		_all _all	
126	2_all	all	Alike	Alike	Tibetan	tshaŋ mæ	tsh.a.ŋ._.m.æ	tsʰ a ŋ + m æ	amdo1237	98	38.318508	92.839938	5663	5663	FALSE	Huang1992		_all _all	
137	2_all	all	Bunan	Bunan	TibetoKinauri	tsʰaŋi	tsʰ.a.ŋ.i	tsʰ a ŋ i	gahr1239	98	32.554766	77.076283	5663	5663	TRUE	Widmer2014		all	
89	2_all	all	EBWenlangCuonaMenba	TawangDakpa	East Bodish	ge˧˥kɑ˧˥	ge35kɑ35	g e ³⁵ + k ɑ ³⁵	dakp1242	98	29.367765	95.339063		4694	FALSE	Lu1986		_all _all	
90	2_all	all	KBBuluPuroik	Puroik	KhoBwa	a.hjoN	a.hjom	a + h j o m	bulu1255	98	27.451029	92.44627	796	338	FALSE	Lieberherr2017		_prf all	( - a + ) h j o m
102	2_all	all	HruNamreiBisai	Namrei	Hrusish	mihijoŋ	mi+hjoŋ	m i + h j o ŋ	hrus1242	98	27.680112	92.699998		338	FALSE	Abraham2018		_prf all	( m i + ) h j o ŋ
103	2_all	all	HruNamreiNabolang	Namrei	Hrusish	mihuŋ	mi+huŋ	m i + h u ŋ	hrus1242	98	27.558051	92.789317		338	FALSE	Abraham2018		_prf all	( m i + ) h - u ŋ
104	2_all	all	HruHrusoAkaJamiri	HrusoAka	Hrusish	vjo	vjo	v j o	hrus1242	98	27.203617	92.590615		338	FALSE	Abraham2018		all	( v - - ) - j o -
105	2_all	all	HruBangru	Bangru	Hrusish	mələŋ	mə+ləŋ	m ə + l ə ŋ	bang1369	98	27.952786	93.164169		338	FALSE	TB		_prf all	( m ə + ) l - ə ŋ
106	2_all	all	HruDammaiDibin	Miji	Hrusish	ahuŋ	a+huŋ	a + h u ŋ	hrus1242	98	27.444541	92.511881		338	FALSE	Abraham2018		_prf all	( - a + ) h - u ŋ
100	2_all	all	TshBhutanTshangla	BhutanTshangla	Bodic	tʰam+ʨe	tʰam+ʨe	tʰ a m + tɕ e	tsha1245	98	27.332081	91.551505	3682	3682	TRUE	LandB2017		_all _all	
110	2_all	all	OldTibetan	OldTibetan	Tibetan	tʰams.tɕad	tʰ.a.m.s.◦.tɕ.a.d	tʰ a m s + tɕ a d	clas1254	98	30.027852	91.158704	3682	3682	FALSE	Huang1992		_all _all	
113	2_all	all	Japhug	Japhug	rGyalrong	%tʰamtɕɤt	tʰ.a.m.tɕ.ɤ.t	tʰ a m tɕ ɤ t	japh1234	98	32.207076	101.957636	3682	3682	TRUE	Jacques2015b		all	
115	2_all	all	TshMotuoMenba	MotuoCangluoTshangla	Bodic	tham tɕeʔ	th.a.m._.tɕ.e.ʔ	tʰ a m + tɕ e ʔ	tsha1245	98	29.321347	95.319922	3682	3682	TRUE	Huang1992		_all _all	
119	2_all	all	Daofu	Daofu	rGyalrong	thəm tɕɛ	th.ə.m._.tɕ.ɛ	tʰ ə m + tɕ ɛ	horp1240	98	30.975281	101.123742	3682	3682	TRUE	Huang1992		_all _all	
101	2_all	all	Kusunda	Kusunda		swɐ.t̪eː	swɐ.t̪eː	s w ɐ + t̪ eː	kusu1250	98	28.431855	82.802796	794	446	FALSE	Bodt2019b		_all _all	
107	2_all	all	HruMijiNafra	Miji	Hrusish	məsuŋ	mə+suŋ	m ə + s u ŋ	hrus1242	98	27.371831	92.544458		4691	FALSE	Abraham2018		_prf all	
