sagart_id	concept	concepticon_id	concepticon_gloss	partcentage	doculects
Sagart-2019-250-194	soft	1856	SOFT	1.0	Jingpho MotuoMenba Xiahe MaerkangrGyalrong Lhasa Daofu Alike Zhaba Dulong Lisu Bokar DarangTaraon Batang Yidu Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Atsi Achang Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-204	straight	1404	STRAIGHT	0.96	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Dulong Daofu Batang DarangTaraon Lhasa Lisu Zhaba Bokar Xiahe Alike Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Lashi Maru Xiandao Rangoon Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-207	ten	1515	TEN	0.9	OldTibetan Japhug Xiahe Jingpho MotuoMenba MaerkangrGyalrong Lisu Lhasa Alike Daofu Batang Dulong Zhaba Yidu DarangTaraon Bokar Khaling OldChinese OldBurmese WobziKhroskyabs Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Lashi Maru Xiandao Rangoon Bahing Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir
Sagart-2019-250-208	that	78	THAT	0.7	OldTibetan Khaling Limbu Japhug Yidu Jingpho MotuoMenba MaerkangrGyalrong DarangTaraon Lhasa Dulong Batang Xiahe Lisu Alike Bokar OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Bola Achang Atsi Lashi Maru Xiandao Rangoon
Sagart-2019-250-3	the ant	587	ANT	1.0	Xiahe MotuoMenba Jingpho MaerkangrGyalrong Lisu Alike Lhasa Batang Zhaba DarangTaraon Bokar Yidu Dulong Daofu Japhug Khaling OldChinese OldBurmese Limbu WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Atsi Bola Lashi Maru Xiandao Achang Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-4	the armpit	1886	ARMPIT	0.8	MaerkangrGyalrong Lhasa Jingpho Yidu Daofu Dulong Zhaba Batang Xiahe DarangTaraon Lisu Bokar Alike Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Byangsi Rongpo Kulung Achang Rangoon Atsi Maru Lashi Xiandao Bola Beijing Guangzhou Longgang Jieyang Xingning Ukhrul
Sagart-2019-250-6	the bamboo	1927	BAMBOO	0.98	Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Batang Alike Zhaba DarangTaraon Xiahe Lisu Bokar Yidu Dulong Japhug Limbu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Byangsi Rongpo Kulung Bantawa Atsi Bola Lashi Maru Achang Xiandao Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-7	the barley (tibetan or highland)	932	BARLEY	0.38	Jingpho Lhasa Dulong Batang DarangTaraon Bokar Yidu MaerkangrGyalrong Japhug Limbu Khaling WobziKhroskyabs OldTibetan Thulung Bunan Kulung Bola Atsi Rangoon
Sagart-2019-250-9	the belly	1251	BELLY	0.98	OldTibetan Khaling Limbu Japhug Tangut Alike Jingpho Lhasa Daofu Dulong Batang Yidu Lisu Zhaba DarangTaraon Xiahe Bokar MotuoMenba MaerkangrGyalrong OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Kulung Bantawa Bola Maru Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha Achang Xiandao Lashi Atsi
Sagart-2019-250-12	the bird	937	BIRD	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Yidu Alike OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Lashi Maru Xiandao Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-15	the blood	946	BLOOD	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba Lhasa Daofu Dulong MaerkangrGyalrong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Yidu Alike OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Bola Maru Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha Achang Xiandao Lashi Atsi
Sagart-2019-250-17	the body hair (hair or fur)	189	HAIR (BODY)	0.92	Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Batang Zhaba DarangTaraon Bokar Lisu Yidu Dulong Xiahe Japhug Limbu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha OldTibetan Bunan Byangsi Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut
Sagart-2019-250-18	the bone	1394	BONE	0.98	OldTibetan Khaling Limbu Japhug Tangut Bokar MotuoMenba Alike MaerkangrGyalrong Lhasa Daofu Jingpho Dulong Batang Lisu Zhaba DarangTaraon Xiahe OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Bola Lashi Maru Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha Achang Xiandao Atsi
Sagart-2019-250-19	the branch	1531	BRANCH	0.9	OldTibetan Japhug Jingpho MotuoMenba Daofu DarangTaraon MaerkangrGyalrong Lhasa Dulong Batang Xiahe Lisu Bokar Yidu Zhaba Alike OldChinese OldBurmese Khaling WobziKhroskyabs Garo Thulung Hakha Bunan Byangsi Kulung Bantawa Achang Atsi Bola Lashi Maru Rangoon Xiandao Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir Rabha
Sagart-2019-250-20	the breast (female)	1402	BREAST	0.98	OldTibetan Khaling Limbu Japhug Tangut Jingpho MaerkangrGyalrong Lhasa Daofu Dulong MotuoMenba Lisu Zhaba DarangTaraon Batang Xiahe Bokar Alike Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Bola Rangoon Maru Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha Achang Xiandao Lashi Atsi
Sagart-2019-250-24	the child (young human)	1304	CHILD (YOUNG HUMAN)	0.7	Lisu MotuoMenba MaerkangrGyalrong Daofu Dulong Batang Jingpho Zhaba DarangTaraon Xiahe Bokar Yidu Lhasa Alike Khaling Limbu Japhug OldChinese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Maru Xiandao Rangoon
Sagart-2019-250-25	the cloud	1489	CLOUD	1.0	OldTibetan Khaling Limbu Japhug Tangut MotuoMenba Daofu MaerkangrGyalrong Dulong Batang DarangTaraon Zhaba Xiahe Lhasa Jingpho Lisu Bokar Alike Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Lashi Maru Xiandao Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-32	the daughter	1357	DAUGHTER	0.96	Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Yidu Lisu Bokar Xiahe Alike Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Xiandao Bola Achang Maru Atsi Rangoon Lashi Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut
Sagart-2019-250-33	the dew	1977	DEW	0.92	Jingpho MotuoMenba MaerkangrGyalrong Dulong Batang Lhasa Zhaba DarangTaraon Lisu Bokar Daofu Alike Yidu Xiahe Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Hakha Bunan Byangsi Rongpo Kulung Bantawa Maru Rangoon Achang Atsi Lashi Xiandao Bola Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Tangut Mikir Rabha
Sagart-2019-250-37	the dog	2009	DOG	1.0	OldTibetan Khaling Limbu Japhug Tangut MotuoMenba MaerkangrGyalrong Lhasa Daofu Bokar Dulong Batang Zhaba DarangTaraon Lisu Xiahe Alike Yidu Jingpho OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Atsi Bola Xiandao Rangoon Achang Lashi Maru Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-38	the dream	2374	DREAM	0.98	OldTibetan Japhug Xiahe Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Lisu Bokar Alike Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Bola Lashi Maru Xiandao Rangoon Atsi Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Tangut Mikir Rabha
Sagart-2019-250-41	the dust	2	DUST	0.92	OldTibetan Japhug Jingpho MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Xiahe MotuoMenba Bokar Lisu Alike Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Bunan Byangsi Rongpo Kulung Achang Atsi Bola Lashi Maru Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-42	the ear	1247	EAR	0.96	OldTibetan Khaling Limbu Japhug Tangut Alike Jingpho MotuoMenba Lhasa Daofu Dulong MaerkangrGyalrong Batang Lisu Zhaba DarangTaraon Xiahe Bokar Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Atsi Bola Lashi Rangoon Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Jieyang Ukhrul Hayu Mikir Rabha
Sagart-2019-250-44	the earth (soil)	1228	EARTH (SOIL)	0.94	OldTibetan Khaling Limbu Japhug Tangut Jingpho Daofu MaerkangrGyalrong Dulong Batang Xiahe Lhasa DarangTaraon Bokar Lisu Alike Yidu MotuoMenba OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Jieyang Ukhrul Hayu Mikir Rabha
Sagart-2019-250-45	the earthworm	2350	EARTHWORM	0.8	Dulong Jingpho MotuoMenba MaerkangrGyalrong Lhasa Yidu Batang Zhaba DarangTaraon Bokar Lisu Daofu Xiahe Japhug Limbu Khaling OldChinese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Kulung Bantawa Lashi Xiandao Bola Rangoon Achang Atsi Maru Bahing Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Tangut
Sagart-2019-250-47	the egg	744	EGG	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba Alike MaerkangrGyalrong Lhasa Daofu Batang Dulong Zhaba DarangTaraon Xiahe Lisu Bokar Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Bola Maru Rangoon Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha Achang Xiandao Lashi Atsi
Sagart-2019-250-49	the eye	1248	EYE	0.98	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Batang Yidu Zhaba DarangTaraon Xiahe Lisu Bokar Alike Dulong OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Bola Rangoon Maru Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha Xiandao Lashi Atsi
Sagart-2019-250-51	the father	1217	FATHER	0.96	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Bokar Lhasa Daofu Dulong Batang Xiahe Lisu Alike Yidu DarangTaraon Zhaba OldChinese OldBurmese Khaling Limbu WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Bola Lashi Xiandao Rangoon Atsi Maru Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut
Sagart-2019-250-52	the feather	1201	FEATHER	0.9	OldTibetan Khaling Limbu Japhug Jingpho MotuoMenba Lhasa Daofu Dulong Batang MaerkangrGyalrong Zhaba DarangTaraon Xiahe Alike Lisu Bokar Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Byangsi Kulung Bantawa Achang Atsi Bola Lashi Rangoon Maru Bahing Lushai Beijing Guangzhou Chaozhou Jieyang Xingning Hayu Mikir Rabha Xiandao
Sagart-2019-250-54	the fire	221	FIRE	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MaerkangrGyalrong Lhasa Daofu Dulong Batang DarangTaraon Lisu Bokar Zhaba Alike MotuoMenba Yidu Xiahe OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-56	the fish	227	FISH	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba Alike MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Lisu Xiahe Bokar Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Atsi Rangoon Achang Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-58	the flea	232	FLEA	0.88	MotuoMenba Lhasa Dulong Batang MaerkangrGyalrong Zhaba DarangTaraon Lisu Xiahe Bokar Alike Yidu Jingpho Daofu Japhug Limbu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang OldTibetan Thulung Hakha Bunan Byangsi Kulung Bantawa Lashi Xiandao Bola Achang Rangoon Atsi Maru Lushai Guangzhou Chaozhou Longgang Jieyang Xingning Hayu Tangut Mikir
Sagart-2019-250-61	the flower	239	FLOWER	1.0	OldTibetan Japhug Yidu Jingpho MotuoMenba MaerkangrGyalrong Daofu Dulong Batang Zhaba DarangTaraon Lhasa Xiahe Lisu Bokar Alike Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Lashi Xiandao Rangoon Achang Atsi Bola Maru Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-63	the fog	249	FOG	0.88	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Daofu Dulong Batang Lhasa Bokar Zhaba DarangTaraon Lisu Alike Yidu Xiahe OldChinese OldBurmese Khaling Limbu WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Rangoon Atsi Bola Achang Lashi Maru Xiandao Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Tangut
Sagart-2019-250-64	the foot	1301	FOOT	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba MaerkangrGyalrong Lhasa Yidu Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Alike OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Xiandao Maru Rangoon Achang Atsi Lashi Bola Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-65	the forest	420	FOREST	0.96	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Lhasa Zhaba Daofu Dulong Batang Lisu DarangTaraon Xiahe Bokar Alike Khaling Limbu OldChinese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Lashi Xiandao Atsi Rangoon Bola Maru Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha OldBurmese
Sagart-2019-250-68	the fox	1312	FOX	0.52	Jingpho Lhasa Daofu Dulong Batang Zhaba DarangTaraon MaerkangrGyalrong Xiahe Bokar Lisu Yidu Alike Japhug Khaling OldChinese OldBurmese WobziKhroskyabs OldTibetan Hakha Bunan Byangsi Rangoon Atsi Hayu Tangut
Sagart-2019-250-69	the frog	503	FROG	0.98	Alike Jingpho MaerkangrGyalrong Lhasa MotuoMenba Daofu Dulong Batang Zhaba DarangTaraon Xiahe Bokar Lisu Yidu Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Atsi Rangoon Achang Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-70	the front (front side)	2194	FRONT (PART)	0.92	MotuoMenba Jingpho MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba Xiahe DarangTaraon Lisu Bokar Yidu Alike Japhug OldBurmese Limbu WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Atsi Xiandao Bola Lashi Achang Maru Rangoon Bahing Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Hayu Tangut Mikir Rabha
Sagart-2019-250-71	the frost	2034	FROST	0.8	Jingpho MotuoMenba MaerkangrGyalrong Daofu Dulong Batang Lhasa Zhaba Xiahe Yidu Lisu Bokar Alike DarangTaraon Japhug OldChinese OldBurmese Khaling Limbu WobziKhroskyabs OldTibetan Thulung Hakha Bunan Byangsi Rongpo Kulung Achang Maru Atsi Bola Lashi Rangoon Xiandao Bahing Beijing Guangzhou Chaozhou Jieyang Tangut
Sagart-2019-250-72	the fruit	1507	FRUIT	1.0	OldTibetan Japhug MotuoMenba Jingpho Alike MaerkangrGyalrong Lhasa Yidu Dulong Batang Zhaba DarangTaraon Lisu Xiahe Bokar Daofu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Rangoon Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-75	the goat	1502	GOAT	0.94	Alike Jingpho MotuoMenba MaerkangrGyalrong Lhasa Lisu Daofu Dulong Batang Zhaba DarangTaraon Bokar Yidu Xiahe Japhug Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Garo OldTibetan Thulung Hakha Bunan Byangsi Kulung Bantawa Achang Bola Maru Rangoon Atsi Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-77	the grass	606	GRASS	0.98	OldTibetan Japhug Jingpho MotuoMenba Daofu MaerkangrGyalrong Lhasa Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Alike Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Lashi Maru Bola Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-79	the hail	609	HAIL	0.9	Jingpho MaerkangrGyalrong Daofu Dulong Batang Lhasa Zhaba DarangTaraon Xiahe Lisu Bokar Alike Yidu MotuoMenba Japhug Limbu Khaling OldChinese OldBurmese WobziKhroskyabs Chepang Garo OldTibetan Thulung Hakha Byangsi Rongpo Kulung Bantawa Maru Achang Rangoon Atsi Lashi Xiandao Bola Bahing Beijing Guangzhou Longgang Xingning Hayu Tangut Mikir Rabha
Sagart-2019-250-80	the hair (of the head)	1040	HAIR	1.0	OldTibetan Khaling Limbu Japhug Tangut Alike Jingpho MaerkangrGyalrong Daofu Dulong Batang Lisu Zhaba Bokar DarangTaraon Lhasa Yidu Xiahe MotuoMenba OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-81	the hand	1277	HAND	0.98	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba Lhasa Batang Daofu Dulong MaerkangrGyalrong DarangTaraon Alike Xiahe Bokar Yidu Zhaba Lisu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Bantawa Rangoon Bola Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha Achang Lashi Atsi
Sagart-2019-250-84	the head	1256	HEAD	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Xiahe Lisu Bokar Alike Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-86	the heart	1223	HEART	1.0	OldTibetan Khaling Limbu Japhug Tangut Bokar Daofu Jingpho MotuoMenba Zhaba MaerkangrGyalrong Lhasa Dulong Batang Lisu Xiahe DarangTaraon Alike Yidu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-92	the hoof	152	HOOF	0.8	MotuoMenba Alike MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Jingpho Xiahe Lisu Bokar Yidu Japhug Khaling OldChinese OldBurmese WobziKhroskyabs Chepang OldTibetan Hakha Bunan Bantawa Xiandao Bola Achang Rangoon Lashi Maru Atsi Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Tangut
Sagart-2019-250-94	the horn (keratinized skin)	1393	HORN (ANATOMY)	0.98	OldTibetan Khaling Limbu Japhug Tangut DarangTaraon MotuoMenba MaerkangrGyalrong Lhasa Bokar Daofu Alike Batang Zhaba Lisu Xiahe Yidu Jingpho Dulong OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Rangoon Bola Maru Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha Achang Xiandao Lashi Atsi
Sagart-2019-250-95	the horse	615	HORSE	0.62	Alike Jingpho MotuoMenba Bokar MaerkangrGyalrong Lhasa Daofu Dulong Batang Zhaba DarangTaraon Xiahe Yidu Japhug Limbu OldChinese OldBurmese WobziKhroskyabs Garo OldTibetan Hakha Bunan Byangsi Rongpo Bantawa Rangoon Achang Atsi Bola Lashi Maru
Sagart-2019-250-97	the house	1252	HOUSE	0.98	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Daofu Dulong Yidu Batang Zhaba DarangTaraon Xiahe Lhasa Bokar Lisu Alike Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Rongpo Kulung Bantawa Rangoon Achang Atsi Bola Lashi Maru Xiandao Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Tangut Mikir Rabha
Sagart-2019-250-100	the husband	1200	HUSBAND	0.72	OldTibetan Japhug Jingpho MotuoMenba MaerkangrGyalrong Lhasa Yidu Daofu Dulong Batang Zhaba DarangTaraon Bokar Xiahe Alike Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Bola Maru Xiandao Rangoon Achang Atsi Lashi
Sagart-2019-250-102	the ice	617	ICE	0.74	OldTibetan Japhug Jingpho MaerkangrGyalrong Lhasa Daofu Dulong DarangTaraon Bokar Lisu Batang MotuoMenba Alike Yidu Xiahe Zhaba OldChinese OldBurmese WobziKhroskyabs Chepang Garo Hakha Bunan Byangsi Kulung Achang Bola Lashi Atsi Rangoon Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Tangut
Sagart-2019-250-106	the knee	1371	KNEE	0.98	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba Lhasa Daofu Dulong MaerkangrGyalrong Batang Zhaba DarangTaraon Bokar Xiahe Lisu Alike OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Maru Rangoon Atsi Lashi Xiandao Achang Bola Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
Sagart-2019-250-109	the lake	624	LAKE	0.78	OldTibetan Japhug Lisu Jingpho Batang MaerkangrGyalrong Lhasa Daofu Dulong Zhaba DarangTaraon Xiahe MotuoMenba Bokar Alike Yidu Khaling Limbu OldChinese OldBurmese WobziKhroskyabs Thulung Hakha Byangsi Rongpo Bantawa Achang Rangoon Lashi Maru Atsi Bola Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning
Sagart-2019-250-112	the leaf	628	LEAF	1.0	OldTibetan Khaling Limbu Japhug Tangut Jingpho MotuoMenba MaerkangrGyalrong Lhasa Daofu Yidu Lisu Dulong Batang Zhaba DarangTaraon Bokar Alike Xiahe OldChinese OldBurmese WobziKhroskyabs Chepang Garo Thulung Hakha Bunan Byangsi Rongpo Kulung Bantawa Achang Xiandao Maru Bola Lashi Rangoon Atsi Bahing Lushai Beijing Guangzhou Chaozhou Longgang Jieyang Xingning Ukhrul Hayu Mikir Rabha
