RID	concept	doculect	value	form	source
483	sand	EMiji	ɕəgəroi	ɕəgəroi	
484	seed	EMiji	tailoi	tailoi	
485	sell	EMiji	laəna ~ kʰau	laəna ~ kʰau	
486	seven	EMiji	mija	mija	
487	sew	EMiji	gəikʰrə ~ kʰrəmna	gəikʰrə ~ kʰrəmna	
488	short	EMiji	məruŋ	məruŋ	
489	shoulder	EMiji	-	Ø	
490	sister (elder)	EMiji	ʔama	ʔama	
491	sit, stay	EMiji	gijoŋ ~ gijona	gijoŋ ~ gijona	
492	six	EMiji	ra(m)	ra(m)	
493	skin	EMiji	məpə ~ məpre	məpə ~ məpre	
494	sky	EMiji	gijaŋ	gijaŋ	
495	sleep	EMiji	dʒi(na)	dʒi(na)	
496	smell (v)	EMiji	-	Ø	
497	smoke (n.)	EMiji	maikʰən	maikʰən	
498	snake	EMiji	bəu	bəu	
499	snow	EMiji	-	Ø	
500	soft, smooth	EMiji	-	Ø	
501	soil	EMiji	naʔ	naʔ	
502	speak	EMiji	ta ~reena	ta ~reena	
503	spear	EMiji	dʒoŋ ~ dʒoʔ	dʒoŋ ~ dʒoʔ	
504	spicy	EMiji	məʃu	məʃu	
505	spittle	EMiji	-	Ø	
506	split	EMiji	-	Ø	
507	stab, punch	EMiji	-	Ø	
508	stand	EMiji	gijon ~ gəroŋ	gijon ~ gəroŋ	
509	star	EMiji	mətʃoŋbijaŋ ~ nitʃobijoŋ	mətʃoŋbijaŋ ~ nitʃobijoŋ	
510	steal	EMiji	ʃikʰau ~ tʃəkʰə	ʃikʰau ~ tʃəkʰə	
511	storehouse, granary	EMiji	-	Ø	
512	straight	EMiji	-	Ø	
513	suck	EMiji	-	Ø	
514	sun	EMiji	dʒoʔ	dʒoʔ	
515	swallow	EMiji	-	Ø	
516	sweet	EMiji	mədʒan ~ məzaŋ	mədʒan ~ məzaŋ	
517	swell	EMiji	-	Ø	
518	(swidden) field	EMiji	-	Ø	
519	swim	EMiji	brəona ~ vəsaŋna	brəona ~ vəsaŋna	
520	tail	EMiji	mənəmə(re/rai)	mənəmə(re/rai)	
521	take	EMiji	ləna ~ miniroi	ləna ~ miniroi	
522	tell	EMiji	tʃo ~ tʃoana	tʃo ~ tʃoana	
523	ten	EMiji	lən	lən	
524	that	EMiji	paitʃia ~ paitʃəlo	paitʃia ~ paitʃəlo	
525	that (lower)	EMiji	-	Ø	
526	thigh	EMiji	-	Ø	
527	think	EMiji	-	Ø	
528	this	EMiji	huŋlo ~ hə̃ŋai	huŋlo ~ hə̃ŋai	
529	thread	EMiji	kəbo	kəbo	
530	three	EMiji	kʰətəm	kʰətəm	
531	thorn	EMiji	(kʰə/gə)zau 	(kʰə/gə)zau 	
532	thousand	EMiji	hazari	hazari	
533	tongue	EMiji	jakʰe ~ jakʰijoi	jakʰe ~ jakʰijoi	
534	tooth	EMiji	tə	tə	
535	tree	EMiji	(ge/go)noi	(ge/go)noi	
536	turquoise	EMiji	-	Ø	
537	two	EMiji	kəran ~ kʰerə	kəran ~ kʰerə	
538	uncooked rice	EMiji	ŋamnəgam	ŋamnəgam	
539	vegetable	EMiji	-	Ø	
540	vomit	EMiji	-	Ø	
541	walk	EMiji	daiʔna	daiʔna	
542	hot, warm	EMiji	mədʒu ~ məzi ~ mələ	mədʒu ~ məzi ~ mələ	
543	water	EMiji	və	və	
544	waterfall	EMiji	-	Ø	
545	weave	EMiji	tʃomna ~ gəitʃom	tʃomna ~ gəitʃom	
546	what	EMiji	tən	tən	
547	where	EMiji	kʰək ~ kʰroi	kʰək ~ kʰroi	
548	white	EMiji	mugram ~ məgijaŋ	mugram ~ məgijaŋ	
549	who	EMiji	təə	təə	
550	wind	EMiji	jo	jo	
551	window	EMiji	kʰirki	kʰirki	
552	wing	EMiji	-	Ø	
553	with	EMiji	-	Ø	
554	wood	EMiji	go ~ ge	go ~ ge	
555	woman	EMiji	nəmrai 	nəmrai 	
556	year	EMiji	dəraŋ	dəraŋ	
557	yesterday	EMiji	təganogo	təganogo	
558	younger sibling	EMiji	raŋ ~ rəː	raŋ ~ rəː	
559	1SG	EMiji	ɲijaŋ	ɲijaŋ	
560	2SG	EMiji	ni	ni	
561	3SG	EMiji	ai	ai	
562	1DU	EMiji	-	Ø	
563	1PL	EMiji	ani ~ animihõŋ	ani ~ animihõŋ	
564	2PL	EMiji	dʒimihõŋ ~ dʒei	dʒimihõŋ ~ dʒei	
565	3PL	EMiji	aira	aira	
566	aconite	WMiji	nəpʰaŋ (SM)	nəpʰaŋ (SM)	
567	ant	WMiji	ʃiŋiŋ ~ siɲi	ʃiŋiŋ ~ siɲi	
568	awake	WMiji	pʰrəu (SM)	pʰrəu (SM)	
569	axe	WMiji	bulu ~blu	bulu ~blu	
570	bad	WMiji	məni ~ məɲi ~ aɲirə	məni ~ məɲi ~ aɲirə	
571	bamboo (big)	WMiji	brau ~ bro ~ dʒiu	brau ~ bro ~ dʒiu	
572	bark (tree)	WMiji	oupʰri̬ (SM)	oupʰri̬ (SM)	
573	bear	WMiji	"ʃitʃaŋ ~ ʃi-staŋ; ʃut͡sang"	"ʃitʃaŋ ~ ʃiØstaŋ; ʃutsang"	
574	bee	WMiji	miʔ ~ mei	miʔ ~ mei	
575	big (thick, wide)	WMiji	mədo ~ ado ~ məhiŋ	mədo ~ ado ~ məhiŋ	
576	bird	WMiji	"bədʒə ~ budʒuʔ ~ bəzii; buzu̬ (SM)"	"bədʒə ~ budʒuʔ ~ bəzii; buzu̬ (SM)"	
577	bite	WMiji	tʰai ~ tʰaʔ	tʰai ~ tʰaʔ	
578	bitter	WMiji	akʰu ~ məkʰu	akʰu ~ məkʰu	
579	blanket	WMiji	kombolo(u)	kombolo(u)	
580	blood	WMiji	ʒi ~ dʒai	ʒi ~ dʒai	
581	blow	WMiji	-	Ø	
582	body	WMiji	zaʔ	zaʔ	
583	body hair, feather	WMiji	umu	umu	
584	boil (water)	WMiji	"dʒən ~ dʒrən; ʒiu (SM) "	"dʒən ~ dʒrən; ʒiu (SM) "	
585	bone	WMiji	miliaŋ 	miliaŋ 	
586	bow	WMiji	kʰiri ~ g(ə)ri	kʰiri ~ g(ə)ri	
587	breath	WMiji	ditʰu (SM)	ditʰu (SM)	
588	"breast; milk"	WMiji	"ʃufunu ~ ʃunovə; ɲu̬ (SM)"	"ʃufunu ~ ʃunovə; ɲu̬ (SM)"	
589	broom	WMiji	naʃi ~ nesi	naʃi ~ nesi	
590	burn	WMiji	"fra(n/ŋ) ~ peneʔ; pʰrjaŋ ~ pʰen (SM)"	"fra(n/ŋ) ~ peneʔ; pʰrjaŋ ~ pʰen (SM)"	
591	"cane; rope"	WMiji	ʃu (SM)	ʃu (SM)	
592	chicken	WMiji	dok ~ doʔ ~ dup	dok ~ doʔ ~ dup	
593	child	WMiji	amai (SM)	amai (SM)	
594	chin	WMiji	gutʃa(ʔ)	gutʃa(ʔ)	
595	cloth	WMiji	gije ~ gəri ~ grə	gije ~ gəri ~ grə	
596	cloud	WMiji	"miemy ~ mimu; meimiu (SM)"	"miemy ~ mimu; meimiu (SM)"	
597	coal	WMiji	-	Ø	
598	cook	WMiji	kʰə ~ kʰu	kʰə ~ kʰu	
599	cooking oil	WMiji	"pʰeŋdʒanrə; pʰenʒaŋvu (SM)"	"pʰeŋdʒanrə; pʰenʒaŋvu (SM)"	
600	copula	WMiji	-	Ø	
601	cow	WMiji	ʃufu ~ dʒufu ~ dərfu	ʃufu ~ dʒufu ~ dərfu	
602	cry	WMiji	kʰə̆	kʰə	
603	cut	WMiji	tʰai(ne)	tʰai(ne)	
604	day	WMiji	dʒaŋtaŋ ~ hũe	dʒaŋtaŋ ~ hũe	
605	dead body	WMiji	-	Ø	
606	deep	WMiji	arək ~ məruʔ ~ merik	arək ~ məruʔ ~ merik	
607	die	WMiji	tʃi	tʃi	
608	dig	WMiji	tʰa̬u̬ (SM)	tʰa̬u̬ (SM)	
609	dirty	WMiji	ni͡tʃi (SM)	ni͡tʃi (SM)	
610	do	WMiji	ru ~ rutʃine ~ tʰerore	ru ~ rutʃine ~ tʰerore	
611	door	WMiji	"vimpʰi ~ vapʰi; banpʰik"	"vimpʰi ~ vapʰi; banpʰik"	
612	dream	WMiji	tʰeme(ma) ~ tʰaimeʔ	tʰeme(ma) ~ tʰaimeʔ	
613	drink	WMiji	"tʰoŋ ~ tʰoŋme; tʰuŋ (SM)"	"tʰoŋ ~ tʰoŋme; tʰuŋ (SM)"	
614	dry	WMiji	"akʰijaŋ ~ məkʰəjam ~ mekʰijan; məkʰjaŋ (SM)"	"akʰijaŋ ~ məkʰəjam ~ mekʰijan; məkʰjaŋ (SM)"	
615	eat	WMiji	"tʃu; t͡su̬ (SM)"	"tʃu; tsu̬ (SM)"	
616	egg	WMiji	dori(ŋ)	dori(ŋ)	
617	eight	WMiji	t͡ʃigə ~ səgə	tʃigə ~ səgə	
618	elder brother	WMiji	akʰəvo ~ akəvo ~ kʰəvoʔ	akʰəvo ~ akəvo ~ kʰəvoʔ	
619	elephant	WMiji	atʃi	atʃi	
620	empty	WMiji	(a/mi)kʰijaŋ	(a/mi)kʰijaŋ	
621	excrete, defecate	WMiji	-	Ø	
622	excrement	WMiji	-	Ø	
623	eye	WMiji	məri ~ meʔ ~ mer	məri ~ meʔ ~ mer	
624	far	WMiji	maraŋ ~ arən ~ mərən	maraŋ ~ arən ~ mərən	
625	fat (n)	WMiji	membau	membau	
626	fear	WMiji	rin (SM)	rin (SM)	
627	few	WMiji	meʔ ~ mija	meʔ ~ mija	
628	fight	WMiji	nau-ri (SM)	nauØri (SM)	
629	finger	WMiji	"gitʃoʔ ~ gitʰə; git͡so̬ (SM)"	"gitʃoʔ ~ gitʰə; gitso̬ (SM)"	
630	fire	WMiji	mai	mai	
631	fireplace	WMiji	dətʰle̬ (SM)	dətʰle̬ (SM)	
632	fish	WMiji	"tʰ(r)i; tʰui ~ t͡ʃui (SM)"	"tʰ(r)i; tʰui ~ tʃui (SM)"	
633	five	WMiji	boŋu ~ buŋu ~ pugu	boŋu ~ buŋu ~ pugu	
634	flow	WMiji	-	Ø	
635	flower	WMiji	uboʔ	uboʔ	
636	friend	WMiji	mədʒo ~ madʒro ~ adʒo	mədʒo ~ madʒro ~ adʒo	
637	frog	WMiji	dʒou	dʒou	
638	fruit	WMiji	utʰen	utʰen	
639	four	WMiji	bəlei ~ bli	bəlei ~ bli	
640	full	WMiji	"lən ~ len ~ pʰiɬaŋ; olin (SM)"	"lən ~ len ~ pʰiɬaŋ; olin (SM)"	
641	garlic, onion	WMiji	"kʰikmo ~ pəkʰemu; kʰjo̬mu (SM)"	"kʰikmo ~ pəkʰemu; kʰjo̬mu (SM)"	
642	give	WMiji	pʰebi ~ biʔna ~ bi	pʰebi ~ biʔna ~ bi	
643	goat	WMiji	"tʃeprem ~ ʃəpʰə̆rən; ʃupʰrin (SM)"	"tʃeprem ~ ʃəpʰərən; ʃupʰrin (SM)"	
644	grandfather	WMiji	alu (SM)	alu (SM)	
645	grandmother	WMiji	aʒui (SM)	aʒui (SM)	
646	grass	WMiji	t͡sen (SM)	tsen (SM)	
647	grind, crush	WMiji	ri̬ (SM)	ri̬ (SM)	
648	guts	WMiji	luŋ (SM)	luŋ (SM)	
649	hair	WMiji	upʰiu ~ wopʰijo	upʰiu ~ wopʰijo	
650	hard	WMiji	məgaŋ (SM)	məgaŋ (SM)	
651	hammer	WMiji	"tʃəmpo; t͡simpʰo̬ (SM)"	"tʃəmpo; tsimpʰo̬ (SM)"	
652	hand, arm	WMiji	gi	gi	
653	"have; exist"	WMiji	du (SM)	du (SM)	
654	head	WMiji	dəkʰijaŋ ~ uː ~ tokijaŋ	dəkʰijaŋ ~ uː ~ tokijaŋ	
655	heart	WMiji	luŋvəuk ~ kebaŋlaŋ ~ məɲijo	luŋvəuk ~ kebaŋlaŋ ~ məɲijo	
656	heavy	WMiji	məji ~ məiʔ ~ ai	məji ~ məiʔ ~ ai	
657	horn	WMiji	(mə/a)(ʃu/ʃi) ʃoŋ /dʒuŋ	(mə/a)(ʃu/ʃi) ʃoŋ /dʒuŋ	
658	horse	WMiji	ʃugro (SM)	ʃugro (SM)	
659	house	WMiji	"ɲan ~ ɲe ~ ɲeon; nen (SM)"	"ɲan ~ ɲe ~ ɲeon; nen (SM)"	
660	how many	WMiji	(kə/gə)ɲo	(kə/gə)ɲo	
661	human	WMiji	"ɲiuʔ; ɲi̬ (SM)"	"ɲiuʔ; ɲi̬ (SM)"	
662	hundred	WMiji	bluŋ ~ beluŋ	bluŋ ~ beluŋ	
663	ill	WMiji	no (SM)	no (SM)	
664	insect	WMiji	biluŋ	biluŋ	
665	iron	WMiji	sen (SM)	sen (SM)	
666	itch	WMiji	gud͡zu (SM)	gudzu (SM)	
667	kick	WMiji	laitegeŋ ~ dəgrən ~ tekraŋ	laitegeŋ ~ dəgrən ~ tekraŋ	
668	kill	WMiji	wai ~ waitʃo (strike, beat?)	wai ~ waitʃo (strike, beat?)	
669	knife	WMiji	"vetʃin ~ vaitʃoŋʒi; vait͡sən (SM)"	"vetʃin ~ vaitʃoŋʒi; vaitsən (SM)"	
670	know	WMiji	"nĭ ~ ŋintʃina ~ nintʃe; ɲi (SM)"	"ni ~ ŋintʃina ~ nintʃe; ɲi (SM)"	
671	laugh	WMiji	tʰo ~ tʰou	tʰo ~ tʰou	
672	leaf	WMiji	məle ~ uleʔ	məle ~ uleʔ	
673	leech	WMiji	dəve̬ (SM)	dəve̬ (SM)	
674	leg	WMiji	lai	lai	
675	lick	WMiji	-	Ø	
676	lift	WMiji	jan ~ ʃaŋ	jan ~ ʃaŋ	
677	light	WMiji	malətʰaŋ ~ alitʰaŋ ~ mədətʰaŋ	malətʰaŋ ~ alitʰaŋ ~ mədətʰaŋ	
678	liquor	WMiji	tʃaŋ	tʃaŋ	
679	listen, hear	WMiji	rei	rei	
680	live, grow up	WMiji	ʃən (SM)	ʃən (SM)	
681	liver/lungs	WMiji	mətʰən (SM)	mətʰən (SM)	
682	long	WMiji	məpijaŋ	məpijaŋ	
683	look, see	WMiji	waŋ	waŋ	
684	louse	WMiji	fi̬ (SM)	fi̬ (SM)	
685	"make; do"	WMiji	-	Ø	
686	man (male)	WMiji	"ɲiju ~ nuʔ ~ nuvə; nuvu (SM)"	"ɲiju ~ nuʔ ~ nuvə; nuvu (SM)"	
687	meat	WMiji	ʃitʃuŋ	ʃitʃuŋ	
688	medicine	WMiji	dawa	dawa	
689	melt	WMiji	-	Ø	
690	month	WMiji	lə ~ lu	lə ~ lu	
691	moon	WMiji	lɛ ~ lu	lɛ ~ lu	
692	mountain	WMiji	pʰuŋ ~ poŋ	pʰuŋ ~ poŋ	
693	"mouth; language"	WMiji	niwi ~ nui	niwi ~ nui	
694	mortar	WMiji	dəlo (SM)	dəlo (SM)	
695	mother	WMiji	anai ~ aɲi	anai ~ aɲi	
696	name	WMiji	mə̃rn	mə̃rn	
697	near	WMiji	məni ~ aɲiŋ	məni ~ aɲiŋ	
698	neg. imp.	WMiji	tʰa- (SM)	tʰaØ (SM)	
699	new	WMiji	məgəniu ~ agənu	məgəniu ~ agənu	
700	night	WMiji	(dʒaŋ/tʃaŋ)gau	(dʒaŋ/tʃaŋ)gau	
701	nine	WMiji	sətən	sətən	
702	nose	WMiji	nibuŋ ~ nibiuŋ ~ nebijoŋ	nibuŋ ~ nibiuŋ ~ nebijoŋ	
703	old	WMiji	(a/mə)ʃoʔ	(a/mə)ʃoʔ	
704	one	WMiji	akʰeʔ ~ akʰijo ~ akʰo ~ atro	akʰeʔ ~ akʰijo ~ akʰo ~ atro	
705	otter	WMiji	-	Ø	
706	paddy rice	WMiji	enʃo ~ aɲsoʔ ~ an	enʃo ~ aɲsoʔ ~ an	
707	penis	WMiji	-	Ø	
708	pestle	WMiji	bəlau (SM)	bəlau (SM)	
709	pig	WMiji	"dʒio ~ dʒuo ~ dʒoʔ; ʒo (SM)"	"dʒio ~ dʒuo ~ dʒoʔ; ʒo (SM)"	
710	pillow	WMiji	ukʰum ~ (nu/wo)kʰən	ukʰum ~ (nu/wo)kʰən	
711	pull	WMiji	roʔ ~ horo	roʔ ~ horo	
712	put	WMiji	rou (SM)	rou (SM)	
713	rain	WMiji	"fro; pʰrjo (SM)"	"fro; pʰrjo (SM)"	
714	red	WMiji	mətʃə ~ mətʃu ~ atʃu	mətʃə ~ mətʃu ~ atʃu	
715	revenge	WMiji	-	Ø	
716	ring	WMiji	gile ~ gilan	gile ~ gilan	
717	river	WMiji	vəjaŋ ~ vədo	vəjaŋ ~ vədo	
718	road	WMiji	labaŋ ~ lembaŋ	labaŋ ~ lembaŋ	
719	root	WMiji	kʰrən ~ okʰriŋ ~ ukʰən	kʰrən ~ okʰriŋ ~ ukʰən	
720	round	WMiji	mədəriu	mədəriu	
721	rub	WMiji	-	Ø	
722	run	WMiji	ʒum (SM)	ʒum (SM)	
723	sago palm	WMiji	-	Ø	
724	salt	WMiji	lu	lu	
725	sand	WMiji	"bai; balji (SM)"	"bai; balji (SM)"	
726	seed	WMiji	tʰe-li ~ ăli ~ tʰe-dʒo ~ ma-lai	tʰeØli ~ ali ~ tʰeØdʒo ~ maØlai	
727	sell	WMiji	lao ~ pʰekʰo ~ tʃoŋret	lao ~ pʰekʰo ~ tʃoŋret	
728	seven	WMiji	mija(k)	mija(k)	
729	sew	WMiji	(grə-)kʰri ~ kʰrə	(grəØ)kʰri ~ kʰrə	
730	short	WMiji	məruŋ ~ aruŋ	məruŋ ~ aruŋ	
731	shoulder	WMiji	pastuŋ (SM)	pastuŋ (SM)	
732	sister (elder)	WMiji	"amo ~ amu; momo (SM)"	"amo ~ amu; momo (SM)"	
733	sit, stay	WMiji	deŋradʒuŋ ~ dʒuʔ ~ gijoŋ	deŋradʒuŋ ~ dʒuʔ ~ gijoŋ	
734	six	WMiji	re(ʔ)	re(ʔ)	
735	skin	WMiji	məpre	məpre	
736	sky	WMiji	(na)d͡ʒang	(na)dʒang	
737	sleep	WMiji	dʒi	dʒi	
738	smell (v)	WMiji	ɲen (SM)	ɲen (SM)	
739	smoke (n.)	WMiji	maikʰən	maikʰən	
740	snake	WMiji	bʰu ~ nabu ~ ɲabəu	bʰu ~ nabu ~ ɲabəu	
741	snow	WMiji	dəlen (SM)	dəlen (SM)	
742	soft, smooth	WMiji	məbəlja̬ (SM)	məbəlja̬ (SM)	
743	soil	WMiji	naʔ	naʔ	
744	speak	WMiji	"ʃoʔ ~ tʃoʔ ~tʰroʔ; tʰe(n) (SM)"	"ʃoʔ ~ tʃoʔ ~tʰroʔ; tʰe(n) (SM)"	
745	spear	WMiji	"dʒuŋ; d͡zuŋ (SM)"	"dʒuŋ; dzuŋ (SM)"	
746	spicy	WMiji	məʃu ~ aʃiu ~ məʃiu	məʃu ~ aʃiu ~ məʃiu	
747	spittle	WMiji	ʒe̬ (SM)	ʒe̬ (SM)	
748	split	WMiji	-	Ø	
749	stab, punch	WMiji	rəŋ ~ rən (SM)	rəŋ ~ rən (SM)	
750	stand	WMiji	gijon ~ magarangiu	gijon ~ magarangiu	
751	star	WMiji	dətʃuŋ	dətʃuŋ	
752	steal	WMiji	(t͡ʃi)kʰə	(tʃi)kʰə	
753	storehouse, granary	WMiji	t͡ʃuŋ (SM)	tʃuŋ (SM)	
754	straight	WMiji	mugəraŋ (SM)	mugəraŋ (SM)	
755	suck	WMiji	bənu (SM)	bənu (SM)	
756	sun	WMiji	"dʒoʔ; zuʔ (SM)"	"dʒoʔ; zuʔ (SM)"	
757	swallow	WMiji	bəɭui (SM)	bəɭui (SM)	
758	sweet	WMiji	adʒaŋ ~ mədʒa(n/ŋ) ~ mədʒijaŋ	adʒaŋ ~ mədʒa(n/ŋ) ~ mədʒijaŋ	
759	swell	WMiji	olin (SM)	olin (SM)	
760	(swidden) field	WMiji	vaw (SM)	vaw (SM)	
761	swim	WMiji	ju ~ tʃiaŋ ~ ʃaŋ	ju ~ tʃiaŋ ~ ʃaŋ	
762	tail	WMiji	"adəmai ~ adɛmek ~ mədərə; dimra̬i̬ (SM)"	"adəmai ~ adɛmek ~ mədərə; dimra̬i̬ (SM)"	
763	take	WMiji	"lə ~ ɬəʔne ~ hoɬə; lu̬ (SM)"	"lə ~ ɬəʔne ~ hoɬə; lu̬ (SM)"	
764	tell	WMiji	tʰroʔmo ~ tʃua ~ tʰe	tʰroʔmo ~ tʃua ~ tʰe	
765	ten	WMiji	ɬən ~ lən	ɬən ~ lən	
766	that	WMiji	paitʃəlo ~ pʰetʃilo ~ pʰetʃoi	paitʃəlo ~ pʰetʃilo ~ pʰetʃoi	
767	that (lower)	WMiji	pʰut͡su (SM)	pʰutsu (SM)	
768	thigh	WMiji	lu̬ (SM)	lu̬ (SM)	
769	think	WMiji	mjen, ʃu (SM)	mjen, ʃu (SM)	
770	this	WMiji	huŋlo ~ huŋji	huŋlo ~ huŋji	
771	thread	WMiji	kŭpo ~ dʒaŋ ~ kəbo	kupo ~ dʒaŋ ~ kəbo	
772	three	WMiji	gətən ~ kətʰən ~ kʰətəm	gətən ~ kətʰən ~ kʰətəm	
773	thorn	WMiji	(gə)d͡ʒik/d͡ʒu	(gə)dʒik/dʒu	
774	thousand	WMiji	hazari	hazari	
775	tongue	WMiji	"dʒakihi ~  jaʔkʰi ~ lakʃi; ʒe̬gʰi (SM)"	"dʒakihi ~  jaʔkʰi ~ lakʃi; ʒe̬gʰi (SM)"	
776	tooth	WMiji	tʰu ~ tu	tʰu ~ tu	
777	tree	WMiji	"uɲi ~ uniʔ ~ oʔni; ou (SM)"	"uɲi ~ uniʔ ~ oʔni; ou (SM)"	
778	turquoise	WMiji	-	Ø	
779	two	WMiji	geni ~ gərin	geni ~ gərin	
780	uncooked rice	WMiji	andəgən ~ an	andəgən ~ an	
781	vegetable	WMiji	pʰen̬ (SM)	pʰen̬ (SM)	
782	vomit	WMiji	mu (SM)	mu (SM)	
783	walk	WMiji	dai ~ naidaidu ~ daidewo ~ daiʔna	dai ~ naidaidu ~ daidewo ~ daiʔna	
784	hot, warm	WMiji	"adʒiu ~ mədʒ(i)u; məʒiu (SM)"	"adʒiu ~ mədʒ(i)u; məʒiu (SM)"	
785	water	WMiji	və	və	
786	waterfall	WMiji	-	Ø	
787	weave	WMiji	ɕən ~ tʰrən ~ (grə/zan)triŋ	ɕən ~ tʰrən ~ (grə/zan)triŋ	
788	what	WMiji	"tan ~ tin ~ tʰen;  tʰin (SM)"	"tan ~ tin ~ tʰen;  tʰin (SM)"	
789	where	WMiji	kʰəjo ~ kʰija	kʰəjo ~ kʰija	
790	white	WMiji	mugram ~ magəran ~ magəran	mugram ~ magəran ~ magəran	
791	who	WMiji	tʃʰu ~ tʃiu	tʃʰu ~ tʃiu	
792	wind	WMiji	jo	jo	
793	window	WMiji	kʰirki	kʰirki	
794	wing	WMiji	gət͡ʃi (SM)	gətʃi (SM)	
795	with	WMiji	d͡ʒoru (SM)	dʒoru (SM)	
796	wood	WMiji	u ~ oʔ 	u ~ oʔ 	
797	woman	WMiji	nəmeg ~ nəmrai ~ numazə	nəmeg ~ nəmrai ~ numazə	
798	year	WMiji	dure(n)	dure(n)	
799	yesterday	WMiji	degau	degau	
800	younger sibling	WMiji	(mə/ɲa)nu	(mə/ɲa)nu	
801	1SG	WMiji	"nijaŋ ~ ɲijaŋ; ɲaŋ (SM)"	"nijaŋ ~ ɲijaŋ; ɲaŋ (SM)"	
802	2SG	WMiji	ni	ni	
803	3SG	WMiji	i  ~ pʰet͡ʃu	i  ~ pʰetʃu	
804	1DU	WMiji	-	Ø	
805	1PL	WMiji	ani ~ aɲijaahuŋ	ani ~ aɲijaahuŋ	
806	2PL	WMiji	dʒi ~ ina ~ dʒiməʃuŋ	dʒi ~ ina ~ dʒiməʃuŋ	
807	3PL	WMiji	inamehijaŋ ~ pʰaina ~ airaahuŋ	inamehijaŋ ~ pʰaina ~ airaahuŋ	
808	aconite	Hruso	-	Ø	
809	ant	Hruso	siɲi	siɲi	
810	awake	Hruso	pʰi (SA)	pʰi (SA)	
811	axe	Hruso	pʰod͡ʒe (/SA)	pʰodʒe (/SA)	
812	bad	Hruso	mau	mau	
813	bamboo (big)	Hruso	sə	sə	
814	bark (tree)	Hruso	ʃokʰu (SA)	ʃokʰu (SA)	
815	bear	Hruso	"ʃətʃo; sət͡so (SA)"	"ʃətʃo; sətso (SA)"	
816	bee	Hruso	mădʒəd̪u	madʒədu	
817	big (thick, wide)	Hruso	"djo; dɛu (SA)"	"djo; dɛu (SA)"	
818	bird	Hruso	musə	musə	
819	bite	Hruso	tʰodʒo	tʰodʒo	
820	bitter	Hruso	kamʃo	kamʃo	
821	blanket	Hruso	kombolo	kombolo	
822	blood	Hruso	"ʃə; iʃə (SA)"	"ʃə; iʃə (SA)"	
823	blow	Hruso	-	Ø	
824	body	Hruso	"ʔoso; əso (SA)"	"ʔoso; əso (SA)"	
825	body hair, feather	Hruso	(u/i)mu (SA)	(u/i)mu (SA)	
826	boil (water)	Hruso	"xuʃəʃe; lusu (SA)"	"xuʃəʃe; lusu (SA)"	
827	bone	Hruso	"ʔə̆xə̆be; erəbje (SA)"	"ʔəxəbe; erəbje (SA)"	
828	bow	Hruso	kʰiri	kʰiri	
829	breath	Hruso	-	Ø	
830	"breast; milk"	Hruso	apʰu	apʰu	
831	broom	Hruso	ɲeso	ɲeso	
832	burn	Hruso	"pejo; pʰwa (SA)"	"pejo; pʰwa (SA)"	
833	"cane; rope"	Hruso	ʃu (SA)	ʃu (SA)	
834	chicken	Hruso	dʒuo	dʒuo	
835	child	Hruso	sa (SA)	sa (SA)	
836	chin	Hruso	"ʔĕgado; gad͡ʒo (SA)"	"ʔegado; gadʒo (SA)"	
837	cloth	Hruso	gije	gije	
838	cloud	Hruso	"məmə; mum(u) (SA)"	"məmə; mum(u) (SA)"	
839	coal	Hruso	-	Ø	
840	cook	Hruso	"kʰu; kʰo (SA)"	"kʰu; kʰo (SA)"	
841	cooking oil	Hruso	luboxu	luboxu	
842	copula	Hruso	-	Ø	
843	cow	Hruso	"pʰolxu; fulxu (SA)"	"pʰolxu; fulxu (SA)"	
844	cry	Hruso	kʃo	kʃo	
845	cut	Hruso	"dʒojo; d͡ʒɛ (SA)"	"dʒojo; dʒɛ (SA)"	
846	day	Hruso	jo	jo	
847	dead body	Hruso	d͡zu (SA)	dzu (SA)	
848	deep	Hruso	ɾju	ɾju	
849	die	Hruso	"dʒudʒo; d͡za/i (SA)"	"dʒudʒo; dza/i (SA)"	
850	dig	Hruso	t͡ʃi (SA)	tʃi (SA)	
851	dirty	Hruso	ɲit͡s kriɲiu (SA)	ɲits kriɲiu (SA)	
852	do	Hruso	dadʒo	dadʒo	
853	door	Hruso	ɲĕgdəʃe ~ ɲekd͡ʒusi (SA)	ɲegdəʃe ~ ɲekdʒusi (SA)	
854	dream	Hruso	tʃʰimijo	tʃʰimijo	
855	drink	Hruso	tʰudʒo	tʰudʒo	
856	dry	Hruso	"kɹo; kʰrou (SA)"	"kɹo; kʰrou (SA)"	
857	eat	Hruso	"tʃadʒo; t͡sa (SA)"	"tʃadʒo; tsa (SA)"	
858	egg	Hruso	dʒedʒe	dʒedʒe	
859	eight	Hruso	"ʃəgdʒə; səg͡zə (SA)"	"ʃəgdʒə; səgzə (SA)"	
860	elder brother	Hruso	"ʔaja; ā́-khī (elder), ā́-yǎ (younger, AS) "	"ʔaja; aØkhi (elder), aØya (younger, AS) "	
861	elephant	Hruso	atʃʰə	atʃʰə	
862	empty	Hruso	"ʔəɸo; ufou (SA)"	"ʔəɸo; ufou (SA)"	
863	excrete, defecate	Hruso	t͡si (SA)	tsi (SA)	
864	excrement	Hruso	-	Ø	
865	eye	Hruso	ʔiɲi	ʔiɲi	
