ID	CONCEPT	CONCEPTICON_GLOSS	DOCULECT	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES	SEGMENTS
14	57_five	five	Galo	57_five	493	aŋ-ŋó	aŋ+ŋo55	Post07	*ŋo	a ŋ + ŋ o 55
15	57_five	five	ProtoGalo	57_five	493	ŋo	ŋo	Post07	ŋo	ŋ o
101	61_theflower	the flower	Galo	61_theflower	239	a-púu	a+puː55	Post07	*pun	a + p u � 55
102	61_theflower	the flower	ProtoGalo	61_theflower	239	pun	pun	Post07	pun	p u n
245	62_toflymovethroughair	to fly (move through air)	Galo	62_toflymovethroughair	1441	zarH	dʑar55	Post07	*bjar	dʑ a r 55
246	62_toflymovethroughair	to fly (move through air)	ProtoGalo	62_toflymovethroughair	1441	bjar	bjar	Post07	bjar	b j a r
103	64_thefoot	the foot	Galo	64_thefoot	1301	a-lə ̀	a+lə51	Post07	*lə (~ *le?)	a + l ə 51
104	64_thefoot	the foot	ProtoGalo	64_thefoot	1301	lə (~ le?)	lə	Post07	lə (~ le?)	l ə
105	65_theforest	the forest	Galo	65_theforest	420	moo-tùm	moː+tum51	Post07	*mroŋ ‘world/land/earth’	m o � + t u m 51
106	65_theforest	the forest	ProtoGalo	65_theforest	420	mroŋ ‘world/land/earth’	mroŋ	Post07	mroŋ ‘world/land/earth’	m r o ŋ
247	66_toforget	to forget	Galo	66_toforget	1523	ɲoo-pèn	ɲoː+pen51	Post07	"*(ɦo-)pran ‘orphan; forget’"	ɲ o � + p e n 51
248	66_toforget	to forget	ProtoGalo	66_toforget	1523	"(ɦo-)pran ‘orphan; forget’"	"ɦo-pran	Post07	"(ɦo-)pran ‘orphan; forget’"	� � o � p r a n
16	67_four	four	Galo	67_four	1500	piiH	piː55	Post07	*pri	p i � 55
17	67_four	four	ProtoGalo	67_four	1500	pri	pri	Post07	pri	p r i
107	69_thefrog	the frog	Galo	69_thefrog	503	ta-tɨḱ	ta+tɨk55	Post07	*tɨk	t a + t ɨ k 55
108	69_thefrog	the frog	ProtoGalo	69_thefrog	503	tɨk	tɨk	Post07	tɨk	t ɨ k
69	6_thebamboo	the bamboo	Galo	6_thebamboo	1927	iiH	iː55	Post07		i � 55
109	70_thefrontfrontside	the front (front side)	Galo	70_thefrontfrontside	2194	aa-bóo	aː+boː55	Post07		a � + b o � 55
110	72_thefruit	the fruit	Galo	72_thefruit	1507	apə́-ahèe	a+pə55+a+heː51	Post07	heeL < *ʑe	a + p ə 55 + a + h e � 51
111	72_thefruit	the fruit	ProtoGalo	72_thefruit	1507	heeL < ʑe	heeL	Post07	heeL < ʑe	h e e �
18	73_full	full	Galo	73_full	1429	cɨrH	tɕɨr55	Post07		tɕ ɨ r 55
249	74_togive	to give	Galo	74_togive	1447	ziH	dʑi55	Post07	*bi	dʑ i 55
250	74_togive	to give	ProtoGalo	74_togive	1447	bi	bi	Post07	bi	b i
112	75_thegoat	the goat	Galo	75_thegoat	1502	ho-bìn	ho+bin51	Post07	*ben ~ *bren ‘takin’	h o + b i n 51
113	75_thegoat	the goat	ProtoGalo	75_thegoat	1502	ben ~ bren ‘takin’	ben	Post07	ben ~ bren ‘takin’	b e n
19	76_good	good	Galo	76_good	1035	a-lə ́	a+lə55	Post07	*la	a + l ə 55
20	76_good	good	ProtoGalo	76_good	1035	la	la	Post07	la	l a
21	78_green	green	Galo	78_green	1425	ja-zèe	ja+dʑeː51	Post07		j a + dʑ e � 51
114	79_thehail	the hail	Galo	79_thehail	609	ta-ɨ ́	ta+ɨ55	Post07		t a + ɨ 55
115	80_thehairofthehead	the hair (of the head)	Galo	80_thehairofthehead	1040	a-dúm	a+dum55	Post07	*dum ‘head’	a + d u m 55
116	80_thehairofthehead	the hair (of the head)	ProtoGalo	80_thehairofthehead	1040	dum ‘head’	dum	Post07	dum ‘head’	d u m
117	81_thehand	the hand	Galo	81_thehand	1277	a-lák	a+lak55	Post07	*lak	a + l a k 55
118	81_thehand	the hand	ProtoGalo	81_thehand	1277	lak	lak	Post07	lak	l a k
22	82_hard	hard	Galo	82_hard	1884	torH	tor55	Post07	*tol	t o r 55
23	82_hard	hard	ProtoGalo	82_hard	1884	tol	tol	Post07	tol	t o l
24	83_heorshethirdpersonsingular	he or she [third person singular]	Galo	83_heorshethirdpersonsingular	262	bɨɨ̀	bɨː̀51	Post07	*baL + *ɨH	b ɨ � � 51
25	83_heorshethirdpersonsingular	he or she [third person singular]	ProtoGalo	83_heorshethirdpersonsingular	262	baL + ɨH	baL	Post07	baL + ɨH	b a �
119	84_thehead	the head	Galo	84_thehead	1256	dum-póo	dum+poː55	Post07	*dum ‘head’	d u m + p o � 55
120	84_thehead	the head	ProtoGalo	84_thehead	1256	dum ‘head’	dum	Post07	dum ‘head’	d u m
251	85_tohear	to hear	Galo	85_tohear	1408	taH	ta55	Post07	*tat2	t a 55
252	85_tohear	to hear	ProtoGalo	85_tohear	1408	tat2	tat2	Post07	tat2	t a t �
121	86_theheart	the heart	Galo	86_theheart	1223	aa-pùk	aː+puk51	Post07	*haŋ(-puk) ‘heart’	a � + p u k 51
122	86_theheart	the heart	ProtoGalo	86_theheart	1223	haŋ(-puk) ‘heart’	haŋ-puk	Post07	haŋ(-puk) ‘heart’	h a ŋ � p u k
26	87_heavy	heavy	Galo	87_heavy	1210	a-ìi	a+iː51	Post07	*ɦit	a + i � 51
27	87_heavy	heavy	ProtoGalo	87_heavy	1210	ɦit	ɦit	Post07	ɦit	� i t
253	89_tohideconceal	to hide (conceal)	Galo	89_tohideconceal	602	kahí-	ka+hi55	Post07		k a + h i 55
254	91_tohold	to hold	Galo	91_tohold	1448	bəəH	bəː55	Post07		b ə � 55
123	94_thehornkeratinizedskin	the horn (keratinized skin)	Galo	94_thehornkeratinizedskin	1393	rəə-búu	rəː+buː55	Post07	*rəŋ	r ə � + b u � 55
124	94_thehornkeratinizedskin	the horn (keratinized skin)	ProtoGalo	94_thehornkeratinizedskin	1393	rəŋ	rəŋ	Post07	rəŋ	r ə ŋ
28	96_hot	hot	Galo	96_hot	1286	goL	go51	Post07	*gu ~ *gju	g o 51
29	96_hot	hot	ProtoGalo	96_hot	1286	gu ~ gju	gu	Post07	gu ~ gju	g u
125	97_thehouse	the house	Galo	97_thehouse	1252	namH	nam55	Post07	*nam	n a m 55
126	97_thehouse	the house	ProtoGalo	97_thehouse	1252	nam	nam	Post07	nam	n a m
70	9_thebelly	the belly	Galo	9_thebelly	1251	a-kíi	a+kiː55	Post07	*kri ‘guts’	a + k i � 55
71	9_thebelly	the belly	ProtoGalo	9_thebelly	1251	kri ‘guts’	kri	Post07	kri ‘guts’	k r i
