ID	CONCEPT	CONCEPTICON_GLOSS	CONCEPTICON_ID	PARAMETER_ID	CONCEPTICON_ID	DOCULECT	VALUE	FORM	SOURCE
289	239_thewing	the wing	1257	239_thewing	1257	Wenlang Cuona Menba	ɕom55pek55		LS2002
290	242_thewoman	the woman	962	242_thewoman	962	Wenlang Cuona Menba	mø35tsha55		LS2002
291	245_theyear	the year	1226	245_theyear	1226	Wenlang Cuona Menba	niŋ55		LS2002
292	210_thick	thick	1244	210_thick	1244	Wenlang Cuona Menba	tuk55po55		LS2002
293	212_thinobject	thin (object)	2249	212_thinobject	2249	Wenlang Cuona Menba	ŋra35pu55		LS2002
294	215_thousecondpersonsingular	thou [second person singular]	1215	215_thousecondpersonsingular	1215	Wenlang Cuona Menba	i55		LS2002
295	216_three	three	492	216_three	492	Wenlang Cuona Menba	som55		LS2002
296	13_tobite	to bite	1403	13_tobite	1403	Wenlang Cuona Menba	ŋom55mu55		LS2002
297	21_toburnintransitive	to burn [intransitive]	1428	21_toburnintransitive	1428	Wenlang Cuona Menba			
298	22_tobuy	to buy	1869	22_tobuy	1869	Wenlang Cuona Menba	ɲeu35		LS2002
299	23_tochew	to chew	321	23_tochew	321	Wenlang Cuona Menba	ŋlak35		LS2002
300	27_tocome	to come	1446	27_tocome	1446	Wenlang Cuona Menba	gai35		LS2002
301	29_tocount	to count	1420	29_tocount	1420	Wenlang Cuona Menba	tsi55		LS2002
302	30_tocryweep	to cry (weep)	1839	30_tocryweep	1839	Wenlang Cuona Menba	ŋru35		LS2002
303	34_todie	to die	1494	34_todie	1494	Wenlang Cuona Menba	ɕiu55		LS2002
304	35_todig	to dig	1418	35_todig	1418	Wenlang Cuona Menba	ko55pu55		LS2002
305	39_todrink	to drink	1401	39_todrink	1401	Wenlang Cuona Menba	thoŋ55ɲa55		LS2002
306	46_toeat	to eat	1336	46_toeat	1336	Wenlang Cuona Menba	za35		LS2002
307	53_tofight	to fight	1423	53_tofight	1423	Wenlang Cuona Menba	tet55tet55ma55		LS2002
308	62_toflymovethroughair	to fly (move through air)	1441	62_toflymovethroughair	1441	Wenlang Cuona Menba	phen55		LS2002
309	66_toforget	to forget	1523	66_toforget	1523	Wenlang Cuona Menba	ŋat35ɲi55		LS2002
310	74_togive	to give	1447	74_togive	1447	Wenlang Cuona Menba			
311	85_tohear	to hear	1408	85_tohear	1408	Wenlang Cuona Menba	ɲa35na55		LS2002
312	89_tohideconceal	to hide (conceal)	602	89_tohideconceal	602	Wenlang Cuona Menba	phi55		LS2002
313	91_tohold	to hold	1448	91_tohold	1448	Wenlang Cuona Menba	zuŋ35		LS2002
314	104_tokill	to kill	1417	104_tokill	1417	Wenlang Cuona Menba	sot53		LS2002
315	111_tolaugh	to laugh	1355	111_tolaugh	1355	Wenlang Cuona Menba	git35tha55ru55		LS2002
316	115_tolick	to lick	319	115_tolick	319	Wenlang Cuona Menba	ŋlɑk˧˥	ŋlɑk35	LS1986
317	153_toplay	to play	1413	153_toplay	1413	Wenlang Cuona Menba	wa35thoŋ55		LS2002
318	155_topush	to push	1452	155_topush	1452	Wenlang Cuona Menba	to˥gɑ˥	to55gɑ55	LS1986
319	159_toresidelive	to reside (live)	363	159_toresidelive	363	Wenlang Cuona Menba	zu35ga35		LS2002
320	171_toscratch	to scratch	1436	171_toscratch	1436	Wenlang Cuona Menba	re˧˥	re35	LS1986
321	173_tosee	to see	1409	173_tosee	1409	Wenlang Cuona Menba	toŋ55ŋu55		LS2002
322	178_toshootanarrow	to shoot (an arrow)	1172	178_toshootanarrow	1172	Wenlang Cuona Menba	phoŋ55		LS2002
323	183_tosing	to sing	1261	183_tosing	1261	Wenlang Cuona Menba	ʨe35thoŋ55ŋa55		LS2002
324	187_tosleep	to sleep	1585	187_tosleep	1585	Wenlang Cuona Menba	ɲe35		LS2002
325	189_tosmellperceiveodortransitive	to smell (perceive odor) [transitive]	1586	189_tosmellperceiveodortransitive	1586	Wenlang Cuona Menba	nem35do55		LS2002
326	198_tospit	to spit	1440	198_tospit	1440	Wenlang Cuona Menba	gop35		LS2002
327	199_tostand	to stand	1442	199_tostand	1442	Wenlang Cuona Menba	laŋ55ŋa55		LS2002
328	201_tosteal	to steal	713	201_tosteal	713	Wenlang Cuona Menba	kun55		LS2002
329	213_tothinkreflect	to think (reflect)	1415	213_tothinkreflect	1415	Wenlang Cuona Menba	sem55dʐa35thaŋ55		LS2002
330	217_tothrow	to throw	1456	217_tothrow	1456	Wenlang Cuona Menba	wat35		LS2002
331	227_tovomit	to vomit	1278	227_tovomit	1278	Wenlang Cuona Menba	gop35		LS2002
332	228_towalk	to walk	1443	228_towalk	1443	Wenlang Cuona Menba	ga35la55		LS2002
333	240_towipe	to wipe	1454	240_towipe	1454	Wenlang Cuona Menba	tɕhi55		LS2002
334	226_two	two	1498	226_two	1498	Wenlang Cuona Menba	nai35		LS2002
335	231_wet	wet	1726	231_wet	1726	Wenlang Cuona Menba	dʑap35dʑap35		LS2002
336	235_white	white	1335	235_white	1335	Wenlang Cuona Menba	khe55ru55		LS2002
337	236_who	who	1235	236_who	1235	Wenlang Cuona Menba	su55		LS2002
338	246_yellow	yellow	1424	246_yellow	1424	Wenlang Cuona Menba	ser55pu55		LS2002
