ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Doculect,Subgroup,Source
Yidu,Yidu,idum1241,Idu,clk,Eurasia,29.448172,95.650179,Sino-Tibetan,Yidu,Mishmi,Huang1992
Garo,Garo,garo1247,Garo,grt,Eurasia,25.504744,90.333226,Sino-Tibetan,Garo,Garo,Burling2003
KarbiMikir,Mikir,karb1241,Hills Karbi,mjw,Eurasia,25.735084,93.050494,Sino-Tibetan,Karbi (Mikir),Mizo,"Walker1925,KonnerthFC,GruessnerNoDate"
WobziKhroskyabs,WobziKhroskyabs,eree1240,Ere (China),,Eurasia,31.62758,101.427999,Sino-Tibetan,Khroskyabs Wobzi,rGyalrong,Lai2017
Lisu,Lisu,lisu1250,Lisu,lis,Eurasia,25.950046,98.848486,Sino-Tibetan,Lisu,Loloish,Huang1992
Bahing,Bahing,bahi1252,Bahing,bhj,Eurasia,27.309472,86.430334,Sino-Tibetan,Bahing,Kiranti,Michailovsky1989
Bantawa,Bantawa,bant1281,Bantawa,bap,Eurasia,27.117894,87.049995,Sino-Tibetan,Bantawa,Kiranti,Jongens2009
Hayu,Hayu,wayu1241,Wayu,vay,Eurasia,27.302102,86.099009,Sino-Tibetan,Hayu,Kiranti,Michailovsky1989a
Khaling,Khaling,khal1275,Khaling,klr,Eurasia,27.390595,87.510016,Sino-Tibetan,Khaling,Kiranti,Jacques2017FN
Kulung,Kulung,kulu1253,Kulung (Nepal),kle,Eurasia,27.690037,86.910944,Sino-Tibetan,Kulung,Kiranti,Tolsma1999
Limbu,Limbu,limb1266,Limbu,lif,Eurasia,27.272065,87.889909,Sino-Tibetan,Limbu,Kiranti,Jacques2017FN
Thulung,Thulung,thul1246,Thulung,tdh,Eurasia,27.534944,87.609608,Sino-Tibetan,Thulung,Kiranti,Allen1975
Lushai,Lushai,lush1249,Mizo,lus,Eurasia,22.60535,92.629457,Sino-Tibetan,Lushai,Mizo,Lorrain1940
Ukhrul,Ukhrul,ukhr1238,Ukhrul,,Eurasia,25.092617,94.37045,Sino-Tibetan,Ukhrul,Naga,Mortensen2012
Dulong,Dulong,drun1238,Drung,duu,Eurasia,27.749017,98.691868,Sino-Tibetan,Dulong,Nungic,Huang1992
Zhaba,Zhaba,zhab1238,Zhaba,zhb,Eurasia,30.538892,101.058397,Sino-Tibetan,Zhaba,Qiangic,Huang1992
Rabha,Rabha,rabh1238,Rabha,rah,Eurasia,25.820135,91.170064,Sino-Tibetan,Rabha,Rabha,Joseph2007
Daofu,Daofu,horp1240,Horpa,,,30.975281,101.123742,Sino-Tibetan,Daofu,rGyalrong,Huang1992
Japhug,Japhug,japh1234,Japhug,,Eurasia,32.207076,101.957636,Sino-Tibetan,Japhug,rGyalrong,Jacques2015b
Maerkang,MaerkangrGyalrong,situ1238,Situ,,Eurasia,31.868614,102.295293,Sino-Tibetan,Marerkang,rGyalrong,Huang1992
Beijing,Beijing,beij1235,Beijingic,,Eurasia,39.909056,116.397422,Sino-Tibetan,Beijing,Sinitic,Lai2017FN
Chaozhou,Chaozhou,chao1238,Chaozhou,,Eurasia,23.657699,116.622317,Sino-Tibetan,Chaozhou,Sinitic,Lai2017FN
Guangzhou,Guangzhou,guan1279,Guangzhou,,Eurasia,23.131111,113.258099,Sino-Tibetan,Guangzhou,Sinitic,Lai2017FN
Jieyang,Jieyang,chao1239,Chaoshan,,Eurasia,23.551122,116.373013,Sino-Tibetan,Jieyang,Sinitic,Lai2017FN
Longgang,Longgang,hakk1236,Hakka Chinese,hak,Eurasia,22.725545,114.243825,Sino-Tibetan,Longgang,Sinitic,Lai2017FN
OldChinese,OldChinese,oldc1244,Old Chinese,och,Eurasia,34.101745,108.777868,Sino-Tibetan,Old Chinese,Sinitic,Baxter2014
Xingning,Xingning,hakk1236,Hakka Chinese,hak,Eurasia,24.13674,115.732382,Sino-Tibetan,Xingning,Sinitic,Lai2017FN
Tangut,Tangut,tang1334,Tangut,txg,Eurasia,38.477453,106.285383,Sino-Tibetan,Tangut,Tangut,Li1997
TaniBokar,Bokar,boka1249,Bokar-Ramo,,Eurasia,27.554547,93.15717,Sino-Tibetan,Bokar,Tani,Huang1992
Alike,Alike,amdo1237,Amdo Tibetan,adx,Eurasia,38.318508,92.839938,Sino-Tibetan,Alike,Tibetan,Huang1992
Batang,Batang,kham1282,Khams Tibetan,khg,Eurasia,30.00795,99.111944,Sino-Tibetan,Batang,Tibetan,Huang1992
