ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,NOTES,LOAN
KBWKhoitam-1_above-1,Khoitam_7,KBWKhoitam,1_above,a.tɕʰũ,a.tɕʰũ,,,TB,744,,,,,FALSE
KBWRahung-1_above-1,Rahung_8,KBWRahung,1_above,a.tɕʰũ,a.tɕʰũ,,,TB,744,,,,,FALSE
KBWRupa-1_above-1,Rupa_9,KBWRupa,1_above,a.tsʰũ,a.tsʰũ,,,TB,744,,,,,FALSE
KBWShergaon-1_above-1,Shergaon_10,KBWShergaon,1_above,a.tɕʰɔ̃,a.tɕʰɔ̃,,,TB,744,,,,,FALSE
TshBhutanTshangla-1_above-1,BhutanTshangla_11,TshBhutanTshangla,1_above,tʰuŋ,tʰuŋ,,,TB,783,,,,,FALSE
Kusunda-1_above-1,KusundaK_12,Kusunda,1_above,nɔ̃ː.ʤi ɐ̃ː.ʤi,nɔ̃ː.ʤi,,,Bodt2019b,790,,,,,FALSE
HruNamreiBisai-1_above-1,NamreiBisai_279,HruNamreiBisai,1_above,tʃajoŋ,tʃa+joŋ,,,Abraham2018,,,,,,
HruNamreiNabolang-1_above-1,NamreiNabolang_279,HruNamreiNabolang,1_above,tʃajoŋ,tʃa+joŋ,,,Abraham2018,,,,,,
HruHrusoAkaJamiri-1_above-1,HrusoAkaJamiri_279,HruHrusoAkaJamiri,1_above,ʔodɹu,ʔo+dɹu,,,Abraham2018,,,,,,
HruBangru-1_above-1,Bangru_279,HruBangru,1_above,məjɔ tɔts,mə+jɔ+tɔts,,,TB,,,,,,
HruDammaiDibin-1_above-1,DammaiDibin_279,HruDammaiDibin,1_above,thaŋiu,tʰaŋ+ju,,,Abraham2018,,,,,,
HruMijiNafra-1_above-1,MijiNafra_279,HruMijiNafra,1_above,thaŋjuŋ,tʰaŋ+juŋ,,,Abraham2018,,,,,,
HruDammaiRurang-1_above-1,DammaiRurang_279,HruDammaiRurang,1_above,thajoŋ,tʰa+jɔŋ,,,Abraham2018,,,,,,
EBBumthang-1_above-1,Bumthang_170,EBBumthang,1_above,jai,dʑai,,,vanDriem2015,,,,,,
OldTibetan-1_above-1,OldTibetan_34,OldTibetan,1_above,steŋ,s.t.e.ŋ,,,Huang1992,20,,,,,FALSE
Japhug-1_above-1,Japhug_25,Japhug,1_above,ɯ-taʁ,ɯ.◦.t.a.ʁ,,,Jacques2015b,49,,,,,FALSE
TshMotuoMenba-1_above-1,MotuoMenba_31,TshMotuoMenba,1_above,ga ten,g.a._.t.e.n,,,Huang1992,431,,,,this means 'upwards',FALSE
Lhasa-1_above-1,Lhasa_40,Lhasa,1_above,jɛ̃¹³tɕhɛ⁵²,j.ɛ̃.∼.¹³.◦.tɕʰ.ɛ.⁵²,,,Huang1992,198,,,,,FALSE
Lhasa-1_above-2,Lhasa_41,Lhasa,1_above,khoŋ¹³la,kʰ.o.ŋ.¹³.◦.l.a,,,Huang1992,1035,,,,,FALSE
Daofu-1_above-1,Daofu_v2_1786,Daofu,1_above,rə nkhvɛ,r.ə.+.n.kʰ.v.ɛ,,,Huang1992,1310,,,,,FALSE
Dulong-1_above-1,Dulong_20,Dulong,1_above,lɯ³¹kɑ⁵⁵pɑŋ⁵⁵,l.ɯ.³¹.+.k.ɑ.⁵⁵.+.p.ɑ.ŋ.⁵⁵,,,Huang1992,1265,,,,,FALSE
Batang-1_above-1,Batang_39,Batang,1_above,ja¹³tɕøʔ⁵³,j.a.¹³.◦.tɕ.ø.ʔ.⁵³,,,Huang1992,198,,,,,FALSE
Jingpho-1_above-1,Jingpho_26,Jingpho,1_above,n³¹tsa̱³³,n.³¹.◦.ts.a̱.³³,,,Huang1992,1765,,,,,FALSE
Zhaba-1_above-1,Zhaba_46,Zhaba,1_above,ʌ¹³tʂhɿ³³,ʌ.¹³.◦.tʂh.ɿ.³³,,,Huang1992,2262,,,,,FALSE
Maerkang-1_above-1,MaerkangrGyalrong_v2_2711,Maerkang,1_above,wu prɐi,w.u._.p.r.ɐ.i,,,Huang1992,2290,,,,,FALSE
Xiahe-1_above-1,Xiahe_v2_3013,Xiahe,1_above,jan tɕhar,j.a.n._.tɕh.a.r,,,Huang1992,198,,,,,FALSE
Lisu-1_above-1,Lisu_29,Lisu,1_above,gɑ̱³¹si̱³³,g.ɑ̱.³¹.◦.s.i̱.³³,,,Huang1992,2668,,,,,FALSE
TaniBokar-1_above-1,Bokar_15,TaniBokar,1_above,jan dap,j.a.n.+.d.a.p,,,Huang1992,198,,,,,TRUE
Khaling-1_above-1,Khaling_v2_4269,Khaling,1_above,tuŋ,t.u.ŋ,,,Jacques2017FN,3493,,,,,FALSE
Limbu-1_above-1,Limbu_28,Limbu,1_above,ɛtthaŋ,ɛ.t.th.a.ŋ,,,Jacques2017FN,20,,,,,FALSE
OldChinese-1_above-1,OldChinese_33,OldChinese,1_above,*daŋʔ-s,d.a.ŋ.ʔ.+.s,,,Baxter2014,20,,,,,FALSE
OldBurmese-1_above-1,OldBurmese_32,OldBurmese,1_above,ʔa◦thak,ʔ.a.◦.th.a.k,,,Hill2017,49,,,,,FALSE
WobziKhroskyabs-1_above-1,WobziKhroskyabs_43,WobziKhroskyabs,1_above,tʰɑ,tʰ.ɑ,,,Lai2017,49,,,,,FALSE
Chepang-1_above-1,Chepang_19,Chepang,1_above,puh+ʔə,p.u.h.+.ʔ.ə,,,Caughley2000,3791,,,,,FALSE
Garo-1_above-1,Garo_21,Garo,1_above,sakao,s.a.k.a.o,,,Burling2003,3915,,,,,FALSE
Thulung-1_above-1,Thulung_37,Thulung,1_above,ɖʌːla,ɖ.ʌː.l.a,,,Allen1975,4050,,,,,FALSE
Thulung-1_above-2,Thulung_38,Thulung,1_above,gele,g.e.l.e,,,Allen1975,4111,,,,,FALSE
Hakha-1_above-1,Hakha_22,Hakha,1_above,tsùŋ,ts.ù.ŋ,,,VanBik2014,744,,,,,FALSE
Bunan-1_above-1,Bunan_16,Bunan,1_above,jartok,j.a.r.t.o.k,,,Widmer2014,198,,,,,TRUE
Byangsi-1_above-1,Byangsi_17,Byangsi,1_above,jarto,j.a.r.t.o,,,Sharma2003a,198,,,,,TRUE
Rongpo-1_above-1,Rongpo_v2_6927,Rongpo,1_above,kaltʃo,k.a.l.tʃ.o,,,Sharma2003,461,,,,,FALSE
Kulung-1_above-1,Kulung_27,Kulung,1_above,tɔ:ptɔ,t.ɔ:.p.t.ɔ,,,Tolsma1999,612,,,,,FALSE
Bantawa-1_above-1,Bantawa_v2_7385,Bantawa,1_above,tsʰoŋ,tsʰ.o.ŋ,,,Jongens2009,744,,,,,FALSE
Atsi-1_above-1,Atsi_v2_8572,Atsi,1_above,tʰoʔ⁵⁵+mai²¹,tʰ.o.ʔ.⁵⁵.+.m.a.i.²¹,,,Huang1992 Hill2017,49,,,,,FALSE
Rangoon-1_above-1,Rangoon_35,Rangoon,1_above,ɑ⁵³+tʰɛʔ,ɑ.⁵³.+.tʰ.ɛ.ʔ,,,Huang1992 Hill2017,49,,,,,FALSE
Bola-1_above-1,Bola_v2_8674,Bola,1_above,a³¹+tʰaʔ⁵⁵,a.³¹.+.tʰ.a.ʔ.⁵⁵,,,Huang1992 Hill2017,49,,,,,FALSE
Achang-1_above-1,Achang_13,Achang,1_above,a³¹+lum³¹,a.³¹.+.l.u.m.³¹,,,Huang1992 Hill2017,3049,,,,,FALSE
Maru-1_above-1,Maru_v2_8787,Maru,1_above,tʰɔʔ⁵⁵+mɛ³¹,tʰ.ɔ.ʔ.⁵⁵.+.m.ɛ.³¹,,,Huang1992 Hill2017,49,,,,,FALSE
Bahing-1_above-1,Bahing_v2_9233,Bahing,1_above,hati,h.a.t.i,,,Michailovsky1989,2769,,,,,FALSE
Beijing-1_above-1,Beijing_14,Beijing,1_above,ʂɑŋ⁵¹tʰou⁰,ʂ.ɑ.ŋ.⁵¹.tʰ.o.u.⁰,,,Lai2017FN,20,,,,,FALSE
Guangzhou-1_above-1,Guangzhou_v2_9702,Guangzhou,1_above,sœŋ²²pin²²,s.œ.ŋ.²².p.i.n.²²,,,Lai2017FN,20,,,,,FALSE
Chaozhou-1_above-1,Chaozhou_18,Chaozhou,1_above,teŋ⁵³₃₅põĩ∼⁵⁵,t.e.ŋ.⁵³₃₅.p.õ.ĩ.∼.⁵⁵,,,Lai2017FN,1618,,,,,FALSE
Longgang-1_above-1,Longgang_v2_9704,Longgang,1_above,taŋ³³kau³³,t.a.ŋ.³³.k.a.u.³³,,,Lai2017FN,1618,,,,,TRUE
Jieyang-1_above-1,Jieyang_v2_9705,Jieyang,1_above,teŋ³¹₃₅pãĩ∼⁵⁵,t.e.ŋ.³¹₃₅.p.ã.ĩ.∼.⁵⁵,,,Lai2017FN,1618,,,,,FALSE
Xingning-1_above-1,Xingning_44,Xingning,1_above,ʂɔŋ⁵⁵pɔɛ⁵³,ʂ.ɔ.ŋ.⁵⁵.p.ɔ.ɛ.⁵³,,,Lai2017FN,20,,,,,FALSE
Xingning-1_above-2,Xingning_45,Xingning,1_above,hɔŋ⁵³,h.ɔ.ŋ.⁵³,,,Lai2017FN,1619,,,,,FALSE
Ukhrul-1_above-1,Ukhrul_42,Ukhrul,1_above,kə+kan,k.ə.+.k.a.n,,,Mortensen2012,3313,,,,,FALSE
Hayu-1_above-1,Hayu_24,Hayu,1_above,ani,a.n.i,,,Michailovsky1989a,2156,,,,,FALSE
Hayu-1_above-2,Hayu_24,Hayu,1_above,ani,a.n.i,,,Michailovsky1989a,2156,,,,,FALSE
Tangut-1_above-1,Tangut_36,Tangut,1_above,tɕhjaa,tɕh.jaa,,,Li1997,10178,,,,,FALSE
KarbiMikir-1_above-1,Mikir_30,KarbiMikir,1_above,"""angsong, athak; (one -- another) pangchap, pacherop.""",a.ng.s.o.ng,,,Walker1925 KonnerthFC GruessnerNoDate,0,,,,,FALSE
MishmiKaman-1_above-1,Kaman_182915,MishmiKaman,1_above,lɯn³⁵ xɑi⁵⁵,lɯn³⁵ xɑi⁵⁵,,,Sun1991,,,,,,
KBEastPuroikSoja-1_above-1,easternpuroik_170,KBEastPuroikSoja,1_above,ayung,a+juŋ,,,AT90,,,,,,
KBEastPuroikRemsangpuia-1_above-1,easternpuroik_1,KBEastPuroikRemsangpuia,1_above,atʃuaŋ,a+tʃuaŋ,,,Remsangpuia2008,,,,,,
KBEastPuroikSun-1_above-1,puroik_182917,KBEastPuroikSun,1_above,a³³ tɕiaŋ⁵³,a³³+tɕiaŋ⁵³,,,Sun1991,,,,,,
TshDirangTshangla-2_all-1,DirangTshangla_171,TshDirangTshangla,2_all,gaŋ+pu,gaŋ+pu,,,TB,,,,,,
TaniGalo-2_all-1,Galo_174,TaniGalo,2_all,ŋamH ~ gamH,ŋam55,,,Post07,,,,,Ø,
TaniTangam-2_all-1,Tangam_2,TaniTangam,2_all,aʔpɨŋ,aʔ+pɨŋ,,,Post2017,,,,,,
EBDzalakha-2_all-1,Dzalakha_2,EBDzalakha,2_all,‘yongka,joŋ55+ka,,,DDC2017,,,,,,
EBKhengkha-2_all-1,Khengkha_171,EBKhengkha,2_all,gangko,gaŋ+ko,,,AandY1996,,,,,,
KBWanghoBugun-2_all-1,WanghoBugun_31,KBWanghoBugun,2_all,dʒap,dʒap,,,Abraham2018,,,,, ,
KBBichomBugun-2_all-1,BichomBugun_32,KBBichomBugun,2_all,dʒap,dʒap,,,Abraham2018,,,,, ,
KBSingchungBugun-2_all-1,SingchungBugun_33,KBSingchungBugun,2_all,dʒap,dʒap,,,Abraham2018,,,,, ,
KBKaspiBugun-2_all-1,KaspiBugun_34,KBKaspiBugun,2_all,dʒap,dʒap,,,Abraham2018,,,,, ,
KBNamphriBugun-2_all-1,NamphriBugun_35,KBNamphriBugun,2_all,"""tham; dʒap""",tʰam,,,Abraham2018,,,,, ,
EBMamaCuonaMenba-2_all-1,MamaCuonaMenba_347,EBMamaCuonaMenba,2_all,tsAŋ˥mA˥˧~kA˧˥ne˥,tsAŋ55mA53,,,Lu1986,,,,,,
EBWenlangCuonaMenba-2_all-1,WenlangCuonaMenba_348,EBWenlangCuonaMenba,2_all,ge˧˥kɑ˧˥,ge35kɑ35,,,Lu1986,,,,,,
KBWestPuroikLieberherr-2_all-1,BuluPuroik_47,KBWestPuroikLieberherr,2_all,a.hjoN,a.hjom,,,TB,796,,,,,FALSE
KBDikhyangBugun-2_all-1,DikhyangBugun_48,KBDikhyangBugun,2_all,zap.pʰa,zap.pʰa,,,TB,795,,,,,FALSE
KBWKhispi-2_all-1,Khispi_49,KBWKhispi,2_all,gaŋ.pu,gaŋ.pu,,,TB,5665,,,,,TRUE
KBWDuhumbi-2_all-1,Duhumbi_50,KBWDuhumbi,2_all,gaŋ.pu,gaŋ.pu,,,TB,5665,,,,,TRUE
KBWKhoina-2_all-1,Khoina_51,KBWKhoina,2_all,a.tʰøn.dʑi,a.tʰøn.dʑi,,,TB,793,,,,,FALSE
KBWJerigaon-2_all-1,Jerigaon_52,KBWJerigaon,2_all,a.pʰɛn,a.pʰɛn,,,TB,797,,,,,FALSE
KBWKhoitam-2_all-1,Khoitam_53,KBWKhoitam,2_all,a.tʰɔm,a.tʰɔm,,,TB,793,,,,,FALSE
KBWRahung-2_all-1,Rahung_54,KBWRahung,2_all,a.tʰøm,a.tʰøm,,,TB,793,,,,,FALSE
KBWRupa-2_all-1,Rupa_55,KBWRupa,2_all,a.tʰɔm,a.tʰɔm,,,TB,793,,,,,FALSE
KBWShergaon-2_all-1,Shergaon_56,KBWShergaon,2_all,a.tʰɔm,a.tʰɔm,,,TB,793,,,,,FALSE
TshBhutanTshangla-2_all-1,BhutanTshangla_57,TshBhutanTshangla,2_all,tʰam+ʨe,tʰam+ʨe,,,TB,3682,,,,,TRUE
Kusunda-2_all-1,KusundaK_58,Kusunda,2_all,swɐ.t̪eː,swɐ.t̪eː,,,Bodt2019b,794,,,,,FALSE
HruNamreiBisai-2_all-1,NamreiBisai_243,HruNamreiBisai,2_all,mihijoŋ,mi+hjoŋ,,,Abraham2018,,,,,,
HruNamreiNabolang-2_all-1,NamreiNabolang_243,HruNamreiNabolang,2_all,mihuŋ,mi+huŋ,,,Abraham2018,,,,,,
HruHrusoAkaJamiri-2_all-1,HrusoAkaJamiri_243,HruHrusoAkaJamiri,2_all,vjo,vjo,,,Abraham2018,,,,,,
HruBangru-2_all-1,Bangru_243,HruBangru,2_all,mələŋ,mə+ləŋ,,,TB,,,,,,
HruDammaiDibin-2_all-1,DammaiDibin_243,HruDammaiDibin,2_all,ahuŋ,a+huŋ,,,Abraham2018,,,,,,
HruMijiNafra-2_all-1,MijiNafra_243,HruMijiNafra,2_all,məsuŋ,mə+suŋ,,,Abraham2018,,,,,,
HruDammaiRurang-2_all-1,DammaiRurang_243,HruDammaiRurang,2_all,vendaŋ,ven+daŋ,,,Abraham2018,,,,,,
EBBumthang-2_all-1,Bumthang_203,EBBumthang,2_all,gampo,gam+po,,,vanDriem2015,,,,,,
OldTibetan-2_all-1,OldTibetan_81,OldTibetan,2_all,tʰams.tɕad,tʰ.a.m.s.◦.tɕ.a.d,,,Huang1992,3682,,,,,FALSE
Khaling-2_all-1,Khaling_v2_4,Khaling,2_all,kʰøle,kʰ.ø.l.e,,,Jacques2017FN,1273,,,,,FALSE
Limbu-2_all-1,Limbu_74,Limbu,2_all,kak,k.a.k,,,Jacques2017FN,1320,,,,,FALSE
Japhug-2_all-1,Japhug_68,Japhug,2_all,%tʰamtɕɤt,tʰ.a.m.tɕ.ɤ.t,,,Jacques2015b,3682,,,,,TRUE
Tangut-2_all-1,Tangut_84,Tangut,2_all,zji¹,z.j.i.¹,,,Li1997,0,,,,,FALSE
Jingpho-2_all-1,Jingpho_70,Jingpho,2_all,ŋa³¹mă⁵⁵ŋa⁵¹,ŋ.a.³¹.◦.m.ă.⁵⁵.◦.ŋ.a.⁵¹,,,Huang1992,1274,,,,,FALSE
TshMotuoMenba-2_all-1,MotuoMenba_77,TshMotuoMenba,2_all,tham tɕeʔ,th.a.m._.tɕ.e.ʔ,,,Huang1992,3682,,,,,TRUE
Xiahe-2_all-1,Xiahe_v2_1151,Xiahe,2_all,ha no,h.a._.n.o,,,Huang1992,5662,,,,,FALSE
Maerkang-2_all-1,MaerkangrGyalrong_v2_1374,Maerkang,2_all,kə tʃᴇt,k.ə._.tʃ.ᴇ.t,,,Huang1992,3969,,,,,FALSE
Lhasa-2_all-1,Lhasa_90,Lhasa,2_all,tshaŋ⁵⁵ma⁵⁵,tsh.a.ŋ.⁵⁵.◦.m.a.⁵⁵,,,Huang1992,5663,,,,,FALSE
Daofu-2_all-1,Daofu_v2_1868,Daofu,2_all,thəm tɕɛ,th.ə.m._.tɕ.ɛ,,,Huang1992,3682,,,,,TRUE
Dulong-2_all-1,Dulong_65,Dulong,2_all,sɯ³¹nɑʔ⁵⁵,s.ɯ.³¹.◦.n.ɑ.ʔ.⁵⁵,,,Huang1992,1276,,,,,FALSE
Batang-2_all-1,Batang_89,Batang,2_all,jø¹³tshɛʔ⁵³,j.ø.¹³.◦.tsh.ɛ.ʔ.⁵³,,,Huang1992,5664,,,,,FALSE
Lhasa-2_all-2,Lhasa_91,Lhasa,2_all,kaŋ¹³ka⁵⁵,k.a.ŋ.¹³.◦.k.a.⁵⁵,,,Huang1992,5665,,,,,FALSE
Zhaba-2_all-1,Zhaba_93,Zhaba,2_all,jo³³dzo⁵⁵,j.o.³³.◦.dz.o.⁵⁵,,,Huang1992,4514,,,,,FALSE
Lisu-2_all-1,Lisu_75,Lisu,2_all,hɑ̃³³ŋɑ̱³³ mɑ̱³³,h.ɑ̃.∼.³³.◦.ŋ.ɑ̱.³³._.m.ɑ̱.³³,,,Huang1992,3683,,,,,FALSE
TaniBokar-2_all-1,Bokar_60,TaniBokar,2_all,kə baŋ,k.ə._.b.a.ŋ,,,Huang1992,1321,,,,,FALSE
Alike-2_all-1,Alike_88,Alike,2_all,tshaŋ mæ,tsh.a.ŋ._.m.æ,,,Huang1992,5663,,,,,FALSE
Japhug-2_all-2,Japhug_69,Japhug,2_all,lonmba,l.o.n.mb.a,,,Jacques2015b,1275,,,,,TRUE
OldChinese-2_all-1,OldChinese_79,OldChinese,2_all,*[b]rom,b.r.o.m,,,Baxter2014,1186,,,,,FALSE
OldChinese-2_all-2,OldChinese_80,OldChinese,2_all,*[g]ˤr[ə]m,gˤ.r.ə.m,,,Baxter2014,3684,,,,,FALSE
OldBurmese-2_all-1,OldBurmese_78,OldBurmese,2_all,ʔa◦kun,ʔ.a.◦.k.u.n,,,Hill2017,3899,,,,,FALSE
WobziKhroskyabs-2_all-1,WobziKhroskyabs_92,WobziKhroskyabs,2_all,pâ,p.â,,,Lai2017,5037,,,,,FALSE
Chepang-2_all-1,Chepang_63,Chepang,2_all,dʒəm+bay,dʒ.ə.m.+.b.a.y,,,Caughley2000,5140,,,,,FALSE
Chepang-2_all-2,Chepang_64,Chepang,2_all,dʒu,dʒ.u,,,Caughley2000,5141,,,,,FALSE
Garo-2_all-1,Garo_66,Garo,2_all,bebak,b.e.b.a.k,,,Burling2003,5308,,,,,FALSE
Thulung-2_all-1,Thulung_87,Thulung,2_all,khotle,kh.o.t.l.e,,,Allen1975,1273,,,,,FALSE
Hakha-2_all-1,Hakha_67,Hakha,2_all,zǎatêe,z.ǎa.t.êe,,,VanBik2014,5779,,,,,FALSE
Bunan-2_all-1,Bunan_61,Bunan,2_all,tsʰaŋi,tsʰ.a.ŋ.i,,,Widmer2014,5663,,,,,TRUE
Byangsi-2_all-1,Byangsi_62,Byangsi,2_all,lairi,l.a.i.r.i,,,Sharma2003a,6208,,,,,FALSE
Rongpo-2_all-1,Rongpo_v2_6928,Rongpo,2_all,ruoko,r.u.o.k.o,,,Sharma2003,6209,,,,,FALSE
Rongpo-2_all-2,Rongpo_v2_6929,Rongpo,2_all,səb,s.ə.b,,,Sharma2003,6207,,,,,TRUE
Kulung-2_all-1,Kulung_71,Kulung,2_all,tɔ:tɔ,t.ɔ:.t.ɔ,,,Tolsma1999,6288,,,,,FALSE
Kulung-2_all-2,Kulung_72,Kulung,2_all,kʰɔ:lɔ,kʰ.ɔ:.l.ɔ,,,Tolsma1999,1273,,,,,FALSE
Bantawa-2_all-1,Bantawa_v2_7386,Bantawa,2_all,dzamməj,dz.a.m.m.ə.j,,,Jongens2009,6522,,,,,TRUE
Achang-2_all-1,Achang_59,Achang,2_all,pʐa⁵⁵+pʐa⁵⁵,p.ʐ.a.⁵⁵.+.p.ʐ.a.⁵⁵,,,Huang1992 Hill2017,8001,,,,,FALSE
Lashi-2_all-1,Lashi_73,Lashi,2_all,pan³¹+ʃɔ̰ʔ⁵⁵,p.a.n.³¹.+.ʃ.ɔ̰.ʔ.⁵⁵,,,Huang1992 Hill2017,8003,,,,,FALSE
Maru-2_all-1,Maru_v2_7622,Maru,2_all,pəŋ³¹+ʃɔʔ⁵⁵,p.ə.ŋ.³¹.+.ʃ.ɔ.ʔ.⁵⁵,,,Huang1992 Hill2017,8003,,,,,FALSE
Xiandao-2_all-1,Xiandao_v2_7623,Xiandao,2_all,cʰot⁵⁵,cʰ.o.t.⁵⁵,,,Huang1992 Hill2017,8004,,,,,FALSE
Atsi-2_all-1,Atsi_v2_7624,Atsi,2_all,lṵŋ⁵⁵+la̰ŋ⁵⁵,l.ṵ.ŋ.⁵⁵.+.l.a̰.ŋ.⁵⁵,,,Huang1992 Hill2017,8005,,,,,FALSE
Bola-2_all-1,Bola_v2_7625,Bola,2_all,a³¹+la̰p⁵⁵,a.³¹.+.l.a̰.p.⁵⁵,,,Huang1992 Hill2017,8006,,,,,FALSE
Rangoon-2_all-1,Rangoon_83,Rangoon,2_all,m̥ɑ̃∼²²+tθɑ⁵³+m̥jɑ⁵³,m̥.ɑ̃.∼.²².+.tθ.ɑ.⁵³.+.m̥.j.ɑ.⁵³,,,Huang1992 Hill2017,8340,,,,,FALSE
OldTibetan-2_all-2,OldTibetan_82,OldTibetan,2_all,kun,k.u.n,,,Huang1992,3899,,,,,FALSE
Tangut-2_all-2,Tangut_85,Tangut,2_all,zji,z.ji,,,Li1997,0,,,,,FALSE
Tangut-2_all-3,Tangut_86,Tangut,2_all,rjur,r.ju.r,,,Li1997,0,,,,,FALSE
KarbiMikir-2_all-1,Mikir_76,KarbiMikir,2_all,"""kedo kave, kedoan, angse, anta, arpum, and badu(-ta, -ba-dang), lajok(ta), majok, rongisi, -tame, -rep, -phrong,; humilipi [...]""",th.ài,,,Walker1925 KonnerthFC GruessnerNoDate,0,,,,,FALSE
MishmiKaman-2_all-1,Kaman_230957,MishmiKaman,2_all,kɯm⁵⁵ blui⁵⁵,kɯm⁵⁵ blui⁵⁵,,,Sun1991,,,,,,
KBEastPuroikSoja-2_all-1,easternpuroik_171,KBEastPuroikSoja,2_all,melang,mə+laŋ,,,RS09,,,,,,
KBEastPuroikRemsangpuia-2_all-1,easternpuroik_2,KBEastPuroikRemsangpuia,2_all,malaŋ,ma+laŋ,,,Remsangpuia2008,,,,,,
KBEastPuroikSun-2_all-1,puroik_230959,KBEastPuroikSun,2_all,mə³³ ləŋ³³,mə³³+ləŋ³³,,,Sun1991,,,,,,
TshDirangTshangla-3_theant-1,DirangTshangla_42,TshDirangTshangla,3_theant,kʰaŋ+dʑi+la,kʰaŋ+dʒi+la,,,TB,,,,,,
TaniGalo-3_theant-1,Galo_42,TaniGalo,3_theant,ta-rùk,ta+ruk51,,,Post07,,,,,*ruk ~ *rup,
TaniTangam-3_theant-1,Tangam_3,TaniTangam,3_theant,teruk,te+ruk,,,Post2017,,,,,,
EBDzalakha-3_theant-1,Dzalakha_3,EBDzalakha,3_theant,hrogpo,r̥ok+po,,,DDC2017,,,,,,
EBKhengkha-3_theant-1,Khengkha_42,EBKhengkha,3_theant,buktali,buk+ta+li,,,AandY1996,,,,,,
KBWanghoBugun-3_theant-1,WanghoBugun_36,KBWanghoBugun,3_theant,ʃiŋiŋ,ʃi+ŋiŋ,,,Abraham2018,,,,, ,
KBBichomBugun-3_theant-1,BichomBugun_37,KBBichomBugun,3_theant,siiŋ,siːŋ,,,Abraham2018,,,,, ,
KBSingchungBugun-3_theant-1,SingchungBugun_38,KBSingchungBugun,3_theant,ʃiŋiŋ,ʃi+ŋiŋ,,,Abraham2018,,,,, ,
KBKaspiBugun-3_theant-1,KaspiBugun_39,KBKaspiBugun,3_theant,ʃiŋiŋ,ʃi+ŋiŋ,,,Abraham2018,,,,, ,
KBNamphriBugun-3_theant-1,NamphriBugun_40,KBNamphriBugun,3_theant,ʃiŋiŋ,ʃi+ŋiŋ,,,Abraham2018,,,,, ,
EBMamaCuonaMenba-3_theant-1,MamaCuonaMenba_42,EBMamaCuonaMenba,3_theant,ʂuk55pu53,ʂuk55pu53,,,Lu2002,,,,,,
EBWenlangCuonaMenba-3_theant-1,WenlangCuonaMenba_211,EBWenlangCuonaMenba,3_theant,xrok55pu55,xrok55pu55,,,Lu2002,,,,,,
